parameters,p_cit,p_TL,p_TG,p_GL,p_Lind,p_res,1,2,3,4,5,6,results
0_0,0.888601696052625,0.237620509533918,0.123425455905943,0.157869408208367,0.888601696052625, ,0.29,0.33,0.010592528,0.00645735,0.0029432776,0.0022350152, 
0_0.1,0.975657752313028,0.167553505214937,0.975657752313028,0.352527299213052,0.554671440369215, ,0.32,0.26,0.010281868,0.017880972,0.003160884,0.004447226, 
0_0.2,0.757468977932326,0.0029874836399733,0.536713522337111,0.0618174421713171,0.757468977932326, ,0.19,0.0,0.01336569,0.019570218,0.0033183082,0.004757118, 
0_0.3,0.545883240596811,2.80268558861618e-06,0.0164000356181716,0.545883240596811,0.12150565686322, ,0.12,0.0,0.023860984,0.027187634,0.0053404593,0.004979244, 
0_0.4,0.565338089237251,8.98618762444973e-10,0.263186244701165,0.565338089237251,0.232280206152269, ,0.68,0.0,0.04245571,0.044134628,0.0063355393,0.0073171756, 
0_0.5,0.80786882795019,8.234817098065279e-11,0.385104631844036,0.80786882795019,0.424858905321009, ,0.35,0.0,0.048213936,0.04890743,0.007112471,0.0071778954, 
0_0.6,0.920392028946839,5.31969478460695e-18,0.920392028946839,0.561178376563073,0.48854500008377, ,0.81,0.0,0.09077792,0.09316519,0.010841393,0.01013239, 
0_0.7,0.876538805431493,2.55930582303051e-23,0.379058529019328,0.262091881198784,0.876538805431493, ,0.19,0.0,0.12336728,0.108994626,0.012887442,0.011697476, 
0_0.8,0.730999444893527,4.1678377220570605e-35,0.730999444893527,0.486169485828798,0.524542971659006, ,0.63,0.0,0.19254604,0.17618226,0.014088711,0.012080261, 
0_0.9,0.776259604962762,2.06858767708867e-41,0.365644679771152,0.776259604962762,0.490088652186324, ,0.87,0.0,0.2109511,0.20603064,0.013960731,0.016953671, 
0_1,0.769622009212647,1.02923714475688e-50,0.197107587389288,0.769622009212647,0.603475368320937, ,0.72,0.0,0.25310084,0.26565066,0.015620991,0.019733967, 
