,parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0,0.1_0.1,0.765758359803175,0.202504636768642,0.000324487904141,0.765758359803175,0.0634608654004253, , ,0.0,0.0,0.46, 
1,0.1_0.2,0.896573313036237,0.896573313036237,4.28746922944456e-06,0.454989714662154,2.7889812751582597e-11, , ,0.0,0.0,0.65, 
2,0.1_0.3,0.78316496752368,0.698874433222208,1.02422994223406e-26,0.0119259194008057,0.78316496752368, , ,0.0,0.0,1.0, 
3,0.1_0.4,0.162479381105587,0.107597369554233,1.33680474519271e-38,0.162479381105587,2.26633882401232e-14, , ,0.0,0.0,0.97, 
4,0.1_0.5,0.999998987466136,0.870693782587288,7.94669041010049e-40,0.176670379745841,0.999998987466136, , ,0.0,0.0,0.06, 
5,0.1_0.6,0.999220743540071,0.560851253773817,6.348428657204809e-78,0.0146472453686781,0.999220743540071, , ,0.0,0.0,0.01,causal
6,0.1_0.7,0.529405498392078,0.0745454828583819,4.1104731098511496e-83,0.529405498392078,1.36244981253015e-20, , ,0.0,0.0,0.63, 
7,0.1_0.8,0.205384052640206,0.156450677865464,1.05730072079168e-112,0.205384052640206,5.80433299501113e-89, , ,0.0,0.0,0.26, 
8,0.1_0.9,1.0,0.117206385926544,1.60886769053979e-120,0.0596404549668949,1.0, , ,0.0,0.0,0.75, 
9,0.1_1,0.402621557179169,0.0072183005705723,1.93763057182352e-156,0.402621557179169,2.0501193651163798e-57, , ,0.0,0.0,0.0,causal
10,0.1_3,0.9552481967461,0.527456467559112,0.0,0.9552481967461,1.42271823867542e-58, , ,0.0,0.0,1.0, 
11,0.2_0.1,0.166426154101734,0.166426154101734,0.0001498635346766,5.33661286168139e-07,0.0011960835869398, , ,0.0,0.0,0.45, 
12,0.2_0.2,0.996557015448845,0.759026595222946,2.64607967737791e-09,1.84100733298277e-05,0.996557015448845, , ,0.0,0.0,0.67, 
13,0.2_0.3,0.286541432104059,0.286541432104059,1.8820854306145498e-22,0.0239440247587213,3.12097964803079e-27, , ,0.0,0.0,0.68, 
14,0.2_0.4,0.124391013295403,0.124391013295403,2.83863813391547e-38,0.0086765477634775,9.559303559358261e-47, , ,0.0,0.0,1.0, 
