parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.1_0.1,0.992252131905178,0.992252131905178,0.329655167179895,0.0013819942194438,0.679385195287679, , ,0.02,0.15,0.91, 
0.1_0.2,0.619313491598761,0.138426158795597,0.619313491598761,0.000914435308364,0.592139798482157, , ,0.01,0.2,0.88, 
0.1_0.3,0.867324673245015,0.867324673245015,0.413172111130169,0.0161352777904284,0.412284579711001, , ,0.07,0.86,0.39, 
0.1_0.4,0.826848108543179,0.810498191864061,0.826848108543179,0.0190718825455087,0.493603498564017, , ,0.02,0.62,0.54, 
0.1_0.5,0.856332519759049,0.856332519759049,0.596343296018573,0.0028626132365914,0.722495121660478, , ,0.02,0.92,0.21, 
0.1_0.6,0.94829872777028,0.94829872777028,0.248507213121401,6.40007644099298e-05,0.862270947304208, , ,0.0,1.0,0.03, 
0.1_0.7,0.196189083890258,0.0196367521014707,0.0002005408035978,0.196189083890258,0.001362930358223, , ,0.02,0.1,0.02, 
0.1_0.8,0.979513544420615,0.0886095802520253,0.0221408008960305,0.0270109836298707,0.979513544420615, , ,0.07,0.0,0.04, 
0.1_0.9,0.220976852588342,0.220976852588342,0.0491526704825558,0.010895689908844,0.0303769106383405, , ,0.13,0.62,0.86, 
0.1_1,0.699846778215024,0.0285143985352318,0.699846778215024,0.015532054447449,0.346090501093753, , ,0.02,0.15,0.66, 
0.1_3,0.999997056145951,0.270569896647119,9.14177183370376e-06,0.0010806366911729,0.999997056145951, , ,0.02,0.04,0.26, 
0.2_0.1,0.939756410368682,0.533783360305949,0.0944992467171672,2.42594284854544e-09,0.939756410368682, , ,0.0,0.6,0.5, 
0.2_0.2,0.359268857925558,0.246129096099587,0.359268857925558,0.0026319390178415,0.178591986926611, , ,0.01,0.56,0.09, 
0.2_0.3,0.938388725258798,0.543559315283056,0.938388725258798,0.000593074377672,0.568255076092884, , ,0.0,0.81,0.76, 
0.2_0.4,0.903854769359868,0.601431333723543,0.113957165269453,2.36194491144118e-06,0.903854769359868, , ,0.0,0.52,0.19, 
0.2_0.5,0.517274383305941,0.517274383305941,0.319304655610425,4.75206752630045e-09,0.0879416357191841, , ,0.0,0.88,0.66, 
0.2_0.6,0.785725499422353,0.205525097684635,0.785725499422353,6.42794445398795e-10,0.633885193913211, , ,0.0,0.24,0.17, 
0.2_0.7,0.343296762696902,0.343296762696902,0.0008658691082565,0.0064019759182753,0.0001831264126228, , ,0.03,0.43,0.49, 
0.2_0.8,0.406829649498559,0.406829649498559,0.0048400343939676,2.1252170587862402e-09,0.0001386965553677, , ,0.0,0.15,0.11, 
0.2_0.9,0.999951619277859,0.501863795516006,3.58232870741525e-05,5.820744278518871e-09,0.999951619277859, , ,0.0,0.27,0.34, 
0.2_1,0.986587820590985,0.768938970426839,0.0148465540522244,3.45073814575748e-10,0.986587820590985, , ,0.0,0.11,0.72, 
0.2_3,0.989997311042128,0.651182151108448,0.0235689573476041,2.33959526541327e-06,0.989997311042128, , ,0.0,0.99,0.87, 
0.3_0.1,0.823641177553682,0.823641177553682,0.0033660926470995,2.43418802618035e-10,0.740809829964167, , ,0.0,0.38,0.97, 
0.3_0.2,0.824864059303202,0.824864059303202,0.421945341565317,9.55590651173003e-21,0.0243075143007719, , ,0.0,0.87,0.16, 
0.3_0.3,0.716920685584034,0.716920685584034,0.186936807078583,2.7391101673908497e-12,0.0177442690538071, , ,0.0,0.91,0.09, 
0.3_0.4,0.772557441668993,0.586514926723401,0.772557441668993,5.9216615164406695e-18,0.377787393439738, , ,0.0,0.55,0.74, 
0.3_0.5,0.888433612179353,0.604806220350821,0.183053512498736,7.967129533517001e-17,0.888433612179353, , ,0.0,0.9,0.04, 
0.3_0.6,0.905540191288719,0.38317187034132,0.0945956648717938,2.3659839714638903e-15,0.905540191288719, , ,0.0,0.4,0.81, 
0.3_0.7,0.0372282414139742,0.0224341334303995,0.0372282414139742,4.02204920780078e-12,0.0358480618989077,causal, ,0.0,0.39,0.36, 
0.3_0.8,0.619617259402081,0.619617259402081,0.0023206690470122,5.08127739089554e-16,0.275920933021841, , ,0.0,0.71,0.0, 
0.3_0.9,0.0798028792851026,0.0798028792851026,0.0001883753830167,4.37602567000755e-12,0.0002733225533355, , ,0.0,0.32,0.18, 
0.3_1,0.122658517326898,0.0371774412477595,0.122658517326898,1.22279934421883e-16,0.0755214414062518, , ,0.0,0.2,0.0, 
0.3_3,0.961503253453369,0.855521553970566,4.60862506675701e-05,2.76798463190414e-13,0.961503253453369, , ,0.0,0.54,0.02, 
0.4_0.1,0.881429795167136,0.072391055338382,0.276189358684937,1.7374340788999e-23,0.881429795167136, , ,0.0,0.3,0.01, 
0.4_0.2,0.406366680769564,0.406366680769564,0.206998461666188,2.6278763965499004e-26,0.0474679297842256, , ,0.0,0.9,0.39, 
0.4_0.3,0.904749878483937,0.34964900642545,0.143355685049735,4.43975714813212e-32,0.904749878483937, , ,0.0,0.71,0.25, 
