parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0_0,0.989381131535554,0.619845599424949,0.450964830745382,0.989381131535554,0.489120637565507, , ,0.67,0.23,0.08, 
0_0.1,0.262612694610869,0.0096517100048076,0.262612694610869,0.0863671052156997,0.0945358675521894, , ,0.01,0.0,0.32, 
0_0.2,0.800849455085884,1.09609570719366e-09,0.280804344301086,0.253058092643761,0.800849455085884, , ,0.59,0.0,0.03, 
0_0.3,0.803877281444336,2.18723039973314e-10,0.803877281444336,0.710861519922185,0.513844124737604, , ,0.4,0.0,0.4, 
0_0.4,0.767544905481913,7.957414168828421e-31,0.395488384515925,0.767544905481913,0.383495503732541, , ,0.24,0.0,0.7, 
0_0.5,0.951450206149644,2.60283405177908e-41,0.088469144318201,0.951450206149644,0.330651725642126, , ,0.8,0.0,0.53, 
0_0.6,0.7963036875042,1.0002931161731001e-47,0.7963036875042,0.406306281377415,0.490215964815366, , ,0.73,0.0,0.53, 
0_0.7,0.710666652075463,6.93443595756776e-59,0.47345587052284,0.280547508943836,0.710666652075463, , ,0.96,0.0,0.71, 
0_0.8,0.600885617942308,1.01170437348292e-81,0.20894105434352,0.583387491564272,0.600885617942308, , ,0.07,0.0,0.94, 
0_0.9,0.774239354178146,6.36534252124493e-101,0.213059373245955,0.245065066481126,0.774239354178146, , ,0.84,0.0,0.82, 
0_1,0.68376779857685,1.89604539425456e-107,0.68376779857685,0.623634276086386,0.528758867704971, , ,0.48,0.0,0.53, 
0_3,0.881629561227967,0.0,0.881629561227967,0.2250671520181,0.525871881975704, , ,0.05,0.0,0.36, 
0.1_0,0.469577965112866,0.380925352902713,0.469577965112866,0.0067387759890869,0.143038058404162, , ,0.1,0.75,0.89, 
0.1_0.1,0.833064942496855,0.0772858586729724,0.206696653971508,0.211212540280479,0.833064942496855, , ,0.68,0.02,0.6, 
0.1_0.2,0.693572975290295,0.0001378016949695,0.623610519360051,9.59737231717774e-05,0.693572975290295, , ,0.0,0.01,0.25, 
0.1_0.3,0.552354750658107,2.30670952009089e-21,0.552354750658107,0.0272801062283517,0.301348647735656, , ,0.08,0.0,0.29, 
0.1_0.4,0.934425489805504,1.6850463714732301e-21,0.540018165946593,0.934425489805504,0.549715242215879, , ,0.56,0.0,0.77, 
0.1_0.5,0.938139987416538,4.5609941681401395e-30,0.938139987416538,0.0028441406160253,0.355741400680205, , ,0.03,0.0,0.46, 
0.1_0.6,0.119731964367303,1.7030674451232302e-51,0.119731964367303,0.0649923767959212,0.112100148280708, , ,0.03,0.0,0.23, 
0.1_0.7,0.774487120446255,1.2621279708526e-64,0.430747431504867,0.0059592142065995,0.774487120446255, , ,0.04,0.0,0.91, 
0.1_0.8,0.782113032026815,2.86258187195632e-72,0.782113032026815,0.0883772438911373,0.592555379718514, , ,0.13,0.0,0.87, 
0.1_0.9,0.720306203994789,1.7102768789473902e-104,0.720306203994789,0.0854183320382964,0.570283333230616, , ,0.05,0.0,0.32, 
0.1_1,0.298858975721089,3.8281653613135e-123,0.252470332143029,0.136056452849806,0.298858975721089, , ,0.04,0.0,0.0,causal
0.1_3,0.766443413493187,0.0,0.766443413493187,0.35193303331885,0.575659994622787, , ,0.33,0.0,0.51, 
0.2_0,0.595503899488743,0.595503899488743,0.136006766015073,1.65504827766102e-08,0.117986443697508, , ,0.0,0.54,0.94, 
0.2_0.1,0.961131260138413,0.0758067850752906,0.127698431819505,2.00557800549062e-07,0.961131260138413, , ,0.0,0.22,0.89, 
0.2_0.2,0.974291956020822,1.02003738822512e-08,0.974291956020822,5.05147940705501e-05,0.409075985452583, , ,0.0,0.0,0.24, 
0.2_0.3,0.743868053219675,3.16136144938732e-16,0.424683685286068,1.83303629119992e-06,0.743868053219675, , ,0.0,0.0,0.26, 
0.2_0.4,0.821487529472913,2.5852988812624497e-18,0.821487529472913,2.8312525300467903e-09,0.563143497629974, , ,0.0,0.0,0.73, 
0.2_0.5,0.0687827264359878,6.90339580552403e-24,0.0687827264359878,0.0002865914753493,0.0448667330369574, , ,0.0,0.0,0.08, 
0.2_0.6,0.761315789633664,6.22434286634258e-50,0.454570662087012,6.25791122939943e-06,0.761315789633664, , ,0.0,0.0,0.2, 
0.2_0.7,0.749168503285901,4.10818923442516e-73,0.43099085283255,3.91006333119964e-07,0.749168503285901, , ,0.0,0.0,0.69, 
0.2_0.8,0.0118432883289022,8.336752659694249e-69,0.0118432883289022,1.63363096034425e-06,0.0105684540578744,causal, ,0.0,0.0,0.4, 
0.2_0.9,0.87537208010064,9.11709741016835e-102,0.195380176630888,9.25222248160675e-07,0.87537208010064, , ,0.0,0.0,0.09, 
0.2_1,0.695904465324345,2.51072263835088e-125,0.423544132579617,2.04466163599847e-07,0.695904465324345, , ,0.0,0.0,0.9, 
0.2_3,0.745460051469937,0.0,0.745460051469937,0.0772008805997036,0.596582342860557, , ,0.0,0.0,0.6, 
0.3_0,0.859987629760115,0.0300029960549746,0.317772723551198,1.0486076259742e-12,0.859987629760115, , ,0.0,0.21,0.71, 
0.3_0.1,0.383283656174988,0.383283656174988,0.313865400891271,6.65041574963967e-16,0.116381448243852, , ,0.0,0.23,0.21, 
0.3_0.2,0.94906844105934,4.9426826535505e-08,0.0693528002427591,1.31102305822263e-12,0.94906844105934, , ,0.0,0.0,0.51, 
0.3_0.3,0.751358308549469,3.49813259043882e-09,0.519774834154083,1.2348326630107301e-15,0.751358308549469, , ,0.0,0.0,0.94, 
0.3_0.4,0.0012224387294933,2.04857539833954e-27,0.0012224387294933,5.19819531989278e-10,0.0005650928827195,causal, ,0.0,0.0,0.04,causal
0.3_0.5,0.87202608970376,6.77833592571072e-40,0.17916384502491,6.78485368261333e-17,0.87202608970376, , ,0.0,0.0,0.82, 
0.3_0.6,0.841728935285412,1.74399161384378e-54,0.334597320364063,2.55337989458694e-14,0.841728935285412, , ,0.0,0.0,0.76, 
0.3_0.7,0.11125235823134,1.58911372916999e-67,0.11125235823134,3.1663923275043203e-14,0.0535758197548002, , ,0.0,0.0,0.31, 
0.3_0.8,0.659350423709065,1.24828538161407e-71,0.589620584655157,1.14884027136005e-12,0.659350423709065, , ,0.0,0.0,0.95, 
0.3_0.9,0.735823261191492,1.03336766865952e-81,0.735823261191492,1.0157447475604502e-15,0.395038282311871, , ,0.0,0.0,0.91, 
0.3_1,0.237755444886957,1.2597280751653701e-110,0.237755444886957,3.23302901837188e-08,0.204055569139004, , ,0.0,0.0,0.48, 
0.3_3,0.681761446440843,0.0,0.681761446440843,0.0010479568974783,0.650237117646651, , ,0.0,0.0,0.19, 
0.4_0,0.875533141958474,0.207039262814566,0.256203292001836,8.66063877942033e-27,0.875533141958474, , ,0.0,0.51,0.3, 
0.4_0.1,0.993742028200114,0.0134092500628072,0.00788116387659,9.102085917227189e-33,0.993742028200114, , ,0.0,0.0,0.91, 
0.4_0.2,0.87807805162578,9.115847470535549e-11,0.87807805162578,6.72855950934863e-25,0.577190940289601, , ,0.0,0.0,0.39, 
