,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0,0.999999995498904,0.0010662244698039,2.09693322852363e-09,2.63601906002101e-06,0.999999995498904, , ,0.0,0.0,0.83, 
4,1.0,0.0931320382471417,6.83722102306082e-37,1.87653797095506e-48,1.0, , ,0.0,0.32,0.99, 
5,0.462828813015227,0.0166787949590156,5.21203577353377e-20,1.16944945510658e-54,0.462828813015227, , ,0.0,0.03,0.87, 
23,0.720929024372179,0.10415839359736,0.592107720398122,0.0001324822686204,0.720929024372179, , ,0.01,0.02,0.14, 
28,0.999999999986149,0.618549136665436,4.78784450871732e-48,2.22333508427841e-08,0.999999999986149, , ,0.0,0.76,0.3, 
37,0.999999715412306,0.581077617563491,1.7231628708028497e-11,1.49189053696353e-06,0.999999715412306, , ,0.0,0.39,0.73, 
39,1.0,0.0026593294500463,1.43755604633398e-75,8.82396152815832e-07,1.0, , ,0.0,0.01,1.0, 
72,1.0,0.289333327245343,3.12655496511474e-62,2.5210200954265702e-17,1.0, , ,0.0,0.5,0.17, 
75,1.0,0.0470444598910608,7.3565933667612e-67,3.24966345591544e-82,1.0, , ,0.0,0.14,1.0, 
77,0.004486053614362,0.0027077693892403,2.67243466932298e-35,1.90105019193943e-33,0.004486053614362,causal, ,0.0,0.02,0.19, 
81,0.818847109442805,0.527977938361051,0.30056835458609,0.0008494774457882,0.818847109442805, , ,0.0,0.87,0.0, 
83,0.826411793193999,0.409886938726001,0.000101083419614,4.951731733514309e-55,0.826411793193999, , ,0.0,0.03,0.85, 
88,0.0014588029793483,0.0003075996338928,1.8740152604610797e-11,0.0014588029793483,2.72931093177828e-09,causal, ,0.01,0.0,0.07, 
89,0.986580662488085,0.215172971930914,0.055837309923906,0.0002728683140928,0.986580662488085, , ,0.01,0.6,0.04, 
90,0.99356491748315,0.932831916160911,2.22317692188784e-05,2.43095047357844e-11,0.99356491748315, , ,0.0,0.99,0.6, 
92,0.740515115930314,0.43282658641537,0.5451141654246,5.298264543998909e-55,0.740515115930314, , ,0.0,0.56,0.77, 
100,0.898710658472792,0.373930613028888,6.7227401102003e-52,4.65740106824882e-05,0.898710658472792, , ,0.0,0.57,0.83, 
104,0.824426287843752,0.37025875081466,0.304372643027157,3.80340582988758e-66,0.824426287843752, , ,0.0,0.64,0.89, 
109,0.907421591879389,0.641065532195095,0.0756701188720282,3.24556880818148e-55,0.907421591879389, , ,0.0,0.51,0.42, 
110,0.18642929801147,0.18642929801147,5.242273295322619e-34,2.87682998220511e-07,0.0001012774948039, , ,0.0,0.45,0.86, 
118,0.241813445127724,0.0576213614812884,3.08339392734505e-08,1.9667179316937e-74,0.241813445127724, , ,0.0,0.11,0.94, 
145,0.99988277847307,0.0308344957743265,3.6477557016805698e-28,3.94511457867756e-61,0.99988277847307, , ,0.0,0.1,1.0, 
146,0.999999841209036,0.563514682093187,2.64175790245067e-12,2.09647316860239e-73,0.999999841209036, , ,0.0,0.55,0.35, 
158,0.999991730593858,0.953448756715899,1.99202447155073e-12,1.5488931074285099e-12,0.999991730593858, , ,0.0,1.0,0.74, 
159,0.994330438903903,0.564340361858882,9.35506852642136e-05,1.22825692588287e-34,0.994330438903903, , ,0.0,0.71,0.7, 
169,0.173639720681399,0.173639720681399,7.13252684484952e-05,3.8076936416112803e-32,5.77501540560785e-07, , ,0.0,0.39,0.59, 
176,0.999076296343721,0.186900417536045,0.0003615705906203,1.48634133692877e-22,0.999076296343721, , ,0.0,0.05,0.73, 
192,1.0,0.0568964206041811,1.4714487004085798e-69,2.0075058182256e-39,1.0, , ,0.0,0.06,0.86, 
202,0.520371556067031,0.520371556067031,0.0074807403875597,1.83317384945395e-05,0.0001051950215844, , ,0.05,0.32,0.97, 
204,0.999999999998431,0.0207055378129718,1.03110248352684e-55,1.6517049821351301e-65,0.999999999998431, , ,0.0,0.13,1.0, 
215,0.949190195989144,0.682280009755455,0.057492442998914,3.6476123362040004e-12,0.949190195989144, , ,0.0,0.1,0.27, 
227,1.0,0.0265887770339874,4.11131241263328e-16,6.22166646143318e-06,1.0, , ,0.0,0.0,0.64, 
231,0.016259470517151,0.016259470517151,1.35967770280484e-17,5.70685298460811e-06,6.334925608489971e-14,causal, ,0.0,0.0,0.98, 
236,0.47292537533212,0.47292537533212,5.07444968109117e-18,0.0001813062807059,0.0001594043964234, , ,0.0,0.17,0.16, 
239,0.246486748782127,0.246486748782127,1.32747218663246e-10,0.0001039474219422,2.4911606049792e-17, , ,0.0,0.19,0.8, 
249,0.967552263295003,0.967552263295003,0.298748451219274,7.08168728510649e-34,0.704018308424172, , ,0.0,0.66,0.51, 
255,0.0055726159160096,0.0004361125615828,1.3183944034918198e-42,0.0055726159160096,1.51342527721366e-23,causal, ,0.0,0.02,0.62, 
258,0.33446857259277,0.30695255075573,0.33446857259277,6.22369527400964e-05,0.192634743526307, , ,0.0,0.5,0.44, 
272,0.999991235186395,1.04232672294834e-16,2.25802400034917e-05,6.2999329347619005e-15,0.999991235186395, , ,0.0,0.0,0.56, 
273,0.931207821727478,0.593968468717505,1.43849717662228e-07,6.2357628400097895e-22,0.931207821727478, , ,0.0,0.84,0.56, 
281,0.999999992499809,0.131060577174195,6.01781970491646e-10,2.3692562229916303e-58,0.999999992499809, , ,0.0,0.39,0.99, 
287,1.0,0.751463037280901,4.87995515809204e-36,6.43889827337124e-37,1.0, , ,0.0,0.91,0.1, 
294,0.999999999833548,0.169104410205227,4.63564330143159e-10,1.23942342287054e-41,0.999999999833548, , ,0.0,0.14,0.64, 
301,0.85035687105351,0.85035687105351,0.600045983991819,6.405732442711e-10,0.747941619290566, , ,0.0,0.61,0.79, 
311,0.999999999999875,0.565161586809354,2.5251943804206103e-46,8.06915866009544e-68,0.999999999999875, , ,0.0,0.18,0.98, 
319,0.0218919686794134,0.0218919686794134,2.19208179924126e-87,0.0008952695739741,2.00398838770082e-194,causal, ,0.0,0.17,0.11, 
322,1.0,0.196163232347094,8.123800499963459e-195,7.03678980900719e-20,1.0, , ,0.0,0.12,0.94, 
323,0.769163713133288,0.135004899936051,1.59854961072797e-27,5.44983243690946e-20,0.769163713133288, , ,0.0,0.11,0.58, 
331,0.999999954910488,0.415926657705299,4.98024167453228e-10,4.24279332262205e-41,0.999999954910488, , ,0.0,0.73,0.86, 
