"p_cit","p_TL","p_TG","p_GL","p_Lind","childseed","Parentseed"
0.874179542274123,0.874179542274123,0.652121910925201,0.752239488537978,0.506438478659601,200012406,227771685
0.680151025910322,0.680151025910322,1.02135463014941e-29,0.24845560231273,0.000170301565071323,549961921,227771685
1,0.578708526457252,4.34645627259683e-72,0.216742617982392,1,618663202,227771685
0.773556471289034,0.575607484218657,2.03271601311096e-139,0.773556471289034,2.23825572865491e-35,1657137523,227771685
0.616205011295301,0.37124255666143,8.71404604318125e-179,0.616205011295301,3.08733943254167e-134,888163700,227771685
1,0.510984951735255,1.64511512254747e-214,0.0755119299916544,1,612040982,227771685
1,0.721379624430768,1.4243577167368e-242,0.0772658204919314,1,872948558,227771685
1,0.771569474179339,1.41906995315451e-306,0.313975282077528,1,51384632,227771685
1,0.594875072775774,0,0.111565022394352,1,626112801,227771685
0.769501704559932,0.408292684211209,0,0.769501704559932,3.05809529087552e-44,1477366091,227771685
0.677781316379493,0.677781316379493,0.204419308899157,2.12854481680133e-07,0.0699381960358063,396307038,227771685
0.00117242137976539,0.00117242137976539,1.00896675452239e-24,0.000858507875690152,1.23707485614024e-16,965611776,227771685
3.44576657956707e-06,3.44576657956707e-06,6.47034995299304e-75,1.67879882928522e-07,2.26902327030379e-50,1884102216,227771685
0.000277265249230918,3.92189459848071e-05,1.83226805126901e-132,0.000277265249230918,1.81003683413041e-41,1202278049,227771685
8.09774918413224e-07,8.09774918413224e-07,4.13404488780628e-188,2.26476260218133e-07,5.63019102381139e-13,1339852324,227771685
0.0793401121648604,7.5513855766043e-06,5.59028485982661e-223,0.0793401121648604,3.47627772846246e-88,1372667741,227771685
0.00486429647816218,4.19392061888785e-05,2.00183392168551e-259,0.00486429647816218,2.90766154106637e-29,1363946173,227771685
0.960474037197991,4.18004870631918e-13,6.9365773408296e-287,0.960474037197991,1.00958554416551e-48,425546693,227771685
0.0848693756454878,8.08300449790456e-11,0,0.0848693756454878,1.01529191934286e-63,1248274477,227771685
0.430667819466546,1.81002069500295e-09,0,0.430667819466546,9.82925331786146e-98,807937526,227771685
0.0213975179599726,0.0213975179599726,0.0011568326595165,1.24860048836206e-27,0.00343308488935474,1861691845,227771685
2.44174094799405e-06,2.44174094799405e-06,5.16025927687951e-26,2.05428608462829e-24,1.70240061402628e-18,2133536643,227771685
1.40623186973554e-07,4.15520034819149e-15,8.83278838736815e-89,1.40623186973554e-07,4.31696192509658e-54,1267786452,227771685
0.000536979406708791,2.17425579287608e-27,4.31805449793987e-115,0.000536979406708791,2.01237638630509e-65,1451357891,227771685
1.06331653054752e-07,1.98069176056953e-17,1.75722509283551e-173,1.06331653054752e-07,2.49235936614646e-64,1980515047,227771685
7.52356918179568e-07,1.95181829097028e-25,6.90772071855088e-209,7.52356918179568e-07,5.47522446059757e-66,1385553838,227771685
3.29629395358187e-07,1.22372013121632e-28,1.59970223151842e-248,3.29629395358187e-07,7.02159859861166e-70,935636436,227771685
0.000208376128411022,1.56021226980643e-18,4.55341143666148e-300,0.000208376128411022,2.22958259207918e-71,418427416,227771685
0.0387025386570906,3.83344883346122e-30,0,0.0387025386570906,2.09426935799148e-103,933778021,227771685
0.287351812393458,2.89662904386153e-23,0,0.287351812393458,5.42902862971792e-123,84535092,227771685
0.00966244597135266,0.00966244597135266,0.00367992504396528,6.30331490310767e-53,0.000189986102025586,1090726831,227771685
2.27066263498195e-15,2.27066263498195e-15,1.21315498091329e-27,1.39474222839659e-41,2.50521960382697e-22,1661959908,227771685
8.62721534090053e-26,1.86373782173171e-27,3.10476676449656e-73,8.62721534090053e-26,9.38607762568145e-43,615781442,227771685
9.21279785056411e-17,1.5638299741059e-39,4.89594918499722e-132,9.21279785056411e-17,1.22434933922222e-67,317720249,227771685
8.65488520506064e-07,9.42573117867553e-31,7.99221924975404e-171,8.65488520506064e-07,2.12980801676066e-91,1621943258,227771685
0.00101130177105211,4.48717629664391e-57,4.17423374604914e-194,0.00101130177105211,6.68633449030006e-84,559672527,227771685
1.99855577112327e-07,1.05110153436635e-39,1.35630834555871e-252,1.99855577112327e-07,8.0939833263731e-68,2142559940,227771685
0.0728384247676039,1.97020653308465e-59,5.58467728263761e-315,0.0728384247676039,1.37376740843383e-94,1308373033,227771685
7.11928145871885e-05,7.35982574627367e-50,0,7.11928145871885e-05,3.33449330493156e-93,1787495988,227771685
7.3227912896418e-05,1.21386926088632e-53,0,7.3227912896418e-05,4.81975332860087e-91,1133417045,227771685
0.00734844865367845,0.00734844865367845,0.00567776917967645,1.12463596947238e-81,0.00407395552323238,1187941315,227771685
7.51009710267098e-21,2.7285510555056e-24,7.51009710267098e-21,8.80744461642942e-53,4.00805995792133e-22,245421774,227771685
3.19809669327318e-31,8.25469805068397e-34,5.22696917060621e-82,2.20663234244865e-36,3.19809669327318e-31,1239362971,227771685
7.21782229982956e-18,2.95506059257687e-54,5.4313620125955e-124,7.21782229982956e-18,1.16881062354103e-124,739885192,227771685
5.966365639677e-11,1.21330103353816e-65,1.99864657632766e-179,5.966365639677e-11,1.15981734731529e-149,1959769044,227771685
6.99847111951164e-08,3.95317973183045e-82,9.4098347909067e-222,6.99847111951164e-08,4.28462194617091e-191,173020747,227771685
1.52104217601644e-06,1.1116061135157e-71,3.87380820760153e-256,1.52104217601644e-06,0,623041079,227771685
3.60138065148952e-05,1.21495796191335e-77,1.80288563604258e-303,3.60138065148952e-05,6.37410849667265e-245,1939620562,227771685
8.63611526539458e-06,1.13479103696443e-77,0,8.63611526539458e-06,4.01143063651912e-140,780165813,227771685
0.0637446495592683,5.42187882782161e-70,0,0.0637446495592683,2.87900679245486e-180,1971628973,227771685
0.08942161897769,0.0025973766442687,0.08942161897769,6.03239291157515e-102,0.0481697515579877,994800202,227771685
2.56252063463541e-14,1.57724527509537e-27,8.46553928331318e-29,1.57486190021764e-77,2.56252063463541e-14,1157774318,227771685
3.37274324450518e-38,9.57861155958647e-57,3.23831551177404e-81,1.75490213871436e-44,3.37274324450518e-38,1841198391,227771685
3.68569167264791e-18,6.28829425070356e-84,1.21766215996687e-130,3.68569167264791e-18,9.55302355698767e-113,429915361,227771685
1.52447663766809e-16,3.14131648018127e-82,5.0913779859918e-189,1.52447663766809e-16,9.56038290108996e-135,1662601551,227771685
1.98826466421338e-13,3.78960063865536e-92,1.50090829978586e-228,1.98826466421338e-13,4.5396582587536e-165,1277659633,227771685
3.8685982436227e-09,2.55672383810466e-93,2.14120893317768e-263,3.8685982436227e-09,5.11515077116286e-204,1771672701,227771685
5.60497705781351e-08,5.46567266810567e-91,2.99071078603792e-302,5.60497705781351e-08,5.25297790150112e-126,366932741,227771685
6.09907303122809e-07,5.7832828945012e-95,0,6.09907303122809e-07,3.05571032543981e-121,1162225076,227771685
0.0029639204621909,1.57256508482572e-104,0,0.0029639204621909,0,1528958891,227771685
0.0788822343943118,0.00179921425883794,0.00293886854337226,4.75617209624842e-119,0.0788822343943118,1447581956,227771685
3.62093338852161e-25,4.88049157820778e-41,1.34081032017864e-29,2.15134762933768e-86,3.62093338852161e-25,2077177516,227771685
4.87620431643279e-54,2.46768485669278e-87,2.68271448413746e-66,4.87620431643279e-54,1.01252793557422e-67,840520536,227771685
1.7163144240628e-28,7.92341360285425e-110,7.72321354299285e-121,1.7163144240628e-28,1.6417800006439e-148,64729643,227771685
5.36833195957298e-27,4.79005008519156e-109,2.2232420986903e-190,5.36833195957298e-27,5.30208378928863e-70,2127724326,227771685
4.32347702082928e-16,1.20537181946238e-112,2.58442625353041e-214,4.32347702082928e-16,4.22723062006909e-159,1588010351,227771685
3.02795894523348e-06,1.77622125804026e-114,1.83680717809125e-255,3.02795894523348e-06,3.62393214663843e-168,976952931,227771685
2.30725204418884e-05,2.84075582669274e-126,1.15511324670349e-296,2.30725204418884e-05,4.70020380813742e-256,1908336504,227771685
8.96613601063864e-05,3.38992887030483e-134,0,8.96613601063864e-05,0,39797428,227771685
0.00678507895662526,4.31756723065694e-125,0,0.00678507895662526,0,447190448,227771685
0.384499089887876,0.000502150773195836,0.384499089887876,1.72740617791906e-174,0.20220552323479,1983924310,227771685
1.14076879539118e-18,2.45382639407621e-68,8.58004284678993e-33,2.60900156015849e-110,1.14076879539118e-18,771857190,227771685
2.12262245386164e-51,1.16820733625148e-124,3.98071401512647e-76,2.12262245386164e-51,1.79091306652811e-92,533438339,227771685
1.68993313796757e-29,4.655820295734e-146,5.02843273683636e-139,1.68993313796757e-29,0,920119188,227771685
1.79322288508286e-22,2.76444727447812e-164,6.95065250137051e-184,1.79322288508286e-22,4.66518557185587e-231,1274141503,227771685
1.73669786923753e-11,2.07564282472152e-161,1.13505956021182e-218,1.73669786923753e-11,3.27339705383101e-210,1413040655,227771685
1.11384105903998e-09,3.81977331212344e-155,5.57227231136302e-255,1.11384105903998e-09,0,528960912,227771685
8.8580476806475e-07,2.54067620868028e-176,1.37502099551885e-308,8.8580476806475e-07,0,799625686,227771685
1.13944414809516e-05,3.12399633042837e-177,0,1.13944414809516e-05,1.09202020246316e-302,520872089,227771685
1.45588653678666e-07,2.21332477118747e-170,0,1.45588653678666e-07,1.10992271508203e-181,1841789164,227771685
0.0901620319422295,1.00982671027771e-05,0.0901620319422295,2.47475373571941e-217,0.008514197165302,943123309,227771685
4.4169501944715e-20,1.06765722259121e-91,4.72733707812719e-21,8.91372811278525e-129,4.4169501944715e-20,1379516878,227771685
3.74332362276301e-65,8.27840773946926e-158,1.76530750828967e-66,3.74332362276301e-65,7.41095850917367e-78,1762215852,227771685
2.47014782226117e-40,2.46844957881476e-182,1.27781572537138e-121,2.47014782226117e-40,9.20081253394577e-264,318736622,227771685
1.13649950042843e-28,1.04824918448778e-195,3.46551965702476e-183,1.13649950042843e-28,1.23045329603561e-194,1718113363,227771685
3.78130160761902e-17,3.01667779607142e-196,1.01863278056869e-217,3.78130160761902e-17,5.89302362781551e-280,1136823160,227771685
4.81221040039411e-11,3.06750288858226e-202,2.21512071845587e-255,4.81221040039411e-11,0,1571788849,227771685
2.82564387118287e-06,9.68794132454744e-209,1.3199009790691e-305,2.82564387118287e-06,0,1421518816,227771685
6.40543725088816e-05,2.31012057427021e-210,0,6.40543725088816e-05,0,223586441,227771685
0.019876624637118,4.79801257239836e-220,0,0.019876624637118,7.96600204544353e-234,70596241,227771685
0.0654378033961535,7.65641407840225e-10,0.0654378033961535,6.03229996323532e-249,0.0220849004217267,2143916087,227771685
2.38367318517714e-27,4.05825578055717e-116,1.34580273234413e-31,7.1342474249767e-128,2.38367318517714e-27,1068234269,227771685
3.32800421386952e-62,1.02527961922174e-179,5.70958576314405e-81,3.32800421386952e-62,9.07802207080432e-295,1452549783,227771685
5.73935100365804e-46,6.14413250129365e-210,1.93357728301992e-125,5.73935100365804e-46,1.62281757327721e-137,227637942,227771685
4.22706714682255e-19,1.66056919607631e-228,7.52411581905452e-203,4.22706714682255e-19,0,1492257761,227771685
2.87169745518224e-14,9.29489514212979e-233,9.26108411959403e-205,2.87169745518224e-14,4.53908364914088e-284,1210799720,227771685
6.293713391984e-10,2.80533450468151e-247,3.60030679627552e-239,6.293713391984e-10,2.17630322796897e-256,1929178168,227771685
2.0537369133556e-10,2.05514938564218e-247,1.07020572380246e-316,2.0537369133556e-10,0,711914194,227771685
0.000245860365169722,2.78575094140454e-248,0,0.000245860365169722,0,1649152360,227771685
0.00223749456474671,1.73686708404105e-248,0,0.00223749456474671,0,1178554073,227771685
