p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.519608,0.009804,0.009804,0.205882,0.519608,0.437027,4667157763742457878,176206754724864063179682447704702729130
0.607843,0.009804,0.607843,0.303922,0.382353,0.486255,899404982504460450,same
0.696078,0.009804,0.696078,0.421569,0.019608,0.484652,1166351294133054037,same
0.637255,0.009804,0.637255,0.637255,0.284314,0.453376,4334197069068737231,same
0.843137,0.009804,0.362745,0.352941,0.843137,0.468673,3613847028122719538,same
0.980392,0.009804,0.980392,0.362745,0.450980,0.490000,5090197632143852863,same
0.696078,0.009804,0.666667,0.323529,0.696078,0.461133,7044575680725034672,same
0.725490,0.009804,0.676471,0.725490,0.470588,0.462862,3473254729278309315,same
0.666667,0.009804,0.568627,0.254902,0.666667,0.469992,6670751347792761591,same
0.960784,0.009804,0.803922,0.205882,0.960784,0.469069,2524088778547134758,same
0.911765,0.117647,0.009804,0.911765,0.313725,0.370046,5951908890890443866,same
0.745098,0.009804,0.009804,0.637255,0.745098,0.391231,1762896634293243521,same
0.431373,0.009804,0.009804,0.254902,0.431373,0.399008,4159503280606592587,same
0.460784,0.009804,0.009804,0.392157,0.460784,0.386616,3713751970717227209,same
0.803922,0.009804,0.039216,0.539216,0.803922,0.412630,5507715715094066461,same
0.745098,0.009804,0.245098,0.745098,0.117647,0.395443,1875265678015167674,same
0.990196,0.009804,0.088235,0.225490,0.990196,0.408328,2916000462636513305,same
0.813725,0.009804,0.813725,0.421569,0.686275,0.412584,6548052852933345277,same
0.950980,0.009804,0.950980,0.264706,0.833333,0.411553,4412535037091548598,same
0.558824,0.009804,0.558824,0.127451,0.225490,0.405425,3188502859909098536,same
0.803922,0.480392,0.009804,0.147059,0.803922,0.281009,2799711982798355003,same
0.343137,0.009804,0.009804,0.176471,0.343137,0.316964,8394337187160820963,same
0.637255,0.009804,0.009804,0.637255,0.186275,0.307703,8449422057594557554,same
0.176471,0.009804,0.009804,0.098039,0.176471,0.326112,2780271861563182206,same
0.921569,0.009804,0.009804,0.921569,0.696078,0.317878,7824670226443980796,same
0.931373,0.009804,0.009804,0.333333,0.931373,0.322123,3163706628276391160,same
0.470588,0.009804,0.049020,0.470588,0.382353,0.311170,9103787461914642096,same
0.843137,0.009804,0.323529,0.647059,0.843137,0.302860,2868113997238206819,same
0.441176,0.009804,0.372549,0.392157,0.441176,0.308643,7254670705463621774,same
