p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.886454,0.071713,0.886454,0.758964,0.113546,0.485900,6023773243545195977,333861500710708707590133022688013635962
0.768924,0.009960,0.768924,0.001992,0.001992,0.470543,8232881927965786237,same
0.505976,0.007968,0.505976,0.001992,0.005976,0.462722,4327635049100162778,same
0.446215,0.360558,0.446215,0.001992,0.037849,0.487019,4369930094163830183,same
0.776892,0.776892,0.101594,0.001992,0.009960,0.464756,716396266416923101,same
0.721116,0.384462,0.721116,0.001992,0.025896,0.480615,7147936851849728296,same
0.930279,0.930279,0.591633,0.001992,0.017928,0.474009,8957806019829825577,same
0.637450,0.131474,0.637450,0.001992,0.001992,0.452370,5598462304138086927,same
0.272908,0.051793,0.272908,0.001992,0.001992,0.459321,4799429443358841654,same
0.836653,0.358566,0.836653,0.001992,0.001992,0.471190,4028949868697891340,same
0.862550,0.862550,0.001992,0.045817,0.362550,0.418617,8450024892666066060,same
0.352590,0.352590,0.001992,0.001992,0.001992,0.428082,8202566129869225806,same
0.011952,0.003984,0.011952,0.001992,0.001992,0.412700,3444996518533654439,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.389542,3460381335678878648,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.382754,3509375719026490259,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.372058,7085106586262618942,same
0.023904,0.001992,0.023904,0.001992,0.001992,0.399883,8918392982959646492,same
0.175299,0.001992,0.175299,0.001992,0.001992,0.409367,5690498120150323820,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.382125,2199671837232398734,same
0.129482,0.001992,0.129482,0.001992,0.001992,0.422292,1131487824554641012,same
0.699203,0.155378,0.001992,0.235060,0.699203,0.323796,3781860325235987773,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.293559,4505354968672760640,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.295705,6744826084856859299,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.301003,4859881101258389574,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.312183,4295504437641673347,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.315283,7393969622220569195,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.301957,904291721664189003,same
0.011952,0.001992,0.011952,0.001992,0.001992,0.303548,6382991784804187172,same
0.041833,0.001992,0.041833,0.001992,0.001992,0.313109,969528769346461365,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.311589,2827061491971529564,same
0.113546,0.005976,0.001992,0.003984,0.113546,0.233295,5240896664053359477,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.191670,7942294432446692254,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.206332,1467224074052180891,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.202784,9028168440647955924,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.228438,2825366491015236671,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.227049,4257888627324035301,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.207110,960843424935137286,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.236711,3104033224782929180,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.226631,535447849701474578,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.252702,9072457500022253418,same
0.161355,0.005976,0.001992,0.161355,0.005976,0.175417,4155932950599228206,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.165686,5148255111887697304,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.164053,6849621103672686349,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.177127,5039859537106596478,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.153348,2919452616638432781,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.178105,7875422589601582937,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.155375,8344372802882664955,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.166650,2287795124390272859,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.140362,1643751871831459412,same
0.005976,0.001992,0.005976,0.001992,0.001992,0.141434,5500232191817097603,same
0.376494,0.019920,0.001992,0.077689,0.376494,0.105977,4328782869114691752,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.089461,6280799182034107034,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.088835,915942397700226052,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.094463,2785438960227231414,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.115132,2057910256158388652,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.110579,6621515594578126865,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.100850,5323084312360938424,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.111286,7124838627277693937,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.101672,6879010050261642887,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.093635,1794343224876974601,same
0.426295,0.015936,0.001992,0.033865,0.426295,0.072389,8020175132099363571,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.058395,3358427445680886665,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.062940,8441536383984943908,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.072382,8763853816462822366,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.056889,5585630144401800094,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.075361,7571710997604996949,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.072847,3882237309684639230,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.073357,8671523581568848384,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.065911,8035054375672743843,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.065277,1580062013123400016,same
0.129482,0.001992,0.001992,0.129482,0.113546,0.021959,1430571650501731090,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.030395,3561642030040442179,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.015079,2334653462465083572,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.018918,3449065797270061720,same
0.065737,0.001992,0.065737,0.001992,0.001992,0.017078,1803651997746764723,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.021463,450705536286058212,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.027718,589913394273414377,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.016077,9133413355711995106,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.024911,1863840410686700764,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.027595,935122464646956079,same
0.828685,0.001992,0.001992,0.549801,0.828685,0.004403,8954105021182349610,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.011945,3808929361383532623,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.003867,4398385621568508300,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.004320,870039945111130592,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.004318,8307166348567933407,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.009450,1149629630067808251,same
0.005976,0.001992,0.005976,0.001992,0.001992,0.002527,3600990658570907591,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.004629,7267550136764752841,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.004957,221824304324453655,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.003836,6916596984011747134,same
0.768924,0.001992,0.001992,0.567729,0.768924,0.000136,230169855854915287,same
0.011952,0.001992,0.001992,0.001992,0.011952,0.000556,340309424182669645,same
0.011952,0.001992,0.011952,0.001992,0.001992,0.002733,2429606622021036464,same
0.023904,0.001992,0.023904,0.001992,0.001992,0.001064,5109976883510023617,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.000899,7539823669639916857,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.001806,8258345348484025976,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.001260,7669677466350660034,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.000880,6818057955560225694,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.002636,7107590732976347811,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.000594,253267116183353263,same
