p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.803922,0.754902,0.460784,0.009804,0.803922,0.476842,5909171947036605984,207921169190500246754738130726199842430
0.500000,0.500000,0.225490,0.009804,0.039216,0.478912,7798513211403371619,same
0.441176,0.441176,0.009804,0.009804,0.088235,0.449268,6059215535821870431,same
0.558824,0.245098,0.294118,0.009804,0.558824,0.470825,8994631352525748786,same
0.882353,0.343137,0.882353,0.009804,0.019608,0.488866,6997645894605500789,same
0.774510,0.225490,0.254902,0.009804,0.774510,0.458562,2292365005054845150,same
0.607843,0.235294,0.382353,0.009804,0.607843,0.466961,4249178266108637850,same
0.892157,0.362745,0.029412,0.009804,0.892157,0.465802,2299978290222344131,same
0.774510,0.774510,0.137255,0.009804,0.147059,0.467577,6332489976809168364,same
0.911765,0.117647,0.911765,0.009804,0.058824,0.481995,3643717600293578880,same
0.313725,0.313725,0.009804,0.009804,0.156863,0.414506,205906133951154119,same
0.960784,0.960784,0.009804,0.009804,0.872549,0.417925,5533536677396496327,same
0.970588,0.970588,0.009804,0.009804,0.372549,0.375612,4119827354244436710,same
0.970588,0.833333,0.009804,0.009804,0.970588,0.409808,4551890734119809526,same
0.725490,0.058824,0.009804,0.009804,0.725490,0.388153,1007346787780506058,same
0.039216,0.009804,0.009804,0.009804,0.039216,0.397024,3874194981207633131,same
0.264706,0.264706,0.009804,0.009804,0.166667,0.406434,9222658944755758054,same
0.343137,0.343137,0.009804,0.009804,0.215686,0.379908,8902298816132207901,same
0.921569,0.392157,0.009804,0.009804,0.921569,0.371100,3474928317740635318,same
0.578431,0.294118,0.009804,0.009804,0.578431,0.386284,4312758307615381486,same
0.529412,0.352941,0.009804,0.009804,0.529412,0.317421,2282397242005785921,same
0.911765,0.078431,0.009804,0.009804,0.911765,0.313905,3584325598207464820,same
0.068627,0.068627,0.009804,0.009804,0.039216,0.294648,391898745928417571,same
0.264706,0.137255,0.009804,0.009804,0.264706,0.296001,4983180279253535160,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.327748,3260903469636881564,same
0.921569,0.382353,0.009804,0.009804,0.921569,0.293530,5524305217038388451,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.335293,5251347465130972566,same
0.754902,0.754902,0.009804,0.009804,0.009804,0.288206,6066982811031822306,same
0.029412,0.009804,0.009804,0.009804,0.029412,0.302566,3604045159433251125,same
0.607843,0.068627,0.009804,0.009804,0.607843,0.289225,937995934809106418,same
0.950980,0.362745,0.009804,0.009804,0.950980,0.218331,4399709714962568215,same
0.539216,0.450980,0.009804,0.009804,0.539216,0.237953,4148191231195844141,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.212156,8114363704224314605,same
0.098039,0.098039,0.009804,0.009804,0.019608,0.218368,3512133355447990564,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.234989,7394390002918106734,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.223201,8864543819213497421,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.223873,7583527240449328672,same
0.137255,0.009804,0.009804,0.009804,0.137255,0.231251,5815661559953230614,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.215256,4917457619111053095,same
0.058824,0.019608,0.009804,0.009804,0.058824,0.226857,7341206609633575796,same
0.686275,0.068627,0.009804,0.009804,0.686275,0.167422,5036212263860217913,same
0.941176,0.715686,0.009804,0.009804,0.941176,0.179798,6369211238242729477,same
0.098039,0.098039,0.009804,0.009804,0.029412,0.170911,5300441959795913930,same
0.529412,0.156863,0.009804,0.009804,0.529412,0.157765,2201327839748708649,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.147780,7120395333503715296,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.182159,2409662731716062514,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.159519,42595978258245324,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.146090,1849077161516261944,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.150787,102029382483295716,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.156711,3636149488114180572,same
0.931373,0.431373,0.009804,0.009804,0.931373,0.093713,4268493733593488228,same
0.666667,0.254902,0.009804,0.009804,0.666667,0.085438,8741421810979002819,same
0.715686,0.078431,0.009804,0.009804,0.715686,0.097750,4721250156043883781,same
0.852941,0.480392,0.009804,0.009804,0.852941,0.093361,7530466488412949761,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.115871,2047156429039440752,same
0.529412,0.009804,0.009804,0.009804,0.529412,0.100832,8524152990907390977,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.098091,5369716329864212020,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.092248,5222199839251211958,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.095373,1330440198751776700,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.089029,2114266456824886580,same
0.911765,0.715686,0.009804,0.009804,0.911765,0.058748,873256805754802767,same
0.803922,0.803922,0.009804,0.009804,0.754902,0.073239,5278256896965521143,same
0.794118,0.725490,0.009804,0.009804,0.794118,0.063573,1743067530015546480,same
0.794118,0.784314,0.009804,0.009804,0.794118,0.053923,7489040562510839707,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.060753,7662345953173553127,same
0.205882,0.009804,0.009804,0.009804,0.205882,0.070239,8645116950034433947,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.056844,6032611437430620123,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.071368,3255147331170836220,same
