p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.833333,0.205882,0.058824,0.009804,0.833333,0.463278,2209412384869344669,314585293344357982809773176541730115694
0.392157,0.333333,0.049020,0.009804,0.392157,0.451655,3026822191182408203,same
0.598039,0.598039,0.009804,0.009804,0.333333,0.443851,1263992189113309304,same
0.735294,0.490196,0.735294,0.009804,0.254902,0.482470,6551146709870281711,same
0.254902,0.049020,0.254902,0.009804,0.009804,0.464477,4645754568600152477,same
0.539216,0.441176,0.009804,0.009804,0.539216,0.441342,3393833778056288715,same
0.303922,0.166667,0.303922,0.009804,0.098039,0.464026,4308923181283585729,same
0.911765,0.196078,0.764706,0.009804,0.911765,0.485205,1557285116816296972,same
0.656863,0.392157,0.656863,0.009804,0.578431,0.482400,580132559913111292,same
0.725490,0.470588,0.029412,0.009804,0.725490,0.456592,3152197526909517020,same
0.794118,0.686275,0.009804,0.009804,0.794118,0.406549,1343423220737037801,same
0.480392,0.480392,0.009804,0.009804,0.392157,0.410240,7054377446393004842,same
0.245098,0.245098,0.009804,0.009804,0.107843,0.386456,2263754313018633019,same
0.411765,0.411765,0.009804,0.009804,0.186275,0.360426,8392778001398647814,same
0.617647,0.323529,0.009804,0.009804,0.617647,0.421475,1352990781648347592,same
0.705882,0.705882,0.186275,0.009804,0.039216,0.466954,6973763779485829159,same
0.764706,0.764706,0.009804,0.009804,0.382353,0.402884,9063868951838199945,same
0.666667,0.235294,0.009804,0.009804,0.666667,0.411652,3265435867649438239,same
0.705882,0.519608,0.009804,0.009804,0.705882,0.400355,2566126903559470785,same
0.245098,0.078431,0.009804,0.009804,0.245098,0.390811,3692362962418903873,same
0.980392,0.980392,0.009804,0.009804,0.480392,0.278685,5404371055302637290,same
0.941176,0.941176,0.009804,0.009804,0.872549,0.319004,2672086012591297408,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.313349,2893945870245347924,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.286413,2358947688480693891,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.297323,4754138306232959930,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.295808,3584444074214165407,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.332414,2532134232147119389,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.282010,2970979925940972963,same
0.029412,0.029412,0.009804,0.009804,0.029412,0.314916,3088700454753485511,same
0.156863,0.156863,0.009804,0.009804,0.029412,0.340571,5074143516356728163,same
0.607843,0.500000,0.009804,0.009804,0.607843,0.233479,6239160446351972233,same
0.647059,0.558824,0.009804,0.009804,0.647059,0.250397,4811049592517031671,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.236324,2867880066944217797,same
0.068627,0.049020,0.009804,0.009804,0.068627,0.206231,6483652158674914620,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.227602,4933674741791732887,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.235238,8816852836722059727,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.212266,2503449604329015538,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.237600,3914136105439105829,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.224077,2767055537236191051,same
0.107843,0.029412,0.009804,0.009804,0.107843,0.221909,5514477652620275973,same
0.892157,0.598039,0.009804,0.009804,0.892157,0.152403,8850031886246295245,same
0.656863,0.656863,0.009804,0.009804,0.588235,0.158426,8946412702872837518,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.178579,1229119386336089907,same
0.754902,0.009804,0.009804,0.009804,0.754902,0.132728,8467508248530194344,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.186405,4907553319333068301,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.174926,1051991734200689828,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.189185,7601714153920694956,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.163333,6419395670256437927,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.149608,1535009832269512559,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.155452,8032083435188365014,same
0.970588,0.970588,0.009804,0.009804,0.539216,0.102045,7009711193927682709,same
0.764706,0.078431,0.009804,0.009804,0.764706,0.125522,6549339894850506452,same
0.598039,0.598039,0.009804,0.009804,0.303922,0.095731,2366912748522836433,same
0.235294,0.127451,0.009804,0.009804,0.235294,0.113335,5391522427050136256,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.086516,2966126459165232060,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.094259,4801086938038684404,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.097082,3998552848026539846,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.113230,5292100762609780700,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.102798,3622067374257788929,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.122133,782096481882395742,same
0.990196,0.274510,0.009804,0.009804,0.990196,0.082666,4706133838450523604,same
0.852941,0.186275,0.009804,0.009804,0.852941,0.057861,5432407887536541813,same
0.745098,0.745098,0.009804,0.009804,0.333333,0.083715,7157506474098908734,same
0.401961,0.137255,0.009804,0.009804,0.401961,0.069210,2485489592436798600,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.066546,3117890648951046665,same
0.117647,0.009804,0.009804,0.009804,0.117647,0.049060,5122146403304052535,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.057756,224486684535944901,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.057724,6399631974727427076,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.064425,3094338616037881364,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.062503,2240944995281346927,same
0.901961,0.872549,0.009804,0.009804,0.901961,0.020314,2837847043563227759,same
0.990196,0.990196,0.009804,0.009804,0.656863,0.029593,5259871550321279022,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.018934,342383497890829610,same
