p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.333333,0.333333,0.098039,0.303922,0.215686,0.468254,8233649627106367785,49253125487128300871789974773586666898
0.637255,0.009804,0.401961,0.637255,0.156863,0.483944,5607992488425128385,same
0.882353,0.009804,0.539216,0.882353,0.235294,0.468446,744341253395281130,same
0.813725,0.009804,0.813725,0.362745,0.519608,0.485529,1887830173576500171,same
0.784314,0.009804,0.450980,0.784314,0.607843,0.454468,4178023709556961507,same
0.823529,0.009804,0.215686,0.460784,0.823529,0.469420,7431768978807446328,same
0.480392,0.009804,0.480392,0.460784,0.137255,0.479571,3530962335488288999,same
0.980392,0.009804,0.980392,0.186275,0.225490,0.449226,4065868522091026231,same
0.509804,0.009804,0.509804,0.352941,0.078431,0.462965,5970071706415308711,same
0.539216,0.009804,0.539216,0.421569,0.480392,0.436198,2612025027275782525,same
0.911765,0.029412,0.009804,0.196078,0.911765,0.381669,7284512745149036255,same
0.794118,0.009804,0.009804,0.794118,0.774510,0.411891,1442039555500209534,same
0.196078,0.009804,0.009804,0.058824,0.196078,0.399037,1434272640265915033,same
0.882353,0.009804,0.029412,0.882353,0.480392,0.424246,3867379119688585134,same
0.784314,0.009804,0.029412,0.637255,0.784314,0.388080,4791128662229742078,same
0.735294,0.009804,0.176471,0.735294,0.333333,0.389733,5951129601621156244,same
0.588235,0.009804,0.166667,0.352941,0.588235,0.409140,5895436528394285766,same
0.901961,0.009804,0.901961,0.431373,0.598039,0.387266,2388903344301438767,same
0.901961,0.009804,0.803922,0.196078,0.901961,0.406345,1562190675288179208,same
0.382353,0.009804,0.127451,0.303922,0.382353,0.410353,5938731002141807604,same
0.627451,0.627451,0.009804,0.392157,0.382353,0.303802,3179899566557267679,same
0.960784,0.009804,0.009804,0.284314,0.960784,0.340405,7823687805552839452,same
0.127451,0.009804,0.009804,0.127451,0.068627,0.294447,6397858536338635826,same
0.901961,0.009804,0.009804,0.264706,0.901961,0.296681,3736780669196800776,same
0.647059,0.009804,0.009804,0.039216,0.647059,0.301346,7712195940184468521,same
0.598039,0.009804,0.009804,0.156863,0.598039,0.307200,3962499996263799022,same
0.519608,0.009804,0.049020,0.519608,0.176471,0.303440,8662435988090640234,same
0.509804,0.009804,0.343137,0.509804,0.009804,0.319753,2766958660948549364,same
0.931373,0.009804,0.931373,0.431373,0.470588,0.314163,572234435796215780,same
0.588235,0.009804,0.107843,0.588235,0.352941,0.284495,5602438260025769095,same
0.862745,0.009804,0.009804,0.813725,0.862745,0.236083,7532470021327265247,same
0.725490,0.009804,0.009804,0.725490,0.401961,0.245281,7706261363328990187,same
0.617647,0.009804,0.009804,0.617647,0.117647,0.250244,2769623036084261961,same
0.745098,0.009804,0.009804,0.411765,0.745098,0.214741,9054237537917898418,same
