p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.679283,0.679283,0.330677,0.129482,0.115538,0.483053,3922399631766679755,12481755352017826146203037515757413285
0.846614,0.637450,0.846614,0.001992,0.268924,0.462034,4134795810351856241,same
0.758964,0.448207,0.155378,0.001992,0.758964,0.480726,9042767601117241478,same
0.440239,0.274900,0.440239,0.001992,0.013944,0.472931,6293966127594935219,same
0.848606,0.848606,0.388446,0.001992,0.107570,0.468003,8911762599632181764,same
0.175299,0.175299,0.161355,0.001992,0.001992,0.459505,5881501854505998585,same
0.954183,0.954183,0.826693,0.001992,0.001992,0.495621,5426902609639698953,same
0.611554,0.017928,0.611554,0.001992,0.001992,0.448416,1354146356720665001,same
0.683267,0.053785,0.683267,0.001992,0.001992,0.456765,1558696472019499735,same
0.784861,0.784861,0.448207,0.001992,0.001992,0.456005,3721418734943573775,same
0.982072,0.982072,0.001992,0.105578,0.021912,0.376332,5917506020460607401,same
0.013944,0.013944,0.001992,0.001992,0.001992,0.376955,8308210500860497504,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.385460,2684769475991565755,same
0.005976,0.001992,0.005976,0.001992,0.001992,0.402651,840920446216866002,same
0.013944,0.013944,0.009960,0.001992,0.001992,0.424349,6036885289974349027,same
0.081673,0.001992,0.081673,0.001992,0.001992,0.407507,812913359330203970,same
0.025896,0.001992,0.025896,0.001992,0.001992,0.420071,8794479829558214210,same
0.247012,0.001992,0.247012,0.001992,0.001992,0.397331,2611684673768120401,same
0.129482,0.001992,0.129482,0.001992,0.001992,0.383346,1892953433553831256,same
0.061753,0.001992,0.061753,0.001992,0.001992,0.381588,4888280498892524352,same
0.310757,0.310757,0.001992,0.139442,0.167331,0.339272,448731469904941655,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.307049,4354232514239434954,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.337563,2826596500199548759,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.345810,8660191561117761510,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.295643,7436997116809952299,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.297670,2815948015282024025,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.337612,3248504485471809280,same
0.115538,0.001992,0.115538,0.001992,0.001992,0.310411,906842876618370404,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.309639,8204623827706392674,same
0.025896,0.001992,0.025896,0.001992,0.001992,0.311501,7830341647872184283,same
0.992032,0.193227,0.001992,0.005976,0.992032,0.210150,352922976045362850,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.234219,2307571915216815786,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.215190,3672965699484042233,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.217623,4535072889710497140,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.231297,5551876276831333667,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.210168,2285782434817738087,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.241493,8015970003842159757,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.244186,5741575784650876500,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.191461,7882169826593029653,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.239440,5845810467249460759,same
0.549801,0.017928,0.001992,0.549801,0.007968,0.142520,6203174248113158035,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.166862,8501310727167804003,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.146342,1133794773081761346,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.164819,2499721575559220328,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.176946,1236633763619975080,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.158972,5764178575434022250,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.149391,3171621622090620410,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.152622,4615235216821838668,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.160990,1368421991125865225,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.193216,4192615788524496663,same
0.053785,0.001992,0.001992,0.001992,0.053785,0.097818,7635849779549668732,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.113901,3799249508598319787,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.104124,2093849332936324734,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.104660,6947678399942741001,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.111856,5104469851717762045,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.105817,4729199911179960698,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.094980,2678577776908936603,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.114864,5733233867278435411,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.102227,8223003697660122190,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.093426,5449954896492257112,same
0.559761,0.029880,0.001992,0.021912,0.559761,0.073586,7695903783540104088,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.066623,275368801349156166,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.060963,2789165076473346109,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.062796,1865548336561042153,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.074959,6871132508097284085,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.080341,5841585020766573038,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.071507,1929881836567811386,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.075707,2750557674462495707,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.069955,4446098900343815487,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.071859,7253440140409811955,same
0.420319,0.001992,0.001992,0.147410,0.420319,0.035100,1258163371934791082,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.030262,1783641594444032401,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.022244,3886843925738630038,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.016005,2695270154930738784,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.027268,5429394238053075323,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.020699,2013032835926049707,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.016281,7909096371746679253,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.021361,6980368593988938021,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.030616,335208590365193979,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.022205,3091510960293735064,same
0.440239,0.001992,0.001992,0.005976,0.440239,0.007876,1768717333279385992,same
0.013944,0.001992,0.001992,0.001992,0.013944,0.008464,8956463648820204841,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.007607,8584664178446298695,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.004013,1064878798406743704,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.006495,1777794047151576053,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.008163,1376780901617329712,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.004504,5259795734912651847,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.008077,7879234148306992367,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.006954,7586117229103182247,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.010159,6928539972725329968,same
0.137450,0.001992,0.001992,0.079681,0.137450,0.001234,1253783827560864150,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.000483,8689972784445014211,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.002225,1679802361629881966,same
0.003984,0.001992,0.003984,0.001992,0.001992,0.002885,265776702401039267,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.001358,8998962295355498695,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.001494,2208513415702031135,same
0.011952,0.001992,0.011952,0.001992,0.001992,0.000121,548589106222487242,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.003202,7650858942811875988,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.001868,8665077160553442073,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.000304,4722914619147963792,same
