p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.852941,0.852941,0.029412,0.009804,0.137255,0.450896,5483545246152976109,56708647925331785412331598702541363881
0.941176,0.529412,0.941176,0.009804,0.882353,0.478001,3571375861095627078,same
0.176471,0.176471,0.058824,0.009804,0.009804,0.461749,9033330518655523179,same
0.892157,0.323529,0.892157,0.009804,0.009804,0.484699,5304952809285373514,same
0.598039,0.205882,0.009804,0.009804,0.598039,0.440134,1911761421599954954,same
0.705882,0.352941,0.705882,0.009804,0.196078,0.483948,8404090571800686578,same
0.980392,0.980392,0.215686,0.009804,0.715686,0.479233,8936664296389002107,same
0.833333,0.833333,0.284314,0.009804,0.509804,0.481111,2020158075284301071,same
0.754902,0.754902,0.009804,0.009804,0.019608,0.416157,6754191375532547641,same
0.637255,0.372549,0.637255,0.009804,0.558824,0.477681,681071199125034171,same
0.774510,0.147059,0.009804,0.009804,0.774510,0.336749,6159272827146594959,same
0.460784,0.460784,0.009804,0.009804,0.382353,0.413216,7537874974154122611,same
0.176471,0.176471,0.009804,0.009804,0.147059,0.367706,4445575126084124353,same
0.607843,0.147059,0.009804,0.009804,0.607843,0.393451,3936603053689736796,same
0.098039,0.009804,0.009804,0.009804,0.098039,0.382127,8099746903836139172,same
0.637255,0.127451,0.009804,0.009804,0.637255,0.391613,7963110437260457615,same
0.186275,0.186275,0.009804,0.009804,0.078431,0.390243,6495139768873556199,same
0.196078,0.088235,0.009804,0.009804,0.196078,0.421112,3580048612916854213,same
0.382353,0.352941,0.009804,0.009804,0.382353,0.424315,7834037800200413252,same
0.794118,0.774510,0.009804,0.009804,0.794118,0.406704,2287782106779354075,same
0.539216,0.274510,0.009804,0.009804,0.539216,0.307368,512504814619290685,same
0.833333,0.294118,0.009804,0.009804,0.833333,0.286479,7104592813748085564,same
0.372549,0.372549,0.009804,0.009804,0.049020,0.287752,1676794334897576940,same
0.049020,0.049020,0.009804,0.009804,0.009804,0.316965,2023935464467401258,same
0.774510,0.009804,0.009804,0.009804,0.774510,0.281025,7050502359790179053,same
0.107843,0.009804,0.009804,0.009804,0.107843,0.280768,1741166986018605524,same
0.147059,0.009804,0.009804,0.009804,0.147059,0.311625,5081652239673859634,same
0.568627,0.147059,0.009804,0.009804,0.568627,0.306704,5272726097207306012,same
0.107843,0.009804,0.009804,0.009804,0.107843,0.302447,3795546605448396454,same
0.941176,0.941176,0.009804,0.009804,0.558824,0.319570,9044174014492060755,same
0.833333,0.833333,0.009804,0.009804,0.686275,0.221142,86177057749526355,same
0.980392,0.980392,0.009804,0.009804,0.696078,0.215740,2370371794088074697,same
0.098039,0.019608,0.009804,0.009804,0.098039,0.214464,3982902662871972852,same
0.196078,0.068627,0.009804,0.009804,0.196078,0.242308,4222475467787467262,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.195616,2165823577220223181,same
0.147059,0.009804,0.009804,0.009804,0.147059,0.211613,2054095023300912504,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.214326,7876892287015477926,same
0.039216,0.039216,0.009804,0.009804,0.019608,0.269126,1276999130133072267,same
0.029412,0.009804,0.009804,0.009804,0.029412,0.206843,5950535678511803132,same
0.852941,0.009804,0.009804,0.009804,0.852941,0.237034,7873225629093994197,same
0.735294,0.735294,0.009804,0.009804,0.656863,0.160919,981763769271470531,same
0.901961,0.205882,0.009804,0.009804,0.901961,0.162769,3827368264123305980,same
0.215686,0.078431,0.009804,0.009804,0.215686,0.149568,1280075366378273487,same
0.284314,0.009804,0.009804,0.009804,0.284314,0.154709,1947070973425959053,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.164820,3844784464281135631,same
0.196078,0.019608,0.009804,0.009804,0.196078,0.169868,8657468781051402702,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.174554,2839504478841127739,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.157548,495746050291359896,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.156018,2074416558368071900,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.167644,4216404028374103476,same
0.735294,0.735294,0.009804,0.009804,0.617647,0.112114,3819531913063375321,same
0.950980,0.225490,0.009804,0.009804,0.950980,0.101130,396803471292118256,same
0.235294,0.088235,0.009804,0.009804,0.235294,0.115287,8524375471379463682,same
0.931373,0.931373,0.009804,0.009804,0.607843,0.107691,783350918672011268,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.107389,1143988640853969374,same
0.049020,0.009804,0.009804,0.009804,0.049020,0.113071,1696973601670726874,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.110765,1928817345854428733,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.088135,4896637176155432899,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.080989,8053301508713269958,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.110583,3618714877076876647,same
0.735294,0.284314,0.009804,0.009804,0.735294,0.075103,8986342377670745084,same
0.960784,0.960784,0.009804,0.009804,0.941176,0.065585,8657727932656610889,same
0.931373,0.931373,0.009804,0.009804,0.813725,0.056343,7023952992736757518,same
0.372549,0.156863,0.009804,0.009804,0.372549,0.074382,5747545024714896911,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.054004,6013433639067858753,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.062469,6206170407515999548,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.060578,5750491197027072248,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.065682,3408399912758230007,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.088738,7472814029156462369,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.067042,3975516818273243417,same
0.970588,0.156863,0.009804,0.009804,0.970588,0.023032,6788356877624450636,same
0.558824,0.558824,0.009804,0.009804,0.401961,0.022808,688180081323414563,same
0.647059,0.009804,0.009804,0.009804,0.647059,0.020610,4731763392862847500,same
0.754902,0.754902,0.009804,0.009804,0.686275,0.026036,541622904603240286,same
0.725490,0.058824,0.009804,0.009804,0.725490,0.023857,2256221858870716333,same
0.500000,0.088235,0.009804,0.009804,0.500000,0.018992,2413493152487246567,same
0.039216,0.009804,0.009804,0.009804,0.039216,0.027936,2297522358865087616,same
0.343137,0.009804,0.009804,0.009804,0.343137,0.026267,6891722939903798886,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.027717,3024053033598539209,same
0.598039,0.009804,0.009804,0.019608,0.598039,0.023294,6841017151703978102,same
0.607843,0.362745,0.009804,0.009804,0.607843,0.005819,8793265554298658125,same
0.990196,0.990196,0.009804,0.009804,0.970588,0.011976,6245876422059976883,same
0.676471,0.009804,0.009804,0.009804,0.676471,0.006503,8004809833106118095,same
0.382353,0.382353,0.009804,0.009804,0.019608,0.009428,8460354581501558311,same
0.833333,0.833333,0.009804,0.009804,0.519608,0.007909,8240128716789164612,same
0.823529,0.421569,0.009804,0.009804,0.823529,0.002900,1185934835055473918,same
0.441176,0.009804,0.009804,0.009804,0.441176,0.007590,8077175597229318921,same
0.519608,0.009804,0.009804,0.009804,0.519608,0.004308,4122897440712753197,same
0.088235,0.009804,0.009804,0.009804,0.088235,0.005499,9063663267284800747,same
0.098039,0.009804,0.009804,0.009804,0.098039,0.004804,6436908550588166991,same
0.696078,0.372549,0.009804,0.009804,0.696078,0.000592,1579884489508706286,same
0.833333,0.833333,0.009804,0.009804,0.480392,0.001923,3274167363357295028,same
0.921569,0.754902,0.009804,0.009804,0.921569,0.004077,1806230795263741275,same
0.960784,0.960784,0.009804,0.009804,0.931373,0.002151,3942991078277986468,same
0.362745,0.009804,0.009804,0.009804,0.362745,0.001787,4331782314184608649,same
0.980392,0.088235,0.009804,0.009804,0.980392,0.000019,6205403366274833327,same
0.696078,0.696078,0.009804,0.009804,0.637255,0.001502,1390516883161305444,same
0.941176,0.607843,0.009804,0.009804,0.941176,0.000133,8297609754479092411,same
0.892157,0.009804,0.009804,0.009804,0.892157,0.001314,6902996034139471074,same
0.058824,0.009804,0.009804,0.029412,0.058824,0.002013,7219926288494529193,same
