p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.774510,0.431373,0.774510,0.009804,0.176471,0.486425,5182296672345039840,314721952221349102469066899920322561868
0.774510,0.774510,0.009804,0.009804,0.215686,0.446851,8403141328681305532,same
0.549020,0.549020,0.431373,0.009804,0.009804,0.476608,7448120111568930630,same
0.303922,0.303922,0.019608,0.009804,0.156863,0.441081,4170263045526783053,same
0.441176,0.107843,0.441176,0.009804,0.009804,0.483996,1290619748509319044,same
0.568627,0.372549,0.568627,0.009804,0.274510,0.461638,2784388591088598258,same
0.666667,0.666667,0.441176,0.009804,0.392157,0.458914,4993637407199235643,same
0.431373,0.078431,0.147059,0.009804,0.431373,0.462390,4279082126261225645,same
0.725490,0.725490,0.049020,0.009804,0.215686,0.462341,5804225522703513634,same
0.490196,0.088235,0.058824,0.009804,0.490196,0.450315,3238577287622142273,same
0.852941,0.656863,0.009804,0.009804,0.852941,0.358153,3490652865117306860,same
0.882353,0.882353,0.009804,0.009804,0.784314,0.405521,8177458183958311853,same
0.421569,0.421569,0.009804,0.009804,0.029412,0.412603,9100519779644332361,same
0.676471,0.558824,0.009804,0.009804,0.676471,0.395597,4001335985139040631,same
0.490196,0.490196,0.009804,0.009804,0.205882,0.382078,3148023124874594306,same
0.196078,0.196078,0.009804,0.009804,0.098039,0.390877,8682166054641055775,same
0.823529,0.823529,0.009804,0.009804,0.215686,0.386552,872585994941621516,same
0.470588,0.019608,0.009804,0.009804,0.470588,0.411330,2890850395379191161,same
0.568627,0.568627,0.009804,0.009804,0.205882,0.427852,2611385173620930347,same
0.784314,0.294118,0.019608,0.009804,0.784314,0.420638,2045437142503134453,same
0.794118,0.794118,0.009804,0.009804,0.264706,0.320127,1352897829552218200,same
0.901961,0.686275,0.009804,0.009804,0.901961,0.316743,1050774588285402810,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.330751,4875785628317125308,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.289990,8363582490420667555,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.331583,5978869903789016791,same
0.068627,0.068627,0.009804,0.009804,0.029412,0.312991,7438773439410674687,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.289719,2917642777006086755,same
0.441176,0.421569,0.009804,0.009804,0.441176,0.330531,7072672017447622040,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.270373,4905411935051817190,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.338986,9003144933713369329,same
0.892157,0.274510,0.009804,0.009804,0.892157,0.223256,3328703776028961573,same
0.970588,0.450980,0.009804,0.009804,0.970588,0.241605,1710732389580121557,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.232237,1143147190776022853,same
0.058824,0.058824,0.009804,0.009804,0.009804,0.234743,3634451530497160714,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.245770,4360116633937549017,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.228382,2678310959266125165,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.215278,3684718873089891236,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.217972,5827211185298369406,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.216583,5317722391317522779,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.224371,596267394096107378,same
0.980392,0.225490,0.009804,0.009804,0.980392,0.166883,4875309469865818440,same
0.990196,0.647059,0.009804,0.009804,0.990196,0.160349,5687471370548849122,same
0.029412,0.029412,0.009804,0.009804,0.009804,0.134614,7252194048470748420,same
0.107843,0.058824,0.009804,0.009804,0.107843,0.152496,1820457401056615161,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.179886,390443919484727221,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.142795,1959412028168220050,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.157653,2179402135595463166,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.159178,4683612821504563762,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.173735,8573132387794497752,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.145950,3511054190396562137,same
0.990196,0.284314,0.009804,0.009804,0.990196,0.115443,239218095165649809,same
0.950980,0.058824,0.009804,0.009804,0.950980,0.090148,7078901468241543136,same
0.833333,0.833333,0.009804,0.009804,0.098039,0.100963,8422459855757962927,same
0.686275,0.686275,0.009804,0.009804,0.088235,0.095512,5459228281168778426,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.096664,2100002757117776463,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.119805,1357460901859414332,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.105014,8923390784670861351,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.095714,1400191980459014604,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.120408,6232512612596096153,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.108546,1979737003021671373,same
0.892157,0.254902,0.009804,0.009804,0.892157,0.063928,5086776084637039637,same
0.901961,0.029412,0.009804,0.009804,0.901961,0.066063,8393118527031857059,same
0.088235,0.039216,0.009804,0.009804,0.088235,0.070558,8044076514056529204,same
0.058824,0.029412,0.009804,0.009804,0.058824,0.057786,164888446286552766,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.059411,521406223240013310,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.078558,6209654196408696544,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.070262,4008214869143709211,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.064747,335424333549437802,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.053138,3992837766530049023,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.067670,3937117767731397812,same
0.676471,0.323529,0.009804,0.009804,0.676471,0.018641,6130419440273685397,same
0.921569,0.460784,0.009804,0.009804,0.921569,0.018063,4169931637476012846,same
0.480392,0.019608,0.009804,0.009804,0.480392,0.022511,3923387001949836814,same
0.627451,0.627451,0.009804,0.009804,0.519608,0.024527,8212840958898078797,same
0.333333,0.147059,0.009804,0.009804,0.333333,0.020335,338855469831025264,same
0.529412,0.019608,0.009804,0.009804,0.529412,0.024886,2167523734956770268,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.022436,2642067178545004703,same
0.049020,0.009804,0.009804,0.009804,0.049020,0.018116,1874316360611306962,same
