p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.656863,0.068627,0.392157,0.382353,0.656863,0.468333,844854205732750177,211319116626359346697826822539589524731
0.549020,0.549020,0.009804,0.352941,0.127451,0.363875,9051913488425216237,same
0.333333,0.323529,0.009804,0.333333,0.088235,0.287576,3192389007883717644,same
0.676471,0.676471,0.009804,0.382353,0.637255,0.210765,1847887865898201612,same
0.411765,0.068627,0.009804,0.019608,0.411765,0.138913,2735374461642579583,same
0.676471,0.107843,0.009804,0.529412,0.676471,0.104402,4855757502446254413,same
0.431373,0.352941,0.009804,0.431373,0.382353,0.057582,2328991357402819310,same
0.725490,0.029412,0.009804,0.725490,0.147059,0.025916,7980587911454592353,same
0.284314,0.078431,0.009804,0.098039,0.284314,0.007800,6580080112555139750,same
0.735294,0.009804,0.009804,0.294118,0.735294,0.001540,1149631021777997331,same
0.990196,0.009804,0.039216,0.117647,0.990196,0.457246,2945109336995630091,same
0.862745,0.009804,0.009804,0.558824,0.862745,0.386153,6087594389101185534,same
0.186275,0.009804,0.009804,0.127451,0.186275,0.313299,1366669880689699350,same
0.578431,0.009804,0.009804,0.392157,0.578431,0.221988,1366588417950631660,same
0.676471,0.009804,0.009804,0.215686,0.676471,0.149428,148401938298729132,same
0.578431,0.009804,0.009804,0.333333,0.578431,0.116774,6652897080035739136,same
0.549020,0.009804,0.009804,0.235294,0.549020,0.068542,5862755178628792988,same
0.588235,0.009804,0.009804,0.588235,0.186275,0.033453,4463153923535066387,same
0.980392,0.009804,0.009804,0.029412,0.980392,0.007504,4818305212828415284,same
0.656863,0.009804,0.009804,0.656863,0.333333,0.001269,9018258804351399628,same
0.794118,0.009804,0.794118,0.225490,0.588235,0.474002,6795444123220595505,same
0.941176,0.009804,0.009804,0.098039,0.941176,0.416840,7847918987205615522,same
0.284314,0.009804,0.009804,0.049020,0.284314,0.291692,9103338421325062962,same
0.872549,0.009804,0.009804,0.215686,0.872549,0.214673,3725291773081354110,same
0.549020,0.009804,0.009804,0.156863,0.549020,0.162948,3393037425610874644,same
0.617647,0.009804,0.009804,0.264706,0.617647,0.116624,813867798999130938,same
0.225490,0.009804,0.009804,0.225490,0.049020,0.055680,2252229305547864623,same
0.303922,0.009804,0.009804,0.303922,0.225490,0.026130,8858471903826891430,same
0.235294,0.009804,0.009804,0.235294,0.156863,0.003423,4080405223985679148,same
0.500000,0.009804,0.009804,0.098039,0.500000,0.000620,3022758410111658698,same
0.666667,0.009804,0.009804,0.666667,0.539216,0.404062,1033266881087062670,same
0.558824,0.009804,0.009804,0.558824,0.382353,0.377992,6558319788459648654,same
0.254902,0.009804,0.009804,0.254902,0.196078,0.271435,982018449357416938,same
0.892157,0.009804,0.009804,0.568627,0.892157,0.223966,3588868606251837390,same
0.558824,0.009804,0.009804,0.558824,0.303922,0.138316,4965173628605866817,same
0.705882,0.009804,0.009804,0.705882,0.598039,0.096424,4838077245642933953,same
0.352941,0.009804,0.009804,0.352941,0.117647,0.070194,4987117493367553217,same
0.470588,0.009804,0.009804,0.284314,0.470588,0.033494,5948364119730704820,same
0.323529,0.009804,0.009804,0.323529,0.049020,0.008468,2051212859944986494,same
0.843137,0.009804,0.009804,0.539216,0.843137,0.002378,6580174215711939737,same
0.921569,0.009804,0.921569,0.578431,0.343137,0.480001,8677752812880901625,same
0.794118,0.009804,0.235294,0.794118,0.166667,0.388572,5328113857173102442,same
0.392157,0.009804,0.009804,0.049020,0.392157,0.284220,6050441814049165580,same
0.431373,0.009804,0.009804,0.431373,0.323529,0.220895,3985921988068494192,same
0.882353,0.009804,0.009804,0.186275,0.882353,0.181003,8960385929737996610,same
0.274510,0.009804,0.009804,0.274510,0.225490,0.122005,327650497274574134,same
0.950980,0.009804,0.009804,0.009804,0.950980,0.067557,6862593348096600816,same
0.647059,0.009804,0.009804,0.647059,0.127451,0.030232,5941015829959993957,same
0.794118,0.009804,0.009804,0.068627,0.794118,0.010750,7948092289792023965,same
0.754902,0.009804,0.009804,0.176471,0.754902,0.000397,6595082227715300685,same
0.460784,0.009804,0.127451,0.137255,0.460784,0.460342,4478347229631238630,same
0.333333,0.009804,0.088235,0.254902,0.333333,0.404334,8585640380043687026,same
0.352941,0.009804,0.019608,0.352941,0.068627,0.311125,7252930258214228441,same
0.549020,0.009804,0.009804,0.343137,0.549020,0.228445,881906492441070923,same
0.823529,0.009804,0.009804,0.088235,0.823529,0.133325,7011243583611117873,same
0.637255,0.009804,0.009804,0.284314,0.637255,0.096074,2090776273453004313,same
0.480392,0.009804,0.009804,0.068627,0.480392,0.056868,4410840862663058039,same
0.784314,0.009804,0.009804,0.637255,0.784314,0.016025,8154299608811092340,same
0.970588,0.009804,0.009804,0.480392,0.970588,0.009152,5299541565886516688,same
0.470588,0.009804,0.009804,0.470588,0.421569,0.001111,6747816540886821442,same
0.411765,0.009804,0.294118,0.303922,0.411765,0.463943,2759557028558579124,same
0.715686,0.009804,0.333333,0.166667,0.715686,0.393053,3767357518891358266,same
0.990196,0.009804,0.019608,0.088235,0.990196,0.299139,5086822165043421632,same
0.666667,0.009804,0.009804,0.088235,0.666667,0.207288,6233987424238970025,same
0.803922,0.009804,0.009804,0.500000,0.803922,0.151024,1576612765347231421,same
0.401961,0.009804,0.009804,0.401961,0.176471,0.093827,5597943640589815351,same
0.607843,0.009804,0.009804,0.607843,0.549020,0.059671,6302697713383538577,same
0.696078,0.009804,0.009804,0.696078,0.441176,0.017588,3400337481435120930,same
0.294118,0.009804,0.009804,0.294118,0.186275,0.008843,5473962773909979156,same
0.343137,0.009804,0.009804,0.343137,0.284314,0.000630,6007888408334129195,same
0.803922,0.009804,0.803922,0.117647,0.754902,0.484000,6620108635606806757,same
0.872549,0.009804,0.872549,0.166667,0.823529,0.401427,8129551336921498741,same
0.901961,0.009804,0.401961,0.401961,0.901961,0.312466,1360129593403671057,same
0.676471,0.009804,0.676471,0.352941,0.254902,0.204677,1293934482212004746,same
0.225490,0.009804,0.225490,0.137255,0.196078,0.183306,4528817201612468311,same
0.225490,0.009804,0.019608,0.156863,0.225490,0.099500,6097766928288562743,same
0.715686,0.009804,0.029412,0.196078,0.715686,0.076274,7523778279735708662,same
0.588235,0.009804,0.019608,0.588235,0.323529,0.020265,7110668954189803833,same
0.205882,0.009804,0.205882,0.147059,0.058824,0.003519,3570113990008093506,same
0.343137,0.009804,0.117647,0.068627,0.343137,0.001629,8453613380197864748,same
0.843137,0.009804,0.843137,0.549020,0.607843,0.469888,7293666918270382663,same
0.764706,0.009804,0.764706,0.460784,0.500000,0.381259,3900093790110654898,same
0.421569,0.009804,0.352941,0.401961,0.421569,0.337256,7533334894944363184,same
0.735294,0.009804,0.735294,0.549020,0.215686,0.222755,699071663822669753,same
0.754902,0.009804,0.284314,0.754902,0.294118,0.138667,7349539702246802904,same
0.852941,0.009804,0.480392,0.852941,0.549020,0.114439,7357897295354267821,same
0.421569,0.009804,0.421569,0.029412,0.205882,0.063486,5801637623865593702,same
0.843137,0.009804,0.029412,0.009804,0.843137,0.031479,2842534661459502524,same
0.411765,0.009804,0.294118,0.186275,0.411765,0.007200,8060711661313286092,same
0.480392,0.009804,0.029412,0.147059,0.480392,0.000307,7356753273907523614,same
0.990196,0.009804,0.990196,0.676471,0.392157,0.469894,2191291015295055693,same
0.941176,0.009804,0.941176,0.166667,0.343137,0.396477,5495197774763542817,same
0.823529,0.009804,0.735294,0.823529,0.254902,0.342260,3963190838962195775,same
0.823529,0.009804,0.823529,0.205882,0.411765,0.235596,8629414660178863531,same
0.862745,0.009804,0.862745,0.049020,0.794118,0.171603,4914695902516918544,same
0.862745,0.009804,0.862745,0.147059,0.205882,0.115016,4469983248021512564,same
0.872549,0.009804,0.872549,0.098039,0.313725,0.073947,3212095183483553051,same
0.852941,0.009804,0.549020,0.627451,0.852941,0.031557,1366039451553191551,same
0.862745,0.009804,0.578431,0.019608,0.862745,0.004319,331986525738745379,same
0.990196,0.009804,0.352941,0.029412,0.990196,0.001909,7573840652180463692,same
