p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.735294,0.352941,0.735294,0.009804,0.245098,0.486425,1141895239845087252,188320631848743715149057524873357681491
0.784314,0.784314,0.019608,0.009804,0.196078,0.446851,8915582230582593055,same
0.450980,0.450980,0.421569,0.009804,0.009804,0.476608,1250382363859267844,same
0.333333,0.333333,0.009804,0.009804,0.205882,0.441081,8304435884146372218,same
0.588235,0.245098,0.588235,0.009804,0.009804,0.483996,8015508194768657687,same
0.558824,0.392157,0.558824,0.009804,0.205882,0.461638,8095302573172063011,same
0.656863,0.656863,0.392157,0.009804,0.382353,0.458914,3870316762594431810,same
0.352941,0.058824,0.117647,0.009804,0.352941,0.462390,1497672204250744207,same
0.735294,0.735294,0.019608,0.009804,0.245098,0.462341,2407024434188933765,same
0.450980,0.137255,0.058824,0.009804,0.450980,0.450315,5088461404474035755,same
0.813725,0.588235,0.009804,0.009804,0.813725,0.358153,3852459990597744232,same
0.813725,0.813725,0.009804,0.009804,0.745098,0.405521,6191776415634226111,same
0.372549,0.372549,0.009804,0.009804,0.019608,0.412603,6406481212578659769,same
0.617647,0.607843,0.009804,0.009804,0.617647,0.395597,7024969669931578727,same
0.470588,0.470588,0.009804,0.009804,0.245098,0.382078,4637195028547091873,same
0.186275,0.186275,0.009804,0.009804,0.107843,0.390877,5421525697749137464,same
0.921569,0.921569,0.009804,0.009804,0.166667,0.386552,3497881474477338623,same
0.558824,0.029412,0.009804,0.009804,0.558824,0.411330,7482157033177410308,same
0.666667,0.666667,0.009804,0.009804,0.274510,0.427852,7881524158454390674,same
0.764706,0.215686,0.009804,0.009804,0.764706,0.420638,51742690743422042,same
0.911765,0.911765,0.009804,0.009804,0.284314,0.320127,1972503333541199101,same
0.931373,0.607843,0.009804,0.009804,0.931373,0.316743,2471918782086267946,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.330751,334162051221448143,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.289990,4348949204272688132,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.331583,6260718114497273221,same
0.039216,0.039216,0.009804,0.009804,0.039216,0.312991,6748314745246394059,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.289719,3773624822223630188,same
0.490196,0.431373,0.009804,0.009804,0.490196,0.330531,942006900830232224,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.270373,6186939261926453850,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.338986,6983892801566503133,same
0.852941,0.254902,0.009804,0.009804,0.852941,0.223256,3457846860301978491,same
0.990196,0.421569,0.009804,0.009804,0.990196,0.241605,8054339140398008252,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.232237,8153978255973094617,same
0.137255,0.137255,0.009804,0.009804,0.019608,0.234743,6887172340014373881,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.245770,2876268103691868674,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.228382,3490472767131921078,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.215278,7393662304333894446,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.217972,2774382578527256560,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.216583,917565505983688764,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.224371,848905550513377225,same
0.980392,0.205882,0.009804,0.009804,0.980392,0.166883,1648305927685276752,same
