p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.725490,0.656863,0.382353,0.725490,0.382353,0.483071,6574929455300097938,211642095921500091048981478103324009502
0.647059,0.009804,0.647059,0.068627,0.637255,0.489872,5630782378468256726,same
0.970588,0.441176,0.970588,0.137255,0.784314,0.482050,7093108079149351735,same
0.441176,0.029412,0.088235,0.382353,0.441176,0.464086,7127339266844134235,same
0.676471,0.676471,0.303922,0.009804,0.568627,0.467069,5220513503333842775,same
0.460784,0.460784,0.294118,0.333333,0.147059,0.463611,4915038603104463027,same
0.892157,0.303922,0.892157,0.029412,0.215686,0.466026,9127144645585302986,same
0.794118,0.078431,0.058824,0.127451,0.794118,0.466530,2069337132478195696,same
0.970588,0.127451,0.970588,0.009804,0.823529,0.477683,1264637572246482983,same
0.892157,0.019608,0.137255,0.892157,0.598039,0.464062,6429414350660112194,same
0.911765,0.009804,0.460784,0.009804,0.911765,0.462593,5938848955885855136,same
0.941176,0.009804,0.578431,0.058824,0.941176,0.451993,9127491328180152760,same
0.637255,0.009804,0.637255,0.009804,0.215686,0.469694,7833577153318123282,same
0.990196,0.009804,0.990196,0.009804,0.568627,0.485573,4647395446699575909,same
0.254902,0.009804,0.254902,0.009804,0.009804,0.450054,641083761673766153,same
0.352941,0.009804,0.352941,0.009804,0.009804,0.470533,2532621965182158660,same
0.931373,0.009804,0.931373,0.009804,0.392157,0.489999,5029431734078961453,same
0.039216,0.009804,0.039216,0.009804,0.009804,0.458755,7839049072243483978,same
0.901961,0.009804,0.901961,0.009804,0.852941,0.485719,726696930204481178,same
0.382353,0.009804,0.382353,0.009804,0.009804,0.444176,1694705360402193880,same
0.686275,0.009804,0.686275,0.009804,0.431373,0.491853,5670100975949487434,same
0.549020,0.009804,0.549020,0.049020,0.529412,0.486367,5377653355649550930,same
0.745098,0.009804,0.745098,0.009804,0.009804,0.440276,655770074934651988,same
0.401961,0.009804,0.401961,0.009804,0.117647,0.412431,1623697510438934346,same
0.392157,0.009804,0.392157,0.009804,0.009804,0.411274,5969975643363951051,same
0.862745,0.009804,0.862745,0.009804,0.009804,0.455404,3658190866887967791,same
0.715686,0.009804,0.715686,0.009804,0.009804,0.371301,7991083799814777031,same
