p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.966135,0.001992,0.001992,0.209163,0.966135,0.432800,4768360177477255607,221857824650943429584060407095740733191
0.912351,0.003984,0.001992,0.001992,0.912351,0.432800,860287110764893321,same
0.336653,0.035857,0.001992,0.131474,0.336653,0.260948,5073611448542314821,same
0.009960,0.001992,0.001992,0.001992,0.009960,0.260948,3783541653073087811,same
0.994024,0.043825,0.001992,0.003984,0.994024,0.260948,2072838001083731788,same
0.513944,0.133466,0.001992,0.003984,0.513944,0.260948,5004963720973626680,same
0.998008,0.065737,0.001992,0.001992,0.998008,0.260948,7174536453150192501,same
0.683267,0.045817,0.001992,0.001992,0.683267,0.260948,6181600980135713457,same
0.115538,0.017928,0.001992,0.115538,0.097610,0.260948,7846279381729150378,same
0.806773,0.089641,0.001992,0.235060,0.806773,0.260948,7019785592865724691,same
0.197211,0.001992,0.001992,0.197211,0.021912,0.260948,4689588304512624571,same
0.916335,0.015936,0.001992,0.001992,0.916335,0.260948,7133269479535402462,same
0.693227,0.007968,0.001992,0.111554,0.693227,0.260948,7661726348745237806,same
0.990040,0.025896,0.001992,0.001992,0.990040,0.260948,275449100373127253,same
0.890438,0.027888,0.001992,0.396414,0.890438,0.260948,1880200286783332164,same
0.239044,0.079681,0.001992,0.073705,0.239044,0.260948,870011646477411417,same
0.478088,0.059761,0.001992,0.001992,0.478088,0.260948,738702603741717164,same
0.856574,0.017928,0.001992,0.001992,0.856574,0.260948,7434645001906728936,same
0.250996,0.071713,0.001992,0.091633,0.250996,0.260948,4029676668540724783,same
0.278884,0.007968,0.001992,0.001992,0.278884,0.260948,6706445323195556713,same
0.003984,0.001992,0.001992,0.001992,0.003984,0.260948,1944015605959325814,same
0.994024,0.153386,0.001992,0.017928,0.994024,0.260948,5887330545206413016,same
0.549801,0.001992,0.001992,0.517928,0.549801,0.260948,9133890188462606633,same
0.025896,0.009960,0.001992,0.001992,0.025896,0.260948,2907511726529331791,same
0.725100,0.001992,0.001992,0.117530,0.725100,0.260948,9004946236196611970,same
0.764940,0.025896,0.001992,0.320717,0.764940,0.260948,2956487557443177208,same
0.051793,0.031873,0.001992,0.043825,0.051793,0.260948,1564358386969697348,same
0.071713,0.041833,0.001992,0.047809,0.071713,0.260948,3390025094539665204,same
0.998008,0.001992,0.001992,0.001992,0.998008,0.260948,8759988476109680717,same
0.013944,0.001992,0.001992,0.001992,0.013944,0.260948,5573971541167141026,same
0.183267,0.007968,0.001992,0.001992,0.183267,0.260948,1038796325909532989,same
0.998008,0.001992,0.001992,0.001992,0.998008,0.260948,9079807307751879534,same
0.992032,0.011952,0.001992,0.001992,0.992032,0.260948,2427018074974427751,same
0.954183,0.171315,0.001992,0.025896,0.954183,0.260948,7239953817215889459,same
0.424303,0.017928,0.001992,0.139442,0.424303,0.260948,4803827402949681119,same
0.966135,0.017928,0.001992,0.111554,0.966135,0.260948,2235215398711815183,same
0.998008,0.005976,0.001992,0.001992,0.998008,0.260948,7211920032524342188,same
0.027888,0.007968,0.001992,0.027888,0.001992,0.260948,295734253075013183,same
0.814741,0.021912,0.001992,0.001992,0.814741,0.260948,3092173976853669311,same
0.998008,0.143426,0.001992,0.005976,0.998008,0.260948,1929822769390206001,same
0.095618,0.009960,0.001992,0.019920,0.095618,0.260948,6066995352794954629,same
0.330677,0.177291,0.001992,0.069721,0.330677,0.260948,3544389439356435790,same
0.537849,0.001992,0.001992,0.322709,0.537849,0.260948,718224217391106882,same
0.019920,0.019920,0.001992,0.001992,0.005976,0.260948,2614166342627284071,same
0.756972,0.029880,0.001992,0.005976,0.756972,0.260948,3926770393552425990,same
0.217131,0.133466,0.001992,0.217131,0.055777,0.260948,4776469662298436715,same
0.065737,0.015936,0.001992,0.001992,0.065737,0.260948,4283572520182429974,same
0.609562,0.003984,0.001992,0.039841,0.609562,0.260948,6683574889198555036,same
0.663347,0.033865,0.001992,0.095618,0.663347,0.260948,7173730343312654844,same
0.966135,0.069721,0.001992,0.336653,0.966135,0.260948,7462245238358467809,same
0.017928,0.003984,0.001992,0.001992,0.017928,0.260948,4527029318064967023,same
0.500000,0.059761,0.001992,0.001992,0.500000,0.260948,8235738806143461013,same
0.021912,0.001992,0.001992,0.013944,0.021912,0.260948,126195804551684906,same
0.926295,0.067729,0.001992,0.001992,0.926295,0.260948,7933859676276251203,same
0.635458,0.001992,0.001992,0.039841,0.635458,0.260948,2265465637592068325,same
0.233068,0.015936,0.001992,0.233068,0.001992,0.260948,2843961150361978958,same
0.448207,0.013944,0.001992,0.003984,0.448207,0.260948,5235512051040926744,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.260948,3700205361067566650,same
0.603586,0.119522,0.001992,0.264940,0.603586,0.260948,6748836709216694736,same
0.095618,0.041833,0.001992,0.019920,0.095618,0.260948,3453114840009268470,same
0.607570,0.003984,0.001992,0.005976,0.607570,0.260948,5157308889380490203,same
0.998008,0.001992,0.001992,0.099602,0.998008,0.260948,1038440351616629635,same
0.717131,0.239044,0.001992,0.005976,0.717131,0.260948,7799684999766584767,same
0.563745,0.346614,0.001992,0.001992,0.563745,0.260948,420262318885164511,same
0.223108,0.163347,0.001992,0.051793,0.223108,0.260948,2137323841979686319,same
0.167331,0.005976,0.001992,0.001992,0.167331,0.260948,319163525845116828,same
0.723108,0.001992,0.001992,0.035857,0.723108,0.260948,7436276269485602377,same
0.545817,0.005976,0.001992,0.027888,0.545817,0.260948,7657818096663110787,same
0.103586,0.003984,0.001992,0.103586,0.001992,0.260948,3846946202570478078,same
0.964143,0.049801,0.001992,0.001992,0.964143,0.314299,334409777192070764,same
0.003984,0.003984,0.001992,0.001992,0.001992,0.314299,7420301029722106283,same
0.025896,0.001992,0.001992,0.001992,0.025896,0.433749,4115244211019554918,same
0.053785,0.001992,0.005976,0.053785,0.001992,0.433749,5567785774083261813,same
0.539841,0.001992,0.001992,0.001992,0.539841,0.325668,5270784213253721937,same
0.998008,0.019920,0.001992,0.001992,0.998008,0.325668,8362447537027992574,same
0.717131,0.009960,0.001992,0.227092,0.717131,0.325668,1367380615889275768,same
0.998008,0.001992,0.001992,0.001992,0.998008,0.325668,5258196195458692384,same
0.998008,0.049801,0.001992,0.001992,0.998008,0.325668,1475163739268776716,same
0.998008,0.113546,0.001992,0.001992,0.998008,0.325668,246504383663271742,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.325668,6479026992028674654,same
0.135458,0.001992,0.001992,0.001992,0.135458,0.325668,6413326515664839242,same
0.998008,0.051793,0.001992,0.001992,0.998008,0.325668,2144638650318432075,same
0.117530,0.093625,0.001992,0.009960,0.117530,0.325668,741965494625561261,same
