p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.035857,0.001992,0.003984,0.001992,0.035857,0.432800,1146554959797484760,310488190302412708076732661091974784498
0.001992,0.001992,0.001992,0.001992,0.001992,0.260948,1178461802298192301,same
0.998008,0.051793,0.001992,0.001992,0.998008,0.260948,3348562318111804702,same
0.998008,0.011952,0.001992,0.001992,0.998008,0.260948,6879322014072830892,same
0.316733,0.001992,0.001992,0.227092,0.316733,0.260948,8540507050085880919,same
0.019920,0.019920,0.001992,0.003984,0.001992,0.260948,8209093989657609901,same
0.998008,0.001992,0.001992,0.005976,0.998008,0.260948,3999490171397393471,same
0.009960,0.001992,0.001992,0.009960,0.007968,0.260948,4379829600634505539,same
0.133466,0.013944,0.001992,0.051793,0.133466,0.260948,2244699916331509145,same
0.968127,0.027888,0.001992,0.001992,0.968127,0.260948,2614015510684240374,same
0.986056,0.001992,0.001992,0.005976,0.986056,0.260948,38974376371950634,same
0.103586,0.003984,0.001992,0.103586,0.009960,0.260948,8425445387237310049,same
0.117530,0.079681,0.001992,0.117530,0.001992,0.260948,489864875504806555,same
0.456175,0.027888,0.001992,0.031873,0.456175,0.260948,2460308744338160679,same
0.011952,0.005976,0.001992,0.001992,0.011952,0.260948,3388267532430599603,same
0.093625,0.005976,0.001992,0.001992,0.093625,0.260948,1819749423935169558,same
0.310757,0.037849,0.001992,0.007968,0.310757,0.260948,358459200570541448,same
0.420319,0.001992,0.001992,0.121514,0.420319,0.260948,6121198534699516094,same
0.314741,0.069721,0.001992,0.003984,0.314741,0.260948,3079671864628127990,same
0.651394,0.009960,0.001992,0.535857,0.651394,0.260948,3932322792500184038,same
0.047809,0.047809,0.001992,0.033865,0.007968,0.260948,2999915357600940473,same
0.025896,0.005976,0.001992,0.025896,0.019920,0.260948,7487778503680639134,same
0.635458,0.003984,0.001992,0.063745,0.635458,0.260948,7469728784627538825,same
0.037849,0.037849,0.001992,0.001992,0.021912,0.260948,3898407720636913361,same
0.527888,0.013944,0.001992,0.001992,0.527888,0.260948,7520214695454527617,same
0.059761,0.059761,0.001992,0.001992,0.003984,0.260948,6820084213902308757,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.260948,7120217988019679222,same
0.930279,0.031873,0.001992,0.001992,0.930279,0.260948,3359212033963372791,same
0.193227,0.097610,0.001992,0.001992,0.193227,0.260948,3019158554865616162,same
0.011952,0.001992,0.001992,0.003984,0.011952,0.260948,3517956805717251474,same
0.994024,0.003984,0.001992,0.003984,0.994024,0.260948,3859621854180108750,same
0.994024,0.001992,0.001992,0.005976,0.994024,0.260948,6684867445441503367,same
0.143426,0.003984,0.001992,0.143426,0.137450,0.260948,7448381455689624602,same
0.135458,0.001992,0.001992,0.021912,0.135458,0.260948,5990788972702193109,same
0.053785,0.009960,0.001992,0.001992,0.053785,0.260948,4434579566649316125,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.260948,2265247283257804898,same
0.039841,0.039841,0.001992,0.001992,0.027888,0.260948,5600226565222740440,same
0.053785,0.009960,0.001992,0.053785,0.019920,0.260948,9017662559736289474,same
0.268924,0.003984,0.001992,0.268924,0.143426,0.260948,2642641831803099927,same
0.501992,0.017928,0.001992,0.039841,0.501992,0.260948,8650845967698163424,same
0.886454,0.031873,0.001992,0.059761,0.886454,0.260948,7384533051826749574,same
0.223108,0.019920,0.001992,0.001992,0.223108,0.260948,1739687998917368301,same
0.709163,0.007968,0.001992,0.021912,0.709163,0.260948,4163300614425093010,same
0.149402,0.001992,0.001992,0.003984,0.149402,0.260948,9143176155075721164,same
0.007968,0.001992,0.001992,0.007968,0.007968,0.260948,1354540270794965854,same
0.876494,0.023904,0.001992,0.009960,0.876494,0.260948,1913028404890167874,same
0.252988,0.037849,0.001992,0.009960,0.252988,0.260948,8147242669587837284,same
0.581673,0.161355,0.001992,0.001992,0.581673,0.260948,508924226876093764,same
0.980080,0.023904,0.001992,0.207171,0.980080,0.260948,5977261415796358509,same
0.444223,0.101594,0.001992,0.003984,0.444223,0.260948,1714253588531667774,same
0.308765,0.017928,0.001992,0.308765,0.185259,0.260948,7807878620592129652,same
0.177291,0.001992,0.001992,0.177291,0.093625,0.260948,6202225869228220269,same
0.990040,0.013944,0.001992,0.001992,0.990040,0.260948,9185140694957465599,same
0.486056,0.041833,0.001992,0.001992,0.486056,0.260948,8945012150145662860,same
0.673307,0.021912,0.001992,0.003984,0.673307,0.260948,353183202988397039,same
0.996016,0.001992,0.001992,0.009960,0.996016,0.260948,4462651312982480470,same
0.828685,0.005976,0.001992,0.001992,0.828685,0.260948,6846065673623665114,same
0.211155,0.049801,0.001992,0.001992,0.211155,0.260948,1239116368691500501,same
0.306773,0.021912,0.001992,0.185259,0.306773,0.260948,5499642030385730390,same
0.095618,0.001992,0.001992,0.001992,0.095618,0.260948,911918651179615789,same
0.737052,0.023904,0.001992,0.737052,0.288845,0.260948,4115633623403417125,same
0.009960,0.005976,0.001992,0.001992,0.009960,0.260948,3739832570946758111,same
0.087649,0.003984,0.001992,0.041833,0.087649,0.260948,3076785035018984714,same
0.123506,0.001992,0.001992,0.001992,0.123506,0.260948,415663001051370028,same
0.075697,0.013944,0.001992,0.003984,0.075697,0.260948,8674164626217746232,same
0.035857,0.001992,0.001992,0.001992,0.035857,0.260948,5121334905942906309,same
0.824701,0.103586,0.001992,0.001992,0.824701,0.260948,1324218227812456730,same
0.005976,0.001992,0.001992,0.001992,0.005976,0.314299,4408833039292330455,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.314299,1102600123154597772,same
0.998008,0.011952,0.001992,0.001992,0.998008,0.433749,5757474313169378868,same
0.101594,0.001992,0.001992,0.101594,0.007968,0.433749,3390165411101601358,same
0.605578,0.095618,0.001992,0.009960,0.605578,0.325668,8969551239630854941,same
0.314741,0.023904,0.001992,0.001992,0.314741,0.325668,915481732810933424,same
0.368526,0.368526,0.001992,0.005976,0.017928,0.325668,658711432371085869,same
