"p_cit","p_TL","p_TG","p_GL","p_Lind","p_res"
-1,-1,-1,-1,-1,"774574965"
0.85165338365685,0.421369680791464,0.85165338365685,1.46284362646452e-29,0.467679074877015," "
0.564635243499612,0.564635243499612,0.332640241981808,4.07395987490346e-26,0.177330668050945," "
0.95690411376051,0.672870340188114,0.95690411376051,1.72294655157318e-25,0.515553073355589," "
0.999101501618882,0.185683799421506,0.999101501618882,9.28474697413662e-25,0.626074069140656," "
0.764754629857919,0.304490403555528,0.424378443651941,1.46972303777408e-30,0.764754629857919," "
0.00386371796362678,0.00127349447351687,0.00386371796362678,2.38032739358396e-24,0.00368355993790861,"causal"
0.00072302515137902,0.000370324426103702,0.00072302515137902,6.44321409870052e-29,0.000660026167831624,"causal"
0.0246152671834003,0.0246152671834003,1.36439056184012e-05,1.74035795524075e-21,6.09451690566469e-06,"causal"
0.0075960707284761,0.0075960707284761,0.000320515450412319,3.39682194658939e-28,7.90409899443067e-05,"causal"
0.540910412828623,0.0275048152276712,0.540910412828623,7.63065303951471e-21,0.281311046189174," "
6.16079573294007e-08,6.16079573294007e-08,2.2201552703149e-19,1.17199413100239e-25,4.17187960613873e-20,"causal"
2.9092540904018e-05,2.9092540904018e-05,2.01712124061654e-16,1.47786888591254e-20,2.12594746732781e-16,"causal"
0.0033505082652181,0.0033505082652181,2.94551002330763e-06,2.75171073531256e-24,1.21995143443245e-05,"causal"
2.15449663173927e-05,2.15449663173927e-05,8.50442096451423e-07,1.55943232885201e-24,7.85534161010909e-07,"causal"
0.12478667286336,0.12478667286336,0.000637014262946408,1.9496922861094e-29,0.00332490976740843," "
1.18450818106961e-06,1.18450818106961e-06,8.93077245924223e-17,4.13689428510492e-27,3.09392037359607e-15,"causal"
1.26604863314494e-08,1.26604863314494e-08,1.3061779497859e-19,7.77802802814511e-14,2.54995848944471e-15,"causal"
9.37824119084814e-09,5.55212342903681e-09,9.37824119084814e-09,4.48655030873557e-17,6.63262019107066e-09,"causal"
0.000432488509727672,0.000432488509727672,1.75751982418062e-06,2.60584696405204e-25,7.83501219410417e-06,"causal"
0.115690155870992,0.115690155870992,5.08347869308244e-05,2.30744126318891e-19,4.04935617607899e-08," "
3.87876374589128e-06,3.87876374589128e-06,5.29006685742441e-28,1.52232530315723e-18,4.11970461873438e-26,"causal"
6.30587442823769e-07,6.30587442823769e-07,1.18078019490449e-21,1.27066909635363e-18,3.72881210295601e-26,"causal"
0.000227450493600958,0.000227450493600958,7.34303218964826e-06,6.20477445033047e-23,4.00432722938063e-07,"causal"
9.65563243116162e-05,9.65563243116162e-05,5.69357025229084e-07,1.56644442125753e-20,6.97014287365816e-07,"causal"
0.0237590349876628,0.0237590349876628,4.524312017504e-08,1.7216196796418e-21,7.17445899885312e-08,"causal"
0.204384645888217,0.204384645888217,0.146248024435638,1.94359789148502e-74,0.048525244085348," "
0.869123597736791,0.869123597736791,0.782192844734665,1.49468215631398e-73,0.404168223010596," "
0.917354528127068,0.917354528127068,0.11167523163277,8.17038163318586e-83,0.89216958488349," "
0.285097964785878,0.013748606613026,0.285097964785878,9.85714597648303e-81,0.0693648541186966," "
0.80671761900447,0.644235835589083,0.344485988733428,6.06041534263546e-67,0.80671761900447," "
0.9996455121869,5.68627349305729e-06,0.00107079709812831,2.39022530941456e-82,0.9996455121869," "
0.999915281529599,0.000572115912705977,1.7144987004377e-05,3.83892447771803e-85,0.999915281529599," "
0.999515130138121,2.5941771607324e-05,0.000608143156731123,3.5461937297213e-86,0.999515130138121," "
0.996572814671663,0.00783842650205165,0.00278102249608488,2.64370543350273e-81,0.996572814671663," "
0.992055756399583,0.416183958212999,0.0271575634047918,7.9746102171804e-71,0.992055756399583," "
2.51347011419432e-08,2.98891271433385e-39,5.58867563426427e-10,3.7412483032789e-40,2.51347011419432e-08,"causal"
6.91073736146444e-05,6.46919090712222e-33,6.91073736146444e-05,1.29565122364899e-58,2.38127458591662e-05,"causal"
0.0171219370500884,6.93172233496603e-24,0.0170014834365461,1.97422918285299e-59,0.0171219370500884,"causal"
0.082081102221745,1.41943016604525e-17,0.082081102221745,6.83123755728119e-65,0.0511264514806071," "
0.00948571474856306,5.43830038022264e-13,0.00948571474856306,9.09046473725331e-71,0.00280192138441681,"causal"
7.93982697665322e-27,4.62674708901681e-47,8.68673359950135e-34,5.33781388781149e-27,7.93982697665322e-27,"causal"
1.21039505038805e-21,8.88697131117874e-36,1.21039505038805e-21,8.87743675768366e-42,1.16187340213816e-22,"causal"
1.11313296600945e-13,5.74096677856132e-34,2.71543086811306e-17,1.25971276238209e-50,1.11313296600945e-13,"causal"
1.08304116290386e-08,6.00148016069644e-15,4.42521268920674e-11,4.35945464440113e-63,1.08304116290386e-08,"causal"
1.14873935603177e-06,3.53764859422409e-17,1.13045731253612e-06,1.83295433373101e-59,1.14873935603177e-06,"causal"
1.58160611551732e-29,5.82512074492137e-50,5.48791166251764e-46,1.58160611551732e-29,5.00830758568317e-35,"causal"
2.51004568715075e-29,4.37677759907021e-37,4.24277368521635e-36,1.42562279346054e-48,2.51004568715075e-29,"causal"
1.06935457633022e-20,1.06935457633022e-20,1.24590200895068e-21,1.33634120453795e-45,4.28168832786152e-22,"causal"
2.17218265008339e-08,2.10149595076327e-13,1.35204252720361e-20,2.14998636391496e-65,2.17218265008339e-08,"causal"
2.42080774445309e-07,4.4215046734151e-14,7.08786705217563e-08,1.50337725041794e-62,2.42080774445309e-07,"causal"
0.750715055525717,0.750715055525717,0.450385469735107,6.68054708781025e-143,0.477701526676868," "
0.915157828139339,0.368581167776508,0.231031524129073,1.48135155180559e-136,0.915157828139339," "
0.75181070316081,0.75181070316081,0.575410008746839,6.85241081931325e-132,0.293121657480518," "
0.729324720146483,0.579515432272643,0.729324720146483,2.29988614855586e-122,0.499629246080279," "
0.628024402337594,0.628024402337594,0.580567327743154,1.74197861479849e-128,0.183454345090797," "
0.98599732936109,0.0135740691525517,0.0281797092155184,1.22396816568264e-136,0.98599732936109," "
0.797747065803675,0.797747065803675,0.27170260361936,5.14127088124753e-142,0.670778335081677," "
0.980718927392681,0.7607577456539,0.0643890897249519,1.52077924028229e-133,0.980718927392681," "
0.968769986889961,0.551445874732959,0.0113284457818013,1.72027422750754e-125,0.968769986889961," "
0.68198812883999,0.396549883591934,0.68198812883999,8.10611742303178e-127,0.0927510760113561," "
0.999999999998497,8.97322568226026e-35,3.21215882206264e-14,7.8697800238212e-133,0.999999999998497," "
0.999999998989035,1.79097435876536e-30,4.07214496466111e-10,1.16657628874607e-121,0.999999998989035," "
0.999999897417815,1.03735111219539e-27,3.58851789015026e-05,1.14755587422256e-129,0.999999897417815," "
0.999737365832548,5.44023540626695e-15,0.000532842188227548,2.72651106697797e-109,0.999737365832548," "
0.999769355662868,1.08499733666473e-11,0.000157476914879786,2.65817399399415e-135,0.999769355662868," "
0.140242805440445,3.28343889786307e-106,0.119326306791384,4.61731644137821e-67,0.140242805440445," "
3.32932612915515e-05,3.94096199653602e-80,3.32932612915515e-05,2.5339841005643e-66,4.76073144609546e-06,"causal"
