trio number,fdr,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values
1,0,NA,NA,NA,NA,NA,NA,NA,NA
1,0.05,L|A,L|B,NA,NA,1,1,NA,NA
1,0.1,L|A,L|B,NA,NA,1,1,NA,NA
1,0.15,L|A,L|B,NA,NA,1,1,NA,NA
1,0.2,L|A,L|B,NA,NA,1,1,NA,NA
1,0.25,L|A,L|B,NA,NA,1,1,NA,NA
1,0.3,L|A,L|B,NA,NA,1,1,NA,NA
1,0.35,L|A,L|B,NA,NA,1,1,NA,NA
1,0.4,L|A,L|B,NA,NA,1,1,NA,NA
1,0.45,L|A,L|B,NA,NA,1,1,NA,NA
1,0.5,L|A,L|B,NA,NA,1,1,NA,NA
1,0.55,L|A,L|B,NA,NA,1,1,NA,NA
1,0.6,L|A,L|B,NA,NA,1,1,NA,NA
1,0.65,L|A,L|B,NA,NA,1,1,NA,NA
1,0.7,L|A,L|B,NA,NA,1,1,NA,NA
1,0.75,L|A,L|B,NA,NA,1,1,NA,NA
1,0.8,L|A,L|B,NA,NA,1,1,NA,NA
1,0.85,L|A,L|B,NA,NA,1,1,NA,NA
1,0.9,L|A,L|B,NA,NA,1,1,NA,NA
1,0.95,L|A,L|B,NA,NA,1,1,NA,NA
1,1,L|A,L|B,NA,NA,1,1,NA,NA
2,0,NA,NA,NA,NA,NA,NA,NA,NA
2,0.05,L|A,A|B,NA,NA,1,1,NA,NA
2,0.1,L|A,A|B,NA,NA,1,1,NA,NA
2,0.15,L|A,A|B,NA,NA,1,1,NA,NA
2,0.2,L|A,A|B,NA,NA,1,1,NA,NA
2,0.25,L|A,A|B,NA,NA,1,1,NA,NA
2,0.3,L|A,A|B,NA,NA,1,1,NA,NA
2,0.35,L|A,A|B,NA,NA,1,1,NA,NA
2,0.4,L|A,A|B,NA,NA,1,1,NA,NA
2,0.45,L|A,A|B,NA,NA,1,1,NA,NA
2,0.5,L|A,A|B,NA,NA,1,1,NA,NA
2,0.55,L|A,A|B,NA,NA,1,1,NA,NA
2,0.6,L|A,A|B,NA,NA,1,1,NA,NA
2,0.65,L|A,A|B,NA,NA,1,1,NA,NA
2,0.7,L|A,A|B,NA,NA,1,1,NA,NA
2,0.75,L|A,A|B,NA,NA,1,1,NA,NA
2,0.8,L|A,A|B,NA,NA,1,1,NA,NA
2,0.85,L|A,A|B,NA,NA,1,1,NA,NA
2,0.9,L|A,A|B,NA,NA,1,1,NA,NA
2,0.95,L|A,A|B,NA,NA,1,1,NA,NA
2,1,L|A,A|B,NA,NA,1,1,NA,NA
3,0,NA,NA,NA,NA,NA,NA,NA,NA
3,0.05,L|A,NA,NA,NA,1,NA,NA,NA
3,0.1,L|A,NA,NA,NA,1,NA,NA,NA
3,0.15,L|A,NA,NA,NA,1,NA,NA,NA
3,0.2,L|A,NA,NA,NA,1,NA,NA,NA
3,0.25,L|A,L|B,NA,NA,1,1,NA,NA
3,0.3,L|A,L|B,NA,NA,1,1,NA,NA
3,0.35,L|A,L|B,NA,NA,1,1,NA,NA
3,0.4,L|A,L|B,NA,NA,1,1,NA,NA
3,0.45,L|A,L|B,NA,NA,1,1,NA,NA
3,0.5,L|A,L|B,NA,NA,1,1,NA,NA
3,0.55,L|A,L|B,NA,NA,1,1,NA,NA
3,0.6,L|A,L|B,NA,NA,1,1,NA,NA
3,0.65,L|A,L|B,NA,NA,1,1,NA,NA
3,0.7,L|A,L|B,NA,NA,1,1,NA,NA
3,0.75,L|A,L|B,NA,NA,1,1,NA,NA
3,0.8,L|A,L|B,NA,NA,1,1,NA,NA
3,0.85,L|A,L|B,NA,NA,1,1,NA,NA
3,0.9,L|A,L|B,NA,NA,1,1,NA,NA
3,0.95,L|A,L|B,NA,NA,1,1,NA,NA
3,1,L|A,L|B,NA,NA,1,1,NA,NA
4,0,NA,NA,NA,NA,NA,NA,NA,NA
4,0.05,L|A,B|A,NA,NA,1,1,NA,NA
4,0.1,L|A,B|A,NA,NA,1,1,NA,NA
4,0.15,L|A,L|B,A|B,B|A,1,1,1,1
4,0.2,L|A,L|B,A|B,B|A,1,1,1,1
4,0.25,L|A,L|B,A|B,B|A,1,1,1,1
4,0.3,L|A,L|B,A|B,B|A,1,1,1,1
4,0.35,L|A,L|B,A|B,B|A,1,1,1,1
4,0.4,L|A,L|B,A|B,B|A,1,1,1,1
4,0.45,L|A,L|B,A|B,B|A,1,1,1,1
4,0.5,L|A,L|B,A|B,B|A,1,1,1,1
4,0.55,L|A,L|B,A|B,B|A,1,1,1,1
4,0.6,L|A,L|B,A|B,B|A,1,1,1,1
4,0.65,L|A,L|B,A|B,B|A,1,1,1,1
4,0.7,L|A,L|B,A|B,B|A,1,1,1,1
4,0.75,L|A,L|B,A|B,B|A,1,1,1,1
4,0.8,L|A,L|B,A|B,B|A,1,1,1,1
4,0.85,L|A,L|B,A|B,B|A,1,1,1,1
4,0.9,L|A,L|B,A|B,B|A,1,1,1,1
4,0.95,L|A,L|B,A|B,B|A,1,1,1,1
4,1,L|A,L|B,A|B,B|A,1,1,1,1
5,0,NA,NA,NA,NA,NA,NA,NA,NA
5,0.05,L|A,L|B,NA,NA,1,1,NA,NA
5,0.1,L|A,L|B,NA,NA,1,1,NA,NA
5,0.15,L|A,L|B,NA,NA,1,1,NA,NA
5,0.2,L|A,L|B,NA,NA,1,1,NA,NA
5,0.25,L|A,L|B,NA,NA,1,1,NA,NA
5,0.3,L|A,L|B,NA,NA,1,1,NA,NA
5,0.35,L|A,L|B,NA,NA,1,1,NA,NA
5,0.4,L|A,L|B,NA,NA,1,1,NA,NA
5,0.45,L|A,L|B,NA,NA,1,1,NA,NA
5,0.5,L|A,L|B,NA,NA,1,1,NA,NA
5,0.55,L|A,L|B,NA,NA,1,1,NA,NA
5,0.6,L|A,L|B,NA,NA,1,1,NA,NA
5,0.65,L|A,L|B,NA,NA,1,1,NA,NA
5,0.7,L|A,L|B,NA,NA,1,1,NA,NA
5,0.75,L|A,L|B,NA,NA,1,1,NA,NA
5,0.8,L|A,L|B,NA,NA,1,1,NA,NA
5,0.85,L|A,L|B,NA,NA,1,1,NA,NA
5,0.9,L|A,L|B,NA,NA,1,1,NA,NA
5,0.95,L|A,L|B,NA,NA,1,1,NA,NA
5,1,L|A,L|B,NA,NA,1,1,NA,NA
6,0,NA,NA,NA,NA,NA,NA,NA,NA
6,0.05,L|A,A|B,NA,NA,1,1,NA,NA
6,0.1,L|A,A|B,NA,NA,1,1,NA,NA
6,0.15,L|A,A|B,NA,NA,1,1,NA,NA
6,0.2,L|A,A|B,NA,NA,1,1,NA,NA
6,0.25,L|A,A|B,NA,NA,1,1,NA,NA
6,0.3,L|A,A|B,NA,NA,1,1,NA,NA
6,0.35,L|A,A|B,NA,NA,1,1,NA,NA
6,0.4,L|A,A|B,NA,NA,1,1,NA,NA
6,0.45,L|A,A|B,NA,NA,1,1,NA,NA
6,0.5,L|A,A|B,NA,NA,1,1,NA,NA
6,0.55,L|A,A|B,NA,NA,1,1,NA,NA
6,0.6,L|A,A|B,NA,NA,1,1,NA,NA
6,0.65,L|A,A|B,NA,NA,1,1,NA,NA
6,0.7,L|A,A|B,NA,NA,1,1,NA,NA
6,0.75,L|A,A|B,NA,NA,1,1,NA,NA
6,0.8,L|A,A|B,NA,NA,1,1,NA,NA
6,0.85,L|A,A|B,NA,NA,1,1,NA,NA
6,0.9,L|A,A|B,NA,NA,1,1,NA,NA
6,0.95,L|A,A|B,NA,NA,1,1,NA,NA
6,1,L|A,A|B,NA,NA,1,1,NA,NA
7,0,NA,NA,NA,NA,NA,NA,NA,NA
7,0.05,L|A,A|B,NA,NA,1,1,NA,NA
