"p_cit","p_TL","p_TG","p_GL","p_Lind","childseed","Parentseed"
5.6623191572702e-29,1.84468099858701e-30,1.30824858487857e-144,5.6623191572702e-29,2.03892787847835e-150,718613049,1599332426
2.30180175465919e-77,5.62608794710073e-97,1.70927659472244e-124,2.30180175465919e-77,5.72393212414751e-200,337556519,1599332426
1.16668589197521e-94,1.7965067206676e-173,7.14818698325909e-150,1.16668589197521e-94,0,782288299,1599332426
2.24987935363858e-121,3.26329335274865e-228,1.21849943432831e-163,2.24987935363858e-121,2.23100100083722e-143,205808455,1599332426
3.12791310856279e-11,1.01691745701718e-18,6.66359663175579e-279,3.12791310856279e-11,3.37942682819501e-92,737341278,1599332426
1.49720005198792e-30,2.32939317825414e-64,1.51965418664749e-236,1.49720005198792e-30,2.26280350962887e-277,438380398,1599332426
2.4135797305655e-26,1.06187798740701e-104,9.92093820848742e-290,2.4135797305655e-26,0,334412576,1599332426
4.89828739044332e-47,2.00374118930795e-165,1.08649550739976e-262,4.89828739044332e-47,0,1141082617,1599332426
0.205722840804873,1.42638836387896e-13,0,0.205722840804873,3.43504029565913e-133,685491740,1599332426
4.91344222581193e-08,2.50369615673954e-44,0,4.91344222581193e-08,7.73240399288784e-271,597561010,1599332426
2.76403384501202e-15,1.40070055522416e-62,0,2.76403384501202e-15,2.03367749098095e-182,1537025553,1599332426
1.40203954519359e-17,1.5686473525743e-99,0,1.40203954519359e-17,0,985252603,1599332426
0.00207170044503202,1.25088358564658e-06,0,0.00207170044503202,2.29899769553076e-93,406385138,1599332426
0.000441227336273672,3.98248291568385e-24,0,0.000441227336273672,4.60070215015703e-169,863567687,1599332426
7.89011595342486e-07,4.49497344026766e-44,0,7.89011595342486e-07,1.41925142801246e-300,1987482586,1599332426
9.13476003904093e-06,2.48904579537006e-87,0,9.13476003904093e-06,1.65034533934628e-228,1533612145,1599332426
0.423135758761599,4.22223807311509e-08,0,0.423135758761599,2.36123840744586e-126,325319656,1599332426
0.193057375763921,1.75267504546479e-22,0,0.193057375763921,9.14551428269142e-104,619928577,1599332426
0.0511781535551722,5.20128725220534e-31,0,0.0511781535551722,5.74164328473136e-137,2031920432,1599332426
0.000299158163599209,1.52715918708179e-59,0,0.000299158163599209,0,662606051,1599332426
6.12943407885073e-06,3.76176786503138e-11,1.11836341277957e-244,6.12943407885073e-06,1.28407608489485e-168,944954720,1599332426
9.03133051841933e-21,8.28842157990423e-64,1.67569358916308e-270,9.03133051841933e-21,2.49211378249835e-262,1405600194,1599332426
