"p_cit","p_TL","p_TG","p_GL","p_Lind","childseed","Parentseed"
0.607175884996486,0.599775482488794,0.607175884996486,0.389025043817787,0.395050361280629,779418398,43934289
0.972463320775478,0.972463320775478,0.199517420146366,0.781160677188778,0.681534803051675,1893050009,43934289
0.493781771966273,0.49283854387519,0.493781771966273,0.441821356007351,0.342117501321668,1339252590,43934289
0.979402420345182,0.979402420345182,0.00316817482461988,0.57507152295088,0.667899159843898,1531590489,43934289
0.996652524620726,0.472614436388752,2.95939361671304e-05,0.411613883849309,0.996652524620726,186827432,43934289
0.508748457272764,0.508748457272764,0.501953485084229,0.0431141572274712,0.283105327010731,1888527416,43934289
0.461341636436333,0.461341636436333,1.95825149618339e-05,0.0942991969570007,3.0993742593763e-05,1094449227,43934289
0.0227045597141593,0.0227045597141593,0.00271180056946489,0.00877283523805628,0.00326404836803704,2111691332,43934289
0.782562451784868,0.0419467287928574,0.782562451784868,0.00412602646413462,0.409627933199943,1128051575,43934289
0.679605125459664,0.349228585545313,0.250182805779427,0.679605125459664,0.663715187193418,1592443918,43934289
0.933423492124907,0.636492345041645,0.933423492124907,2.49125439165885e-12,0.520042825566473,1008272154,43934289
0.0952944689027411,0.0952944689027411,2.19253116776893e-07,7.59676433982792e-08,6.20788693176357e-10,1331499717,43934289
0.033483846588562,0.033483846588562,1.53365489613521e-12,8.05088575319597e-07,4.98937268561471e-11,1658400217,43934289
0.0103837717105244,0.0103837717105244,0.00198808378733764,3.4784408791475e-11,0.00138474039447761,657517154,43934289
0.0692339992705864,0.0692339992705864,6.17807181352689e-23,2.34909795949462e-07,3.31045861865428e-08,1716491200,43934289
0.0194881593820307,0.0194881593820307,1.58478983456925e-21,9.91374841428389e-10,3.62370663874706e-11,664967557,43934289
0.0076172757813935,0.0076172757813935,2.51861383291747e-13,4.47795353610452e-06,1.12890624139605e-11,1211620154,43934289
0.0306931641441228,0.0306931641441228,9.78881204963099e-11,7.91004870759853e-11,2.10462533083754e-12,1118722546,43934289
0.620161809029292,0.306456280997416,3.84819075598525e-13,2.14780139046369e-10,0.620161809029292,1375262962,43934289
0.0821420004392909,0.0821420004392909,6.34495153144586e-12,8.62717333253006e-08,1.49546658696795e-29,1958212674,43934289
0.669457249089761,0.476168971533785,0.00281355655496643,1.04974269268159e-30,0.669457249089761,54650870,43934289
1.99276385997787e-05,1.99276385997787e-05,1.67441266526944e-20,8.37694247263541e-17,4.85872080781399e-20,1984589067,43934289
2.51855490712813e-05,2.51855490712813e-05,2.9430307436931e-27,1.67152951428213e-19,7.93314023778679e-16,1824311675,43934289
1.79948210348804e-05,1.79948210348804e-05,1.78590087144034e-15,6.09497320935566e-30,3.4806057662485e-14,1684813694,43934289
1.97475803409462e-06,1.97475803409462e-06,1.62045147071298e-19,9.11825045415064e-25,4.10621255103138e-20,1956043385,43934289
1.64388489261365e-06,1.64388489261365e-06,4.01291349195793e-31,2.23906874191788e-18,2.80741346791648e-24,1901638492,43934289
3.49267076487841e-10,3.49267076487841e-10,5.6494103753913e-44,9.37693094541667e-18,4.68933412498855e-43,2111510870,43934289
3.65674305787819e-07,3.65674305787819e-07,2.79580888009037e-31,4.43903206654443e-16,8.47003588278614e-30,538830883,43934289
9.26522952947324e-10,9.26522952947324e-10,4.03741551309558e-34,3.30713032035717e-25,8.4982868158489e-23,1231835813,43934289
1.03478843619361e-08,1.03478843619361e-08,8.40136926740141e-33,6.40260174610467e-17,4.14791707070269e-29,1442477082,43934289
0.0997068472919552,0.0704622264907631,3.64450662852813e-05,1.56573406177897e-41,0.0997068472919552,744404442,43934289
2.96608328641404e-12,2.96608328641404e-12,4.36741593941437e-20,3.10695571460489e-35,5.30361448946703e-17,607607111,43934289
5.81652320737027e-25,5.81652320737027e-25,3.73252163589387e-36,8.56902375801869e-34,1.80516971961599e-31,2028922127,43934289
1.76680323847338e-24,1.76680323847338e-24,5.34057585938465e-59,2.17450438222235e-28,4.91148751772216e-40,1253200824,43934289
2.74525363567844e-16,2.74525363567844e-16,6.71096674948108e-40,8.31461942271278e-37,2.05997739679671e-24,709272676,43934289
1.31769550472274e-19,1.31769550472274e-19,2.07294955813579e-30,5.04260497201959e-35,7.69390179515902e-26,1060651314,43934289
2.76499609111396e-21,2.76499609111396e-21,1.46191307039897e-38,1.68107376755525e-40,1.98406059420548e-29,1530888704,43934289
3.96233757207994e-23,3.96233757207994e-23,6.77720012327131e-62,3.44381898186629e-32,7.30528014954683e-33,786620229,43934289
2.13313100358006e-21,2.13313100358006e-21,8.89942303938803e-44,3.04856082109565e-26,1.49108112945399e-35,608469642,43934289
1.90485857133294e-19,1.90485857133294e-19,2.41923826478934e-42,5.77523825887771e-34,6.95839677747629e-39,717967489,43934289
6.90814751870804e-06,7.88191036357137e-09,6.90814751870804e-06,1.81397304341074e-72,5.56249531414382e-06,1931224404,43934289
1.63142035028907e-21,1.63142035028907e-21,2.44355148327295e-36,5.06519909345401e-46,1.41359491982472e-23,283517458,43934289
1.28036604835082e-23,1.0466106226554e-26,1.88972958611764e-58,7.18521640246567e-43,1.28036604835082e-23,1631038000,43934289
1.48162069614389e-38,1.48162069614389e-38,1.01066688605935e-48,2.35696771518574e-45,5.15343977348934e-41,86142146,43934289
1.52612935969727e-34,9.33208287164286e-36,4.48550587590737e-41,8.70694158335087e-44,1.52612935969727e-34,1832170930,43934289
2.7217571945782e-34,3.94405707115604e-39,2.22722414866512e-45,1.0247383766978e-37,2.7217571945782e-34,2044684262,43934289
