trio number,fdr,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values
1,0,NA,NA,NA,NA,NA,NA,NA,NA
1,0.05,NA,NA,NA,NA,NA,NA,NA,NA
1,0.1,NA,NA,NA,NA,NA,NA,NA,NA
1,0.15,NA,NA,NA,NA,NA,NA,NA,NA
1,0.2,NA,NA,NA,NA,NA,NA,NA,NA
1,0.25,NA,NA,NA,NA,NA,NA,NA,NA
1,0.3,NA,NA,NA,NA,NA,NA,NA,NA
1,0.35,NA,NA,NA,NA,NA,NA,NA,NA
1,0.4,NA,NA,NA,NA,NA,NA,NA,NA
1,0.45,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5,NA,NA,NA,NA,NA,NA,NA,NA
1,0.55,NA,NA,NA,NA,NA,NA,NA,NA
1,0.6,NA,NA,NA,NA,NA,NA,NA,NA
1,0.65,L|A,NA,NA,NA,1,NA,NA,NA
1,0.7,L|A,NA,NA,NA,1,NA,NA,NA
1,0.75,L|A,NA,NA,NA,1,NA,NA,NA
1,0.8,L|A,NA,NA,NA,1,NA,NA,NA
1,0.85,L|A,NA,NA,NA,1,NA,NA,NA
1,0.9,L|A,NA,NA,NA,1,NA,NA,NA
1,0.95,L|A,NA,NA,NA,1,NA,NA,NA
1,1,L|A,NA,NA,NA,1,NA,NA,NA
2,0,NA,NA,NA,NA,NA,NA,NA,NA
2,0.05,NA,NA,NA,NA,NA,NA,NA,NA
2,0.1,NA,NA,NA,NA,NA,NA,NA,NA
2,0.15,NA,NA,NA,NA,NA,NA,NA,NA
2,0.2,NA,NA,NA,NA,NA,NA,NA,NA
2,0.25,NA,NA,NA,NA,NA,NA,NA,NA
2,0.3,NA,NA,NA,NA,NA,NA,NA,NA
2,0.35,NA,NA,NA,NA,NA,NA,NA,NA
2,0.4,NA,NA,NA,NA,NA,NA,NA,NA
2,0.45,NA,NA,NA,NA,NA,NA,NA,NA
2,0.5,NA,NA,NA,NA,NA,NA,NA,NA
2,0.55,NA,NA,NA,NA,NA,NA,NA,NA
2,0.6,NA,NA,NA,NA,NA,NA,NA,NA
2,0.65,NA,NA,NA,NA,NA,NA,NA,NA
2,0.7,NA,NA,NA,NA,NA,NA,NA,NA
2,0.75,NA,NA,NA,NA,NA,NA,NA,NA
2,0.8,NA,NA,NA,NA,NA,NA,NA,NA
2,0.85,NA,NA,NA,NA,NA,NA,NA,NA
2,0.9,NA,NA,NA,NA,NA,NA,NA,NA
2,0.95,NA,NA,NA,NA,NA,NA,NA,NA
2,1,NA,NA,NA,NA,NA,NA,NA,NA
3,0,NA,NA,NA,NA,NA,NA,NA,NA
3,0.05,NA,NA,NA,NA,NA,NA,NA,NA
3,0.1,NA,NA,NA,NA,NA,NA,NA,NA
3,0.15,NA,NA,NA,NA,NA,NA,NA,NA
3,0.2,NA,NA,NA,NA,NA,NA,NA,NA
3,0.25,NA,NA,NA,NA,NA,NA,NA,NA
3,0.3,NA,NA,NA,NA,NA,NA,NA,NA
3,0.35,NA,NA,NA,NA,NA,NA,NA,NA
3,0.4,NA,NA,NA,NA,NA,NA,NA,NA
3,0.45,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5,NA,NA,NA,NA,NA,NA,NA,NA
3,0.55,NA,NA,NA,NA,NA,NA,NA,NA
3,0.6,NA,NA,NA,NA,NA,NA,NA,NA
3,0.65,NA,NA,NA,NA,NA,NA,NA,NA
3,0.7,L|A,NA,NA,NA,1,NA,NA,NA
3,0.75,L|A,NA,NA,NA,1,NA,NA,NA
3,0.8,L|A,NA,NA,NA,1,NA,NA,NA
3,0.85,L|A,NA,NA,NA,1,NA,NA,NA
3,0.9,L|A,NA,NA,NA,1,NA,NA,NA
3,0.95,L|A,NA,NA,NA,1,NA,NA,NA
3,1,L|A,NA,NA,NA,1,NA,NA,NA
4,0,NA,NA,NA,NA,NA,NA,NA,NA
4,0.05,A|B,B|A,NA,NA,1,1,NA,NA
4,0.1,A|B,B|A,NA,NA,1,1,NA,NA
4,0.15,A|B,B|A,NA,NA,1,1,NA,NA
4,0.2,A|B,B|A,NA,NA,1,1,NA,NA
4,0.25,A|B,B|A,NA,NA,1,1,NA,NA
4,0.3,A|B,B|A,NA,NA,1,1,NA,NA
4,0.35,A|B,B|A,NA,NA,1,1,NA,NA
4,0.4,A|B,B|A,NA,NA,1,1,NA,NA
4,0.45,A|B,B|A,NA,NA,1,1,NA,NA
4,0.5,A|B,B|A,NA,NA,1,1,NA,NA
4,0.55,A|B,B|A,NA,NA,1,1,NA,NA
4,0.6,A|B,B|A,NA,NA,1,1,NA,NA
4,0.65,A|B,B|A,NA,NA,1,1,NA,NA
4,0.7,A|B,B|A,NA,NA,1,1,NA,NA
4,0.75,A|B,B|A,NA,NA,1,1,NA,NA
4,0.8,A|B,B|A,NA,NA,1,1,NA,NA
4,0.85,A|B,B|A,NA,NA,1,1,NA,NA
4,0.9,A|B,B|A,NA,NA,1,1,NA,NA
4,0.95,A|B,B|A,NA,NA,1,1,NA,NA
4,1,A|B,B|A,NA,NA,1,1,NA,NA
5,0,NA,NA,NA,NA,NA,NA,NA,NA
5,0.05,A|B,B|A,NA,NA,1,1,NA,NA
5,0.1,A|B,B|A,NA,NA,1,1,NA,NA
5,0.15,A|B,B|A,NA,NA,1,1,NA,NA
5,0.2,A|B,B|A,NA,NA,1,1,NA,NA
5,0.25,A|B,B|A,NA,NA,1,1,NA,NA
5,0.3,A|B,B|A,NA,NA,1,1,NA,NA
5,0.35,A|B,B|A,NA,NA,1,1,NA,NA
5,0.4,A|B,B|A,NA,NA,1,1,NA,NA
5,0.45,A|B,B|A,NA,NA,1,1,NA,NA
5,0.5,A|B,B|A,NA,NA,1,1,NA,NA
5,0.55,A|B,B|A,NA,NA,1,1,NA,NA
5,0.6,A|B,B|A,NA,NA,1,1,NA,NA
5,0.65,A|B,B|A,NA,NA,1,1,NA,NA
5,0.7,A|B,B|A,NA,NA,1,1,NA,NA
5,0.75,A|B,B|A,NA,NA,1,1,NA,NA
5,0.8,A|B,B|A,NA,NA,1,1,NA,NA
5,0.85,A|B,B|A,NA,NA,1,1,NA,NA
5,0.9,A|B,B|A,NA,NA,1,1,NA,NA
5,0.95,A|B,B|A,NA,NA,1,1,NA,NA
5,1,A|B,B|A,NA,NA,1,1,NA,NA
6,0,NA,NA,NA,NA,NA,NA,NA,NA
6,0.05,NA,NA,NA,NA,NA,NA,NA,NA
6,0.1,L|A,NA,NA,NA,1,NA,NA,NA
6,0.15,L|A,NA,NA,NA,1,NA,NA,NA
6,0.2,L|A,NA,NA,NA,1,NA,NA,NA
6,0.25,L|A,NA,NA,NA,1,NA,NA,NA
6,0.3,L|A,NA,NA,NA,1,NA,NA,NA
6,0.35,L|A,NA,NA,NA,1,NA,NA,NA
6,0.4,L|A,NA,NA,NA,1,NA,NA,NA
6,0.45,L|A,NA,NA,NA,1,NA,NA,NA
6,0.5,L|A,NA,NA,NA,1,NA,NA,NA
6,0.55,L|A,NA,NA,NA,1,NA,NA,NA
6,0.6,L|A,NA,NA,NA,1,NA,NA,NA
6,0.65,L|A,NA,NA,NA,1,NA,NA,NA
