p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.892157,0.578431,0.303922,0.156863,0.892157,0.481498,3146805617584985830,163196889591620193437869991681306142237
0.764706,0.009804,0.764706,0.254902,0.303922,0.491542,7420076463355422693,same
0.686275,0.009804,0.686275,0.205882,0.049020,0.468928,7745741376874325252,same
0.882353,0.009804,0.323529,0.019608,0.882353,0.478149,3131334475941787828,same
0.686275,0.009804,0.686275,0.078431,0.019608,0.484000,7567772133007642268,same
0.901961,0.009804,0.901961,0.607843,0.019608,0.480000,1509316908666934321,same
0.823529,0.009804,0.823529,0.019608,0.274510,0.459799,2468259568356893519,same
0.843137,0.009804,0.725490,0.333333,0.843137,0.470192,6671714327910010315,same
0.892157,0.009804,0.892157,0.666667,0.480392,0.474827,4064029020287352316,same
0.970588,0.009804,0.970588,0.078431,0.186275,0.465942,1933909847680739722,same
0.960784,0.519608,0.009804,0.127451,0.960784,0.407460,330247538235750728,same
0.843137,0.009804,0.009804,0.313725,0.843137,0.395751,676516894270711942,same
0.774510,0.009804,0.009804,0.176471,0.774510,0.395071,6334851352451448971,same
0.882353,0.009804,0.009804,0.382353,0.882353,0.393461,5207514274026112314,same
0.539216,0.009804,0.009804,0.539216,0.039216,0.387942,6595431659979524791,same
0.833333,0.009804,0.009804,0.127451,0.833333,0.388018,7063587569315062927,same
0.421569,0.009804,0.078431,0.313725,0.421569,0.417432,5907070249955536406,same
0.666667,0.009804,0.666667,0.431373,0.176471,0.406686,8468403897871393474,same
0.980392,0.009804,0.500000,0.382353,0.980392,0.412437,7531811492846902556,same
0.823529,0.009804,0.823529,0.058824,0.568627,0.383861,5132269254591636422,same
0.333333,0.098039,0.009804,0.333333,0.225490,0.297858,5805060317201834175,same
0.931373,0.009804,0.009804,0.029412,0.931373,0.323502,3355863019383668049,same
0.166667,0.009804,0.009804,0.166667,0.117647,0.313324,9029203645929645690,same
0.421569,0.009804,0.009804,0.421569,0.392157,0.314172,4036948804264587904,same
0.127451,0.009804,0.009804,0.058824,0.127451,0.325924,305638574728742826,same
0.656863,0.009804,0.009804,0.656863,0.568627,0.322360,1046698714910706737,same
0.254902,0.009804,0.009804,0.068627,0.254902,0.303662,2283579671958355399,same
0.754902,0.009804,0.450980,0.411765,0.754902,0.303645,2978651320413275346,same
0.705882,0.009804,0.705882,0.294118,0.666667,0.299595,45581213147567382,same
0.509804,0.009804,0.294118,0.450980,0.509804,0.287741,5653584449800430218,same
0.205882,0.009804,0.009804,0.205882,0.078431,0.223232,7289334428893298370,same
0.833333,0.009804,0.009804,0.833333,0.411765,0.229052,6136615273875534213,same
0.176471,0.009804,0.009804,0.176471,0.107843,0.207747,9009999292334998454,same
0.411765,0.009804,0.009804,0.411765,0.392157,0.228926,2001973222870641914,same
0.294118,0.009804,0.009804,0.215686,0.294118,0.234196,9132640804732627251,same
0.588235,0.009804,0.009804,0.588235,0.490196,0.220882,1266647727311991596,same
0.833333,0.009804,0.009804,0.107843,0.833333,0.237176,6478604544674966030,same
0.950980,0.009804,0.009804,0.137255,0.950980,0.234325,6668130578629039198,same
0.372549,0.009804,0.343137,0.156863,0.372549,0.227619,2864893767799113233,same
0.892157,0.009804,0.892157,0.245098,0.176471,0.228806,7283249754234941956,same
