p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.774510,0.117647,0.352941,0.176471,0.774510,0.470434,8687428879828879604,296310547274223307458821043483310896483
0.901961,0.009804,0.352941,0.186275,0.901961,0.433309,4518585256141178102,same
0.774510,0.009804,0.166667,0.264706,0.774510,0.445493,3564267417385881394,same
0.607843,0.009804,0.607843,0.323529,0.509804,0.476109,8284160025847670196,same
0.911765,0.009804,0.911765,0.235294,0.774510,0.464204,7648951284543529626,same
0.813725,0.009804,0.392157,0.274510,0.813725,0.442626,582120413429662187,same
0.911765,0.009804,0.911765,0.647059,0.715686,0.453330,6911802638196207155,same
0.578431,0.009804,0.578431,0.019608,0.519608,0.470053,2044689444985810903,same
0.794118,0.009804,0.794118,0.049020,0.039216,0.484116,3762371780308882236,same
0.990196,0.009804,0.990196,0.343137,0.470588,0.487173,7868868467121832284,same
0.392157,0.392157,0.009804,0.294118,0.039216,0.415239,5462524320489626649,same
0.764706,0.009804,0.009804,0.372549,0.764706,0.381229,2016124703127482621,same
0.911765,0.009804,0.049020,0.441176,0.911765,0.420647,6315303659260043450,same
0.656863,0.009804,0.009804,0.588235,0.656863,0.362424,6410297835536276367,same
0.745098,0.009804,0.284314,0.745098,0.372549,0.395214,5330219743563531177,same
0.313725,0.009804,0.137255,0.313725,0.029412,0.389967,15002643670231232,same
0.656863,0.009804,0.656863,0.284314,0.235294,0.367721,7534058183903555460,same
0.901961,0.009804,0.901961,0.901961,0.588235,0.437255,6293370819321756259,same
0.901961,0.009804,0.901961,0.127451,0.205882,0.380703,6838269052232293990,same
0.598039,0.009804,0.421569,0.294118,0.598039,0.371097,8470223640355002590,same
0.960784,0.960784,0.009804,0.019608,0.196078,0.302890,3228916496287311201,same
0.323529,0.009804,0.009804,0.156863,0.323529,0.278220,4205125685121064532,same
0.862745,0.009804,0.009804,0.284314,0.862745,0.330388,7829216303121712857,same
0.931373,0.009804,0.009804,0.529412,0.931373,0.312609,4769669227774836835,same
0.960784,0.009804,0.009804,0.166667,0.960784,0.340319,1216823671972774448,same
0.627451,0.009804,0.039216,0.245098,0.627451,0.298627,8811712886963698563,same
0.343137,0.009804,0.029412,0.098039,0.343137,0.271413,1050471210943111693,same
0.676471,0.009804,0.500000,0.490196,0.676471,0.287271,364494558652295006,same
0.911765,0.009804,0.911765,0.176471,0.205882,0.316265,1539041676721959799,same
0.921569,0.009804,0.921569,0.411765,0.196078,0.332316,4341311560041677034,same
0.901961,0.901961,0.009804,0.362745,0.843137,0.205861,2927392478082683140,same
0.617647,0.009804,0.009804,0.617647,0.500000,0.187908,164896619264571207,same
0.735294,0.009804,0.009804,0.735294,0.676471,0.254825,7363264896262077215,same
0.980392,0.009804,0.009804,0.411765,0.980392,0.224526,5541382606314870906,same
0.225490,0.009804,0.009804,0.088235,0.225490,0.205681,1620395743612476457,same
0.529412,0.009804,0.029412,0.264706,0.529412,0.260459,1761606222796527496,same
0.107843,0.009804,0.107843,0.039216,0.039216,0.246484,8990284424846154541,same
0.284314,0.009804,0.284314,0.019608,0.049020,0.223241,1493153971390271079,same
0.725490,0.009804,0.411765,0.725490,0.627451,0.258183,8410841178104214841,same
0.901961,0.009804,0.901961,0.372549,0.098039,0.244331,625520980585097002,same
0.833333,0.676471,0.009804,0.117647,0.833333,0.137545,7215266945991683229,same
0.382353,0.009804,0.009804,0.186275,0.382353,0.129138,5405998556467811419,same
