p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.505976,0.069721,0.294821,0.179283,0.505976,0.470434,1826413601332831754,279397687820011462314407214135320844441
0.591633,0.001992,0.268924,0.149402,0.591633,0.433309,331997152379785072,same
0.904382,0.001992,0.235060,0.113546,0.904382,0.445493,3804793371719326266,same
0.631474,0.001992,0.537849,0.416335,0.631474,0.476109,6478354226480325852,same
0.946215,0.001992,0.946215,0.535857,0.500000,0.464204,5285869251301981720,same
0.910359,0.001992,0.298805,0.272908,0.910359,0.442626,2139113465478626780,same
0.962151,0.001992,0.962151,0.737052,0.681275,0.453330,1043757025285612382,same
0.711155,0.001992,0.470120,0.029880,0.711155,0.470053,5479755014138109801,same
0.750996,0.001992,0.750996,0.013944,0.661355,0.484116,3045210832706025780,same
0.621514,0.001992,0.613546,0.245020,0.621514,0.487173,5642382816410643443,same
0.537849,0.362550,0.003984,0.498008,0.537849,0.415239,6797256696296281346,same
0.523904,0.001992,0.001992,0.515936,0.523904,0.381229,8886447321643857808,same
0.960159,0.001992,0.015936,0.382470,0.960159,0.420647,5537445435703655893,same
0.673307,0.001992,0.007968,0.673307,0.503984,0.362424,5242351016517165011,same
0.731076,0.001992,0.217131,0.629482,0.731076,0.395214,3133901852658552426,same
0.404382,0.001992,0.147410,0.404382,0.075697,0.389967,1481032548457399282,same
0.519920,0.001992,0.519920,0.213147,0.507968,0.367721,5503222553596771554,same
0.986056,0.001992,0.986056,0.960159,0.850598,0.437255,8534404340230888038,same
0.894422,0.001992,0.894422,0.081673,0.087649,0.380703,3694764839216409345,same
0.645418,0.001992,0.314741,0.645418,0.436255,0.371097,1536096473517616832,same
0.946215,0.946215,0.001992,0.015936,0.284861,0.302890,2844723970766711300,same
0.278884,0.001992,0.001992,0.278884,0.033865,0.278220,4828096296068659864,same
0.964143,0.001992,0.001992,0.276892,0.964143,0.330388,3427244006771465981,same
0.749004,0.001992,0.001992,0.553785,0.749004,0.312609,6976613313513756631,same
0.934263,0.001992,0.001992,0.215139,0.934263,0.340319,7388677952567482592,same
0.886454,0.001992,0.001992,0.334661,0.886454,0.298627,6690826197304791620,same
0.286853,0.001992,0.051793,0.085657,0.286853,0.271413,2534469949369889945,same
0.529880,0.001992,0.131474,0.179283,0.529880,0.287271,91190841830627803,same
0.876494,0.001992,0.876494,0.191235,0.703187,0.316265,1714061893979674682,same
0.948207,0.001992,0.948207,0.235060,0.085657,0.332316,7619923916960967236,same
0.914343,0.908367,0.001992,0.286853,0.914343,0.205861,5204155904845504702,same
0.549801,0.001992,0.001992,0.549801,0.488048,0.187908,1724213370043419502,same
0.882470,0.001992,0.001992,0.635458,0.882470,0.254825,3618823827258898395,same
0.772908,0.001992,0.001992,0.332669,0.772908,0.224526,6982020634971397317,same
0.458167,0.001992,0.001992,0.416335,0.458167,0.205681,6516644692024413757,same
0.701195,0.001992,0.013944,0.320717,0.701195,0.260459,8548172775226693226,same
0.129482,0.001992,0.129482,0.025896,0.099602,0.246484,1239051137847733779,same
0.278884,0.001992,0.278884,0.071713,0.231076,0.223241,7830578004475447763,same
0.539841,0.001992,0.336653,0.539841,0.462151,0.258183,4223088193473432442,same
0.800797,0.001992,0.800797,0.071713,0.217131,0.244331,2093085504744985691,same
0.764940,0.764940,0.001992,0.113546,0.400398,0.137545,7429882277179814554,same
0.426295,0.001992,0.001992,0.207171,0.426295,0.129138,8563430049547695624,same
