p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.470588,0.215686,0.058824,0.049020,0.470588,0.449537,3982477371784969767,185466958750275310756642346799075328170
0.637255,0.225490,0.637255,0.009804,0.009804,0.483338,3797060907354479583,same
0.519608,0.333333,0.519608,0.009804,0.333333,0.466647,310314305383271532,same
0.156863,0.156863,0.156863,0.009804,0.009804,0.449696,3926198112367851488,same
0.754902,0.431373,0.754902,0.009804,0.019608,0.443853,7740292291632466491,same
0.431373,0.431373,0.274510,0.009804,0.019608,0.434610,8373212641348496216,same
0.950980,0.950980,0.196078,0.009804,0.098039,0.476670,3065767601791213537,same
0.813725,0.813725,0.205882,0.009804,0.539216,0.463282,4074621912586937444,same
0.186275,0.186275,0.058824,0.009804,0.009804,0.473427,707535627190304926,same
0.411765,0.058824,0.411765,0.009804,0.009804,0.442174,8771594957069546499,same
0.264706,0.264706,0.009804,0.049020,0.019608,0.412218,8931262309238208394,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.378526,4913887607036971952,same
0.088235,0.029412,0.088235,0.009804,0.009804,0.414812,8924124703571779376,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.351493,3361857372975782285,same
0.637255,0.009804,0.637255,0.009804,0.009804,0.441147,7485837666933824057,same
0.068627,0.009804,0.068627,0.009804,0.009804,0.381130,5688754598505059509,same
0.029412,0.029412,0.009804,0.009804,0.009804,0.416556,6713562491428781785,same
0.107843,0.009804,0.107843,0.009804,0.009804,0.397087,2320935335935747313,same
0.843137,0.009804,0.843137,0.009804,0.009804,0.382518,8161495800767045995,same
0.098039,0.029412,0.098039,0.009804,0.009804,0.435438,7380918620196459710,same
0.921569,0.813725,0.009804,0.049020,0.921569,0.317017,2142610745077719560,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.330496,6388910953218351948,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.304600,4357348911433718528,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.311828,4228362345793011362,same
0.029412,0.009804,0.029412,0.009804,0.009804,0.278956,519754932174685986,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.308196,3558647026311004133,same
0.960784,0.009804,0.960784,0.009804,0.009804,0.260376,7026903803236952739,same
0.068627,0.009804,0.068627,0.009804,0.009804,0.323765,6834629684795962427,same
0.941176,0.009804,0.941176,0.009804,0.009804,0.329116,469087205722745039,same
0.558824,0.009804,0.558824,0.009804,0.009804,0.311106,2041426025187895473,same
0.500000,0.049020,0.009804,0.372549,0.500000,0.213089,713091567845103424,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.236385,3449389154590443695,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.202460,5311476586920879299,same
0.019608,0.009804,0.019608,0.009804,0.009804,0.240982,2273067038206364196,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.265606,7246575936863657179,same
0.362745,0.009804,0.362745,0.009804,0.009804,0.198685,6601801062831365616,same
0.539216,0.009804,0.539216,0.009804,0.009804,0.202057,1558830000934432137,same
0.705882,0.009804,0.705882,0.009804,0.009804,0.233308,1556779804789047711,same
0.225490,0.009804,0.225490,0.009804,0.009804,0.193277,3162305559198571845,same
0.019608,0.009804,0.019608,0.009804,0.009804,0.229243,4592529036439008302,same
0.352941,0.274510,0.009804,0.352941,0.137255,0.175438,3333964083941744963,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.125139,342182859356998482,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.160106,1785456277090715970,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.161720,6336126017893380836,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.142298,3000814255277301269,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.135096,2917306766717710616,same
0.313725,0.009804,0.313725,0.009804,0.009804,0.156804,8511598978489249097,same
0.088235,0.009804,0.088235,0.009804,0.009804,0.161174,7513678253624832750,same
0.431373,0.009804,0.431373,0.009804,0.009804,0.178199,9148132693938152756,same
0.098039,0.009804,0.098039,0.009804,0.009804,0.151655,8841633531405825534,same
0.156863,0.098039,0.009804,0.147059,0.156863,0.101039,2605107469864861500,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.131949,8070656764414399117,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.106308,6446653120357848256,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.086731,1210803889042924239,same
0.029412,0.009804,0.029412,0.009804,0.009804,0.113757,5003865171063635922,same
0.274510,0.009804,0.274510,0.009804,0.009804,0.104266,7566521999906242121,same
0.098039,0.009804,0.098039,0.009804,0.009804,0.147769,8071302813720164405,same
0.205882,0.009804,0.205882,0.009804,0.009804,0.108879,1419898140202009453,same
0.088235,0.009804,0.088235,0.009804,0.009804,0.100932,1433581704197378099,same
0.137255,0.009804,0.137255,0.009804,0.009804,0.125166,2758542059908790968,same
0.558824,0.009804,0.009804,0.078431,0.558824,0.092467,3026609868851406401,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.068099,1761970380182281076,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.081012,7188958810828191711,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.075787,8798714893002410142,same
0.078431,0.009804,0.078431,0.009804,0.009804,0.056702,4169897946871792398,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.053978,8036480442036886624,same
