p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.559761,0.304781,0.043825,0.085657,0.559761,0.466973,8038037813736011766,299619634976241724578432226048154144315
0.874502,0.764940,0.079681,0.001992,0.874502,0.486095,385233406952723996,same
0.579681,0.579681,0.151394,0.001992,0.043825,0.466313,2098117922319057529,same
0.906375,0.842629,0.906375,0.001992,0.051793,0.492808,4457182884407092387,same
0.762948,0.762948,0.432271,0.001992,0.005976,0.483554,920866888090158995,same
0.904382,0.904382,0.442231,0.001992,0.095618,0.492000,3052694428150306351,same
0.519920,0.127490,0.519920,0.001992,0.001992,0.473844,9108930659864309574,same
0.713147,0.318725,0.713147,0.001992,0.001992,0.476724,7828499153524009761,same
0.298805,0.101594,0.298805,0.001992,0.001992,0.471308,9017811924145146686,same
0.492032,0.492032,0.360558,0.001992,0.005976,0.489120,7142222892330127170,same
0.701195,0.701195,0.001992,0.023904,0.001992,0.402272,640154441262379717,same
0.019920,0.019920,0.001992,0.001992,0.001992,0.433332,1275228271153634691,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.399062,7356079702294304398,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.396146,1038527930638938148,same
0.025896,0.001992,0.025896,0.001992,0.001992,0.407297,1791582547486829865,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.386557,1121646278964024302,same
0.011952,0.001992,0.011952,0.001992,0.001992,0.406514,8447693606221872401,same
0.394422,0.001992,0.394422,0.001992,0.001992,0.408681,5693069832091682657,same
0.131474,0.001992,0.131474,0.001992,0.001992,0.401811,4718563075612387843,same
0.211155,0.001992,0.211155,0.001992,0.001992,0.415980,6648773500437829964,same
0.884462,0.884462,0.001992,0.404382,0.047809,0.328493,706451221577783022,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.313056,8851496455968340663,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.324456,6564973383678242691,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.303301,4735967683562353244,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.301720,6164902862284093665,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.309409,4007513593493850404,same
