p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.009804,0.009804,0.009804,0.009804,0.009804,0.303712,3640406889207282711,260497481416948032332941393150789383948
0.009804,0.009804,0.009804,0.009804,0.009804,0.152317,8663360230778541627,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.064801,5332064130290212427,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.023051,5977917539633641502,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.311686,8264145866984537969,same
0.274510,0.274510,0.009804,0.009804,0.009804,0.230952,3048676635973040454,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.139697,1518995075097780103,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.058677,7445700137581023914,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.254874,6836690310063922908,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.210084,3869696172570987423,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.175725,3969608245750637288,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.127632,5162903378239077463,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.207460,2625693982580197505,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.211358,3297394243476042838,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.179331,8218626134042769264,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.127630,7407700877566670531,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.170436,631291175108511982,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.137227,8067118223534681975,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.168076,7203821098136936996,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.130566,338795807464720396,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.295963,9010103513214193867,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.222694,71221892580855435,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.130849,4606689373934193257,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.067866,5784222349299289053,same
0.137255,0.137255,0.009804,0.009804,0.009804,0.366958,3825615431925956547,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.299408,3108829247757534156,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.210263,875035959088684888,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.155532,3353001548877557977,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.375649,5735817015157161439,same
0.882353,0.882353,0.009804,0.009804,0.009804,0.315872,6761427337149974779,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.253709,5034600947610159818,same
0.088235,0.088235,0.009804,0.009804,0.009804,0.227055,8647515771710261964,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.328495,3475422181432296599,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.303457,507859134853248752,same
0.715686,0.715686,0.009804,0.009804,0.009804,0.300138,2379627075852625228,same
0.029412,0.029412,0.009804,0.009804,0.009804,0.237625,1602329683697601922,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.272636,3300315455806470278,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.291271,5776335360243370541,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.292315,45994255526278236,same
0.029412,0.029412,0.009804,0.009804,0.009804,0.211697,2835574140235143900,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.244287,4597616194366619168,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.240678,6672099292650156372,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.163373,5795688667848495686,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.140658,6846317744224482735,same
0.019608,0.009804,0.019608,0.009804,0.009804,0.386958,5785600981907723479,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.336990,4473162313472634464,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.284228,1856878356349195589,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.198843,7180778020562176383,same
0.921569,0.921569,0.029412,0.009804,0.009804,0.436107,938428659451655054,same
0.333333,0.333333,0.009804,0.009804,0.009804,0.375709,4612227109499401810,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.292719,4851789210260885575,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.273294,6757661893721997522,same
0.264706,0.264706,0.009804,0.009804,0.009804,0.395045,1224996482712598632,same
0.862745,0.862745,0.009804,0.009804,0.009804,0.357587,6887937638697395698,same
0.500000,0.500000,0.009804,0.009804,0.009804,0.296859,3490472977607138820,same
