p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.774900,0.125498,0.774900,0.001992,0.743028,0.466999,2805825018091600288,188852245188025927028919593368175623909
0.980080,0.980080,0.231076,0.001992,0.559761,0.477056,9117074168699275468,same
0.687251,0.687251,0.175299,0.001992,0.344622,0.474694,1414617314572437333,same
0.798805,0.723108,0.603586,0.001992,0.798805,0.488230,2931389047785227197,same
0.723108,0.565737,0.723108,0.001992,0.581673,0.482407,8357925916598228490,same
0.812749,0.035857,0.207171,0.001992,0.812749,0.475028,3130212388140215732,same
0.966135,0.966135,0.085657,0.001992,0.750996,0.462659,3992833801960045696,same
0.464143,0.440239,0.035857,0.001992,0.464143,0.468207,81274933012436193,same
0.695219,0.589641,0.063745,0.001992,0.695219,0.464826,3691842830269520507,same
0.366534,0.063745,0.366534,0.001992,0.352590,0.485389,5518844194759540654,same
0.998008,0.394422,0.001992,0.001992,0.998008,0.410197,6847821656521806915,same
0.886454,0.864542,0.001992,0.001992,0.886454,0.403685,439517160568478831,same
0.312749,0.115538,0.001992,0.001992,0.312749,0.394188,8861540293654401790,same
0.675299,0.509960,0.001992,0.001992,0.675299,0.400307,4991736536105055275,same
0.854582,0.059761,0.001992,0.001992,0.854582,0.410144,1081080749378660856,same
0.655378,0.412351,0.001992,0.001992,0.655378,0.421930,4376366545669765852,same
0.073705,0.005976,0.001992,0.001992,0.073705,0.407776,2386641663302994618,same
0.585657,0.009960,0.001992,0.001992,0.585657,0.405774,3114338840532617034,same
0.737052,0.007968,0.001992,0.001992,0.737052,0.399110,5094710904179498466,same
0.798805,0.223108,0.001992,0.001992,0.798805,0.398884,2192897578629865662,same
0.974104,0.559761,0.001992,0.001992,0.974104,0.317249,6496843082988262449,same
0.946215,0.424303,0.001992,0.001992,0.946215,0.315667,1948921924927071974,same
0.025896,0.015936,0.001992,0.001992,0.025896,0.308334,4681701084856980281,same
0.067729,0.013944,0.001992,0.001992,0.067729,0.298473,7670505905430092326,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.285654,4543654358826400884,same
0.003984,0.003984,0.001992,0.001992,0.001992,0.310460,613004130695749163,same
0.003984,0.001992,0.001992,0.001992,0.003984,0.318715,7410704186134005599,same
0.270916,0.001992,0.001992,0.001992,0.270916,0.301619,7649522155292802169,same
0.870518,0.001992,0.001992,0.001992,0.870518,0.298599,5679002715337866043,same
0.772908,0.037849,0.001992,0.001992,0.772908,0.283627,3427303374028139242,same
0.998008,0.665339,0.001992,0.001992,0.998008,0.231453,5985743323211709772,same
0.898406,0.243028,0.001992,0.001992,0.898406,0.223205,5434690531421265228,same
0.410359,0.015936,0.001992,0.001992,0.410359,0.230488,2205266388058813874,same
0.059761,0.001992,0.001992,0.001992,0.059761,0.230584,8556877162805189709,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.242053,5482373976570514423,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.223741,6280187500714429400,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.237541,7365856244420054177,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.236674,3741323390479930140,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.236815,7344647075281612554,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.230041,8979406614547701435,same
0.956175,0.826693,0.001992,0.001992,0.956175,0.163832,5369899179298786616,same
0.838645,0.677291,0.001992,0.001992,0.838645,0.146515,4965109910113067031,same
0.735060,0.055777,0.001992,0.001992,0.735060,0.156095,9157371830285234840,same
0.364542,0.344622,0.001992,0.001992,0.364542,0.143308,1305734914879740032,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.159458,6911932766938673465,same
0.009960,0.001992,0.001992,0.001992,0.009960,0.166492,6851976996733801317,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.155085,2295135557242143526,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.148944,7883150909198134642,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.161966,7337355647145596486,same
0.025896,0.001992,0.001992,0.001992,0.025896,0.141049,5071325579200320486,same
0.978088,0.898406,0.001992,0.001992,0.978088,0.105655,1493808440070582230,same
0.896414,0.896414,0.001992,0.001992,0.848606,0.104678,6413164855803195353,same
0.998008,0.515936,0.001992,0.001992,0.998008,0.097520,8840532984630527441,same
0.964143,0.121514,0.001992,0.001992,0.964143,0.096978,7479804302478168577,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.104620,3711991727669158500,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.092682,6993236631700927360,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.094943,3445321989378895125,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.113476,5845003131992442603,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.115450,7811470465716218102,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.106504,1934328006760949240,same
0.918327,0.450199,0.001992,0.001992,0.918327,0.070598,6805777506636445522,same
0.774900,0.225100,0.001992,0.001992,0.774900,0.073417,8205777226830938855,same
0.998008,0.760956,0.001992,0.001992,0.998008,0.069309,95720386293604520,same
0.998008,0.406375,0.001992,0.001992,0.998008,0.063617,4418472161933794319,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.075617,8098935114834582571,same
0.019920,0.001992,0.001992,0.001992,0.019920,0.062937,6797018962854124271,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.068193,823652913464448683,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.062835,8828537457109530168,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.078244,3626485762352946623,same
