p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.892157,0.892157,0.029412,0.009804,0.117647,0.450896,395108786699355347,308832784543864682209483706796882861314
0.970588,0.460784,0.970588,0.009804,0.941176,0.478001,5264495717852150881,same
0.127451,0.127451,0.078431,0.009804,0.009804,0.461749,5112559319549621512,same
0.911765,0.450980,0.911765,0.009804,0.058824,0.484699,1885270247817858158,same
0.607843,0.176471,0.009804,0.009804,0.607843,0.440134,1438306042390822297,same
0.862745,0.323529,0.862745,0.009804,0.107843,0.483948,9035963115271735359,same
0.970588,0.970588,0.392157,0.009804,0.715686,0.479233,8008744698947705844,same
0.803922,0.803922,0.294118,0.009804,0.509804,0.481111,6319239549612970732,same
0.656863,0.656863,0.019608,0.009804,0.009804,0.416157,2739939138210482713,same
0.598039,0.470588,0.598039,0.009804,0.490196,0.477681,6091074258205130393,same
0.794118,0.127451,0.009804,0.009804,0.794118,0.336749,2682195965945228428,same
0.411765,0.411765,0.009804,0.009804,0.343137,0.413216,6684253617624650584,same
0.176471,0.176471,0.009804,0.009804,0.137255,0.367706,183206306645548049,same
0.666667,0.225490,0.009804,0.009804,0.666667,0.393451,5266272775561485843,same
0.166667,0.009804,0.019608,0.009804,0.166667,0.382127,6578099062912682899,same
0.656863,0.156863,0.009804,0.009804,0.656863,0.391613,1527878961967837317,same
0.176471,0.176471,0.009804,0.009804,0.058824,0.390243,4749948866005810613,same
0.225490,0.019608,0.009804,0.009804,0.225490,0.421112,6074706016763238584,same
0.333333,0.323529,0.009804,0.009804,0.333333,0.424315,3316323240246532718,same
0.823529,0.803922,0.009804,0.009804,0.823529,0.406704,5947817091886014203,same
0.637255,0.284314,0.009804,0.009804,0.637255,0.307368,6815310449196140329,same
0.882353,0.284314,0.009804,0.009804,0.882353,0.286479,753146609167730658,same
0.245098,0.245098,0.009804,0.009804,0.107843,0.287752,8960774206130200344,same
0.098039,0.098039,0.009804,0.009804,0.009804,0.316965,5227559802480638407,same
0.696078,0.009804,0.009804,0.009804,0.696078,0.281025,8000328570334122845,same
0.107843,0.019608,0.009804,0.009804,0.107843,0.280768,3175818682796530244,same
0.147059,0.009804,0.009804,0.009804,0.147059,0.311625,6092674953172805908,same
0.578431,0.088235,0.009804,0.009804,0.578431,0.306704,7125842133331411883,same
0.117647,0.009804,0.009804,0.009804,0.117647,0.302447,736865706753728898,same
0.931373,0.931373,0.009804,0.009804,0.549020,0.319570,3525541508662180400,same
0.852941,0.852941,0.009804,0.009804,0.696078,0.221142,5408258827233504779,same
0.980392,0.980392,0.009804,0.009804,0.745098,0.215740,3284751875168252365,same
0.117647,0.009804,0.009804,0.009804,0.117647,0.214464,6380168928782898942,same
0.215686,0.107843,0.009804,0.009804,0.215686,0.242308,4942257087281946661,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.195616,4280726328789900992,same
0.166667,0.009804,0.009804,0.009804,0.166667,0.211613,8277118004776722788,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.214326,3055174201898201383,same
0.107843,0.107843,0.009804,0.009804,0.009804,0.269126,2451746429428453123,same
0.039216,0.009804,0.009804,0.009804,0.039216,0.206843,5378876002735968109,same
0.882353,0.009804,0.009804,0.009804,0.882353,0.237034,8563063100624704389,same
0.676471,0.676471,0.009804,0.009804,0.568627,0.160919,7259446592595092916,same
0.921569,0.147059,0.009804,0.009804,0.921569,0.162769,7414944512385957195,same
0.235294,0.068627,0.009804,0.009804,0.235294,0.149568,3840320412511582847,same
0.235294,0.019608,0.009804,0.009804,0.235294,0.154709,7711995024207901979,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.164820,9117118863529620558,same
0.176471,0.019608,0.009804,0.009804,0.176471,0.169868,1811159699096192946,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.174554,2465260213827842681,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.157548,7761111546872083301,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.156018,6708126290038489547,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.167644,2178939101971432499,same
0.696078,0.696078,0.009804,0.009804,0.529412,0.112114,3612018215637513154,same
0.950980,0.235294,0.009804,0.009804,0.950980,0.101130,5370143488475362102,same
0.352941,0.078431,0.009804,0.009804,0.352941,0.115287,8013712110853897387,same
0.921569,0.921569,0.009804,0.009804,0.588235,0.107691,2934563762423824099,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.107389,4044266564593366606,same
0.058824,0.009804,0.009804,0.009804,0.058824,0.113071,5044979115372357877,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.110765,4945337474110467646,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.088135,3949475401951487086,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.080989,470265895312822973,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.110583,4451349623716910642,same
0.745098,0.323529,0.009804,0.009804,0.745098,0.075103,5827452229373653598,same
0.960784,0.960784,0.009804,0.009804,0.931373,0.065585,1209336459485136907,same
0.911765,0.911765,0.009804,0.009804,0.725490,0.056343,9052394381649035282,same
0.362745,0.215686,0.009804,0.009804,0.362745,0.074382,3281021482299472711,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.054004,9135113133196835619,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.062469,2347214451259056601,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.060578,208687510251051863,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.065682,7333559310899881700,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.088738,9085344039336597048,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.067042,1964932255662068112,same
0.980392,0.117647,0.009804,0.009804,0.980392,0.023032,5278770341839478498,same
0.539216,0.539216,0.009804,0.009804,0.490196,0.022808,3066851342611052913,same
0.490196,0.019608,0.009804,0.009804,0.490196,0.020610,3471752393604250880,same
0.745098,0.745098,0.009804,0.009804,0.647059,0.026036,5242976127562323373,same
0.735294,0.117647,0.009804,0.009804,0.735294,0.023857,4486611756845600035,same
0.578431,0.068627,0.009804,0.009804,0.578431,0.018992,5284510538785290433,same
0.058824,0.009804,0.009804,0.009804,0.058824,0.027936,6218235280240559992,same
0.401961,0.009804,0.009804,0.009804,0.401961,0.026267,7164402278374233956,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.027717,1144474534849279838,same
0.588235,0.009804,0.009804,0.029412,0.588235,0.023294,6571806587758908695,same
0.568627,0.480392,0.009804,0.009804,0.568627,0.005819,8460273288721153898,same
0.970588,0.970588,0.009804,0.009804,0.970588,0.011976,474187847196990151,same
0.656863,0.009804,0.009804,0.009804,0.656863,0.006503,1197141710286014894,same
0.392157,0.392157,0.009804,0.009804,0.009804,0.009428,6026248780580685838,same
0.833333,0.833333,0.009804,0.009804,0.529412,0.007909,3626500073045471919,same
0.852941,0.411765,0.009804,0.009804,0.852941,0.002900,1265235757192391394,same
0.450980,0.009804,0.009804,0.009804,0.450980,0.007590,6834447857997028685,same
0.431373,0.009804,0.009804,0.009804,0.431373,0.004308,8454872262370148823,same
0.117647,0.009804,0.009804,0.009804,0.117647,0.005499,2053957816512996347,same
0.078431,0.009804,0.009804,0.009804,0.078431,0.004804,492976295189179984,same
0.705882,0.372549,0.009804,0.009804,0.705882,0.000592,6152320165326494798,same
0.794118,0.794118,0.009804,0.009804,0.460784,0.001923,6127906188034488780,same
0.901961,0.774510,0.009804,0.009804,0.901961,0.004077,2251049699310454412,same
0.990196,0.990196,0.009804,0.009804,0.892157,0.002151,7216857611082721592,same
0.441176,0.009804,0.009804,0.009804,0.441176,0.001787,8900738802419362390,same
0.970588,0.088235,0.009804,0.009804,0.970588,0.000019,8296025981055068425,same
0.617647,0.617647,0.009804,0.009804,0.490196,0.001502,2534147545393451340,same
0.941176,0.549020,0.009804,0.009804,0.941176,0.000133,1452626517444171382,same
0.803922,0.009804,0.009804,0.009804,0.803922,0.001314,5751270303708934381,same
0.049020,0.009804,0.009804,0.019608,0.049020,0.002013,2585797974705578878,same
