p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.884462,0.101594,0.547809,0.001992,0.884462,0.466999,825821891551306217,257081090916358075014399867306752531659
0.972112,0.972112,0.294821,0.001992,0.111554,0.477056,8083755769291939228,same
0.693227,0.693227,0.153386,0.001992,0.049801,0.474694,6912777195880502238,same
0.717131,0.717131,0.537849,0.001992,0.249004,0.488230,2681398678968113186,same
0.862550,0.515936,0.862550,0.001992,0.043825,0.482407,6607715273964369567,same
0.211155,0.049801,0.211155,0.001992,0.055777,0.475028,8141299875516400743,same
0.960159,0.960159,0.113546,0.001992,0.051793,0.462659,4284469979884569220,same
0.458167,0.458167,0.047809,0.001992,0.041833,0.468207,3940795810718237054,same
0.593625,0.593625,0.055777,0.001992,0.219124,0.464826,8373193170891082689,same
0.914343,0.069721,0.302789,0.001992,0.914343,0.485389,7435492531891878532,same
0.663347,0.398406,0.001992,0.001992,0.663347,0.410197,8389287144150991323,same
0.890438,0.890438,0.001992,0.001992,0.057769,0.403685,7357407145845218989,same
0.468127,0.151394,0.001992,0.001992,0.468127,0.394188,7093136504461885646,same
0.926295,0.513944,0.001992,0.001992,0.926295,0.400307,3982397230246514808,same
0.474104,0.065737,0.001992,0.001992,0.474104,0.410144,8348849531053973732,same
0.543825,0.384462,0.001992,0.001992,0.543825,0.421930,9142541284358255058,same
0.354582,0.005976,0.001992,0.001992,0.354582,0.407776,4445572798469068018,same
0.366534,0.007968,0.001992,0.001992,0.366534,0.405774,6014552654248601934,same
0.567729,0.003984,0.001992,0.001992,0.567729,0.399110,8780480093657292866,same
0.647410,0.197211,0.001992,0.001992,0.647410,0.398884,1444981709812698326,same
0.906375,0.557769,0.001992,0.001992,0.906375,0.317249,4136757549711472775,same
0.663347,0.442231,0.001992,0.001992,0.663347,0.315667,2965537973287311815,same
0.017928,0.017928,0.001992,0.001992,0.001992,0.308334,5099976477041943465,same
0.009960,0.009960,0.001992,0.001992,0.005976,0.298473,8305804335692303448,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.285654,3474088025986164393,same
0.384462,0.003984,0.001992,0.001992,0.384462,0.310460,1362620689097420462,same
0.175299,0.001992,0.001992,0.001992,0.175299,0.318715,4312024445041994169,same
0.009960,0.001992,0.001992,0.001992,0.009960,0.301619,6677131290254601332,same
0.009960,0.001992,0.001992,0.001992,0.009960,0.298599,2175765193732497233,same
0.699203,0.023904,0.001992,0.001992,0.699203,0.283627,2282793040777958669,same
0.826693,0.649402,0.001992,0.001992,0.826693,0.231453,6381355858079744665,same
0.691235,0.278884,0.001992,0.001992,0.691235,0.223205,9088155774845032081,same
0.282869,0.025896,0.001992,0.001992,0.282869,0.230488,1437536806726013912,same
0.039841,0.003984,0.001992,0.001992,0.039841,0.230584,5624606950610095351,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.242053,5964281227804127355,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.223741,7398485332256724188,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.237541,6029395582897880847,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.236674,9154848827673715580,same
0.655378,0.001992,0.001992,0.001992,0.655378,0.236815,8630198249216815671,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.230041,5740435157342493752,same
0.950199,0.852590,0.001992,0.001992,0.950199,0.163832,5186274018219885024,same
0.920319,0.659363,0.001992,0.001992,0.920319,0.146515,2323220602132355084,same
0.264940,0.055777,0.001992,0.001992,0.264940,0.156095,3448733837677827167,same
0.430279,0.294821,0.001992,0.001992,0.430279,0.143308,794567381776203139,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.159458,1216552067254590654,same
0.117530,0.001992,0.001992,0.001992,0.117530,0.166492,7565861999745068503,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.155085,2689257431050392894,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.148944,7368645806262063910,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.161966,6756206464312398631,same
0.003984,0.001992,0.001992,0.001992,0.003984,0.141049,7745975607898462480,same
0.852590,0.852590,0.001992,0.001992,0.762948,0.105655,8579528936121872094,same
0.924303,0.924303,0.001992,0.001992,0.721116,0.104678,8429376209530771693,same
0.756972,0.517928,0.001992,0.001992,0.756972,0.097520,1104901180050604796,same
0.840637,0.107570,0.001992,0.001992,0.840637,0.096978,6143278270761190281,same
