p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.872549,0.441176,0.019608,0.009804,0.872549,0.460213,4697402733043968387,232487072988106528794047851998516390336
0.656863,0.205882,0.176471,0.009804,0.656863,0.470033,4587988171656892999,same
0.411765,0.235294,0.274510,0.009804,0.411765,0.474783,1473769805911249608,same
0.686275,0.686275,0.009804,0.009804,0.274510,0.449052,2330562967828484333,same
0.656863,0.656863,0.401961,0.009804,0.147059,0.487195,2718063003646412352,same
0.823529,0.029412,0.196078,0.009804,0.823529,0.474988,4022565204452826649,same
0.764706,0.284314,0.764706,0.009804,0.539216,0.486336,3495097267592373539,same
0.784314,0.215686,0.784314,0.009804,0.098039,0.487453,8406791211937395874,same
0.950980,0.950980,0.441176,0.009804,0.235294,0.484264,381604331509313345,same
0.941176,0.941176,0.088235,0.009804,0.254902,0.472321,3172521314542386494,same
0.411765,0.411765,0.009804,0.009804,0.333333,0.399058,5970145939743951957,same
0.990196,0.058824,0.009804,0.009804,0.990196,0.380354,5195886657398837944,same
0.862745,0.176471,0.009804,0.009804,0.862745,0.415820,2221336426677475678,same
0.313725,0.274510,0.009804,0.009804,0.313725,0.385124,6107848318824369379,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.428742,6987586697245657233,same
0.598039,0.529412,0.009804,0.009804,0.598039,0.400748,7955395757065107563,same
0.274510,0.166667,0.009804,0.009804,0.274510,0.399733,8562524661916116106,same
0.039216,0.039216,0.009804,0.009804,0.009804,0.375542,1894716476166554885,same
0.813725,0.813725,0.009804,0.009804,0.764706,0.411749,798479662686673870,same
0.460784,0.460784,0.009804,0.009804,0.029412,0.395825,8226115040956186118,same
0.970588,0.568627,0.009804,0.009804,0.970588,0.320003,2882249479231419666,same
0.333333,0.333333,0.009804,0.009804,0.323529,0.322188,201875595396888901,same
0.029412,0.029412,0.009804,0.009804,0.009804,0.295242,4870103791032992055,same
0.460784,0.460784,0.009804,0.009804,0.294118,0.319807,3237693397095123653,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.295180,4283399667109117394,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.309206,3491530480386460121,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.311752,5000240322983619511,same
0.019608,0.009804,0.009804,0.009804,0.019608,0.303186,4198895693165375912,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.287018,714890916461054285,same
0.019608,0.019608,0.009804,0.009804,0.009804,0.312682,7436740606959776664,same
0.686275,0.078431,0.009804,0.009804,0.686275,0.225526,2857041852869743621,same
0.588235,0.039216,0.009804,0.009804,0.588235,0.220782,1515127859842649305,same
0.049020,0.009804,0.009804,0.009804,0.049020,0.222330,5271653902974487170,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.216069,1742942707441447723,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.224246,5850221770169259683,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.229809,7759855213573668625,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.221709,2169617323977772144,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.228957,2665585862404259054,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.221652,7234527521525180,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.224302,1162242377364007466,same
0.872549,0.872549,0.009804,0.009804,0.725490,0.171410,1505537703099133336,same
0.990196,0.637255,0.009804,0.009804,0.990196,0.161350,5147651553231231560,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.155153,4272097648579238566,same
0.519608,0.029412,0.009804,0.009804,0.519608,0.151081,4194960054102009814,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.142980,8505300572553056415,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.173989,4308754950808601922,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.163608,2710279800950751219,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.158940,2483514435163595667,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.159115,9007081696992998418,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.169183,2516256925340335360,same
0.980392,0.950980,0.009804,0.009804,0.980392,0.098521,9175308007500835266,same
0.862745,0.372549,0.009804,0.009804,0.862745,0.120125,7147506164249145809,same
0.980392,0.215686,0.009804,0.009804,0.980392,0.101611,800633543876115635,same
0.931373,0.147059,0.009804,0.009804,0.931373,0.107198,8360769444791504268,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.094870,7555347429655139561,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.102576,3608733606302598501,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.114713,2414979145438424056,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.105573,9105745481722146211,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.105116,831660744341044334,same
