p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.874502,0.745020,0.874502,0.001992,0.231076,0.475943,9020876138815327743,49816797579572384784452720686503624436
0.912351,0.912351,0.561753,0.001992,0.103586,0.444950,943876319461334421,same
0.894422,0.414343,0.894422,0.001992,0.001992,0.482635,6683042362788197332,same
0.832669,0.243028,0.832669,0.001992,0.800797,0.459625,4602577532848623445,same
0.984064,0.392430,0.984064,0.001992,0.458167,0.449999,5996313069570986894,same
0.561753,0.561753,0.448207,0.001992,0.225100,0.469582,620487481834953431,same
0.758964,0.480080,0.685259,0.001992,0.758964,0.473434,3162064841819160609,same
0.946215,0.143426,0.946215,0.001992,0.884462,0.479991,8997446405706610572,same
0.500000,0.069721,0.400398,0.001992,0.500000,0.422838,1446289684681802289,same
0.611554,0.099602,0.260956,0.001992,0.611554,0.460381,4004435957734614576,same
0.894422,0.792829,0.001992,0.001992,0.894422,0.400328,8663493797295129662,same
0.882470,0.651394,0.001992,0.001992,0.882470,0.390849,2107158011857363076,same
0.575697,0.575697,0.001992,0.001992,0.007968,0.374644,6727590035042052030,same
0.677291,0.677291,0.001992,0.001992,0.043825,0.388085,176473573249695136,same
0.456175,0.456175,0.003984,0.001992,0.137450,0.430965,3089576513766994157,same
0.294821,0.294821,0.009960,0.001992,0.243028,0.411056,8911569554150914423,same
0.484064,0.484064,0.005976,0.001992,0.296813,0.415187,3109741945088624354,same
0.924303,0.924303,0.005976,0.001992,0.503984,0.426181,1356856137825360500,same
0.109562,0.109562,0.001992,0.001992,0.001992,0.401256,2881712144466058369,same
0.432271,0.432271,0.103586,0.003984,0.063745,0.449814,3433990923236601602,same
0.617530,0.179283,0.001992,0.001992,0.617530,0.271401,4731601805653390212,same
0.675299,0.615538,0.001992,0.001992,0.675299,0.315619,5402659153142997960,same
0.167331,0.167331,0.001992,0.001992,0.007968,0.307179,1980451308522440141,same
0.171315,0.171315,0.001992,0.001992,0.009960,0.297428,567717051302391876,same
0.001992,0.001992,0.001992,0.001992,0.001992,0.282396,3181195853522636797,same
0.013944,0.013944,0.001992,0.001992,0.001992,0.341311,316513341537020213,same
0.087649,0.055777,0.001992,0.001992,0.087649,0.303159,4234106724712369334,same
0.009960,0.009960,0.001992,0.001992,0.001992,0.293880,8642710472868685177,same
0.003984,0.003984,0.001992,0.001992,0.001992,0.266768,8332661819350866857,same
0.318725,0.091633,0.001992,0.001992,0.318725,0.329640,1851248560298934327,same
0.884462,0.430279,0.001992,0.001992,0.884462,0.243580,7341394103227014108,same
0.498008,0.187251,0.001992,0.001992,0.498008,0.211900,2001026237393270550,same
