p_final,p_LassocB,p_LassocA|B,p_AassocB|L,p_LindB|A,OS Test 4,child_seed,parent_seed
0.009804,0.009804,0.009804,0.009804,0.009804,0.302812,3339548978445934315,233944859598208953341972427783632228835
0.009804,0.009804,0.009804,0.009804,0.009804,0.160530,2121808771176839287,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.066361,8487477810868984208,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.025718,5058929393754234807,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.322733,8056275854677290332,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.220995,5092118469061921145,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.151450,4985105902903867465,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.079692,7816248862164713260,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.257523,3652572233011559667,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.223982,8433897787795138573,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.169198,6629956642433849269,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.130314,4295095000410602434,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.210142,3086639615519780383,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.185982,1773264348676978990,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.163004,8014289432099144938,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.131548,1531677204340128173,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.157732,3450276496896632263,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.170743,8756337662479899545,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.154534,5262854089191736675,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.126109,9173180124583400770,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.295023,5773626908681686152,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.211967,1850385269058576152,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.150624,7172856822966806795,same
0.009804,0.009804,0.009804,0.009804,0.009804,0.083936,2088423500110822647,same
