"p_cit","p_TL","p_TG","p_GL","p_Lind","p_res"
-1,-1,-1,-1,-1,"592936506"
0.0931238605822534,0.0931238605822534,2.04241489684973e-23,0.000105723480304059,2.50218084551059e-31," "
0.999999745732816,0.650841775469199,5.36884407147811e-15,1.87722078772727e-07,0.999999745732816," "
0.914275720730667,0.351732034139393,0.0624925599606774,1.69897645147021e-13,0.914275720730667," "
0.356104459463703,0.356104459463703,0.304590063235589,1.01148229072145e-77,0.134726334939147," "
0.0904367715273053,0.0827034570263628,1.66994292223802e-06,1.75821533229161e-65,0.0904367715273053," "
0.999999992913087,0.728246459234256,1.15111323950967e-40,3.57569615637123e-13,0.999999992913087," "
0.0101993467983277,0.0101993467983277,2.99498007414936e-33,1.8342124480523e-14,1.23011480780389e-22,"causal"
1,0.973490154459329,6.02054120383636e-36,1.8381576604334e-287,1," "
0.632469574593009,0.632469574593009,1.44732492743477e-05,1.72054592144191e-05,0.000896758676853508," "
0.97321144228144,0.00197876216524652,0.97321144228144,4.48816917705921e-114,0.522041912488444," "
0.283518091921045,0.177594455730533,0.16874235539574,9.01613981547932e-263,0.283518091921045," "
0.465387586856093,0.00890000628597672,0.465387586856093,3.76620519002879e-06,0.269718387965623," "
1,0.045745082682857,1.01890411176072e-29,1.05877688395375e-07,1," "
0.908478239991714,0.110764671754325,1.97675715086576e-26,7.08331744490743e-28,0.908478239991714," "
0.468114851273855,0.468114851273855,0.000237750654684049,0.000463011786135807,6.24784416223144e-06," "
1,0.160752356602613,8.82442097942682e-26,4.97024063957328e-07,1," "
0.837859129512999,0.666397408448345,0.0280129409908949,2.85020889707131e-89,0.837859129512999," "
0.99999919947036,0.258333227341422,1.15643941160885e-07,6.62388785067532e-17,0.99999919947036," "
0.95243290279898,0.551592379359294,0.102534852575483,2.05739626289296e-12,0.95243290279898," "
0.0299594714489167,0.0299594714489167,0.0219133875048824,1.16053620156749e-06,0.0156535613650151,"causal"
0.0839800651475083,0.0839800651475083,9.09866842658134e-46,0.000709831087721644,1.25456778160504e-70," "
0.214303780581372,0.214303780581372,1.88468534331145e-17,3.2309679551502e-07,1.10861377572881e-17," "
0.00251959054878529,0.00251959054878529,9.44756924210529e-31,7.2198311111184e-14,1.38915212923471e-35,"causal"
0.430395165401843,0.430395165401843,2.04229776255386e-42,0.00203928522637384,0.00296573451892364," "
0.004564685407708,0.004564685407708,0.00407864503449373,3.81503497752832e-41,0.00110130357635004,"causal"
0.997951662411159,0.569906621018083,0.0128253798245327,7.70263322479548e-05,0.997951662411159," "
0.0147137718372526,0.0147137718372526,2.57363867476662e-05,3.21096185997157e-41,5.06030123506739e-05,"causal"
0.159706639877681,0.159706639877681,5.81495696651501e-23,0.00135561904945268,5.13145715546009e-31," "
1,0.000375190559548097,2.29866854735413e-103,3.37239150560236e-09,1," "
1,0.798206424111557,4.5518912162494e-112,2.95318314592129e-13,1," "
0.105032143060806,0.105032143060806,2.76315985403871e-11,2.41337098295529e-06,5.40988182713649e-13," "
0.999999981565636,0.730104559234565,3.8604142428641e-12,4.02913437800995e-92,0.999999981565636," "
0.999986728313768,0.441156231541639,3.06386968564034e-05,0.000222574642132976,0.999986728313768," "
0.936877395340148,0.356234548496968,7.24220514205538e-11,4.56356602931111e-35,0.936877395340148," "
0.798641495031982,0.00980127385731715,0.497110816267393,2.36948230319484e-05,0.798641495031982," "
0.000121607419050467,0.000121607419050467,2.53703479110295e-15,4.853627600556e-05,4.01862465768139e-15,"causal"
0.998783887850179,0.270826971696591,0.00272800512869126,5.75073325076603e-265,0.998783887850179," "
0.999884452871686,0.830184271389505,1.98847142299243e-10,0.000616167032482022,0.999884452871686," "
0.878400443019946,0.124208456047462,0.211964589606652,2.2908384215791e-11,0.878400443019946," "
1,0.491470246827227,6.34952360031508e-28,5.14581985864967e-280,1," "
0.0513530825666964,0.0513530825666964,0.000292542033136521,1.19041639740495e-85,0.0172553372497866," "
0.992628022270183,0.328020519332361,0.0627256452735037,1.70191394420206e-12,0.992628022270183," "
0.999992734035224,0.967131237113772,6.27842192822386e-11,1.20287083137493e-27,0.999992734035224," "
0.0717215690502753,0.0717215690502753,9.96865907272814e-09,0.000281703972568914,3.92213099766976e-05," "
