parameters,p_cit,p_TassocL,p_TassocGgvnL,p_GassocLgvnT,p_LindTgvnG,CIT_final_call,,p_L->A,p_L->B,"diff(B|A,B|A,L)",final_call
0.5_0.2_0.5_0.2,0.99733192079191,0.967919445259322,5.51589047190197E-06,0.002584636448178,0.99733192079191, , ,0,1,0.05, 
0.5_0.2_0.5_0.5,0.995439540674099,0.621329897496488,2.23472605586135E-42,0.003518354270554,0.995439540674099, , ,0.03,0.93,0.87, 
0.5_0.2_0.5_0.8,0.077767032679478,0.077767032679478,4.7013289519158E-108,0.012429296408361,2.38671912750362E-70, , ,0.02,0.11,0.23, 
0.5_0.2_0.5_1,0.012580812304217,0.012580812304217,1.15773182427367E-134,3.95070735462267E-06,2.74545050787376E-12,causal, ,0,0.07,0.79, 
0.5_0.2_0.5_3,0.572505425632738,0.00735723065591,0,0.572505425632738,7.82888277261397E-246, , ,0,0.01,0.04,causal
0.5_0.2_1_0.2,0.663878472664996,0.587339569079807,2.18830151083001E-10,5.47350609397613E-08,0.663878472664996, , ,0,0.86,0.07, 
0.5_0.2_1_0.5,0.099933792124123,0.099933792124123,4.68217733796248E-57,0.004107510250303,5.43748489486988E-98, , ,0,0.07,0.02, 
0.5_0.2_1_0.8,0.001136095798596,0.001136095798596,2.29006942636984E-101,8.43559933722112E-05,4.33276080879231E-77,causal, ,0,0,0.39, 
0.5_0.2_1_1,1,0.774687341359078,2.3703998512036E-126,0.164253847686181,1, , ,0.61,0.26,0.93, 
0.5_0.2_1_3,0.053367705174908,0.003481153778407,0,0.053367705174908,1.77646059492889E-89, , ,0,0,0,causal
0.5_0.5_0.5_0.2,0.999999785136246,0.30658461129263,6.64213497004222E-08,4.31692079126816E-16,0.999999785136246, , ,0,0.24,0.85, 
0.5_0.5_0.5_0.5,0.000370484919191,0.000370484919191,1.36173296377014E-51,4.18063134121074E-08,7.82309156318982E-41,causal, ,0,0,0.07, 
0.5_0.5_0.5_0.8,4.88716647926172E-05,4.88716647926172E-05,3.85204548732073E-116,1.5210381392359E-10,8.34301783504027E-34,causal, ,0,0,0.02,causal
0.5_0.5_0.5_1,0.000316012065004,4.98551387238376E-06,4.31679559130715E-147,0.000316012065004,1.58980113141842E-108,causal, ,0,0,0,causal
0.5_0.5_0.5_3,0.007449275545325,9.49037004729331E-13,0,0.007449275545325,5.11643949716205E-133,causal, ,0,0,1, 
