fdr,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXV:372056_C/T|YOR032C,YOR032C|YDR179C,YDR179C|YLR004C,NA,NA,NA,1,1,1,NA,NA,NA
0.1,chrXV:372056_C/T|YOR032C,YOR032C|YDR179C,YLR004C|YDR179C,NA,NA,NA,1,1,1,NA,NA,NA
0.15,chrXV:372056_C/T|YOR032C,YOR032C|YDR179C,YDR179C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,NA,1,1,1,1,1,NA
0.2,chrXV:372056_C/T|YOR032C,YOR032C|YDR179C,YDR179C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,NA,1,1,1,1,1,NA
0.25,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.3,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.35,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.4,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.45,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.5,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.55,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.6,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.65,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.7,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.75,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.8,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.85,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.9,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
0.95,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
1,chrXV:372056_C/T|YOR032C,chrXV:372056_C/T|YLR004C,YOR032C|YDR179C,YOR032C|YLR004C,YLR004C|YOR032C,YLR004C|YDR179C,1,1,1,1,1,1
