fdr,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YHR184W|YJL012C,1,1,1,1
0.1,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YHR184W|YJL012C,1,1,1,1
0.15,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.2,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.25,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.3,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.35,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.4,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.45,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.5,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.55,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.6,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.65,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.7,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.75,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.8,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.85,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.9,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
0.95,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
1,chrIV:102617_C/T|YDR310C,chrIV:102617_C/T|YHR184W,YDR310C|YJL012C,YJL012C|YHR184W,1,1,1,1
