fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVI:226791_G/A|YFR034C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YLR390W-A,YKL032C|YOL058W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.1,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.15,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.45,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.5,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
0.55,chrVI:226791_G/A|YFR034C,YFR034C|YKL032C,YDL067C|YKL084W,YDL067C|YFL004W,YKL084W|YDL067C,YKL084W|YOL058W,YKL032C|YOL058W,YLR390W-A|YKL032C,YLR390W-A|YFL004W,YFL004W|YFR034C,YFL004W|YDL067C,YFL004W|YLR390W-A,YOL058W|YKL084W,1,1,1,1,1,1,1,1,1,1,1,1,1
