fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.1,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.15,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.2,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.25,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.3,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.35,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.4,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.45,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.5,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.55,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.6,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.65,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.7,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.75,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.8,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.85,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.9,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
0.95,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
1,chrII:699675_T/C|YBR239C,chrII:699675_T/C|YNL065W,YNL065W|YKL029C,YIL038C|YBR239C,YIL038C|YKL029C,YBR183W|YKL029C,YKL029C|YBR239C,1,1,1,1,1,1,1
