fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YGL255W|YKR093W,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YKL009W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YKR093W|YGL255W,YKR093W|YBR145W,YKR093W|YER012W,YNL311C|YHR117W,YLR044C|YGR192C,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YLR044C,YLR301W|YER012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.1,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YGL255W|YKR093W,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YKL009W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YER012W|YLR044C,YKR093W|YGL255W,YKR093W|YBR145W,YKR093W|YER012W,YNL311C|YHR117W,YLR044C|YGR192C,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YLR044C,YLR301W|YER012W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.15,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YGL255W|YEL034W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YNL311C|YHR117W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.2,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YNL311C|YHR117W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YBR145W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.25,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YNL311C|YHR117W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YBR145W,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
0.3,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YGL125W|YNL190W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YBR145W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.35,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YGL125W|YNL190W,YGL125W|YLR301W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YBR145W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YGL125W|YNL190W,YGL125W|YLR301W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YBR145W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.45,YNL199C|YOR344C,YNL199C|YGR089W,YNL199C|YKL009W,YHR117W|YGR089W,YHR117W|YGL125W,YHR117W|YNL311C,YJL194W|YNL190W,YBR182C|YCR095C,YBR182C|YOR344C,YNR061C|YCR095C,YNR061C|YLR301W,YGR192C|YLR044C,YBR145W|YJL194W,YBR145W|YKR093W,YBR145W|YNL311C,YBR145W|YEL034W,YCR095C|YBR182C,YCR095C|YNR061C,YCR095C|YGR192C,YOR344C|YNL199C,YOR344C|YBR182C,YNL190W|YGL125W,YGR089W|YNL199C,YGR089W|YHR117W,YGR089W|YJL194W,YGR089W|YNL311C,YGL125W|YHR117W,YGL125W|YNL190W,YGL125W|YLR301W,YKL009W|YGR192C,YER012W|YKR093W,YER012W|YLR044C,YER012W|YLR301W,YKR093W|YGL255W,YLR044C|YEL034W,YKL093W|YKL009W,YKL093W|YLR301W,YEL034W|YBR145W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
