target,source,id..zero.indexed..,eqtl,hgnc_source,hgnc_target
ENSG00000036530,ENSG00000255893,695,11_94186521,ENSG00000255893,CYP46A1
ENSG00000063241,ENSG00000184601,938,14_105049167,C14orf180,ISOC2
ENSG00000100888,ENSG00000185164,1184,16_18768776,NOMO2,CHD8
ENSG00000108107,ENSG00000071894,3314,8_145621556,CPSF1,RPL28
ENSG00000112599,ENSG00000245680,1758,19_37523436,ZNF585B,GUCA1B
ENSG00000120889,ENSG00000148426,380,10_11938986,PROSER2,TNFRSF10B
ENSG00000135437,ENSG00000133055,173,1_203503267,MYBPH,RDH5
ENSG00000136709,ENSG00000264278,1646,18_74538129,ZNF236-DT,WDR33
ENSG00000144535,ENSG00000188807,346,1_9469555,TMEM201,DIS3L2
ENSG00000148655,ENSG00000168661,1740,19_35418193,ZNF30,LRMDA
ENSG00000151893,ENSG00000162302,639,11_64675148,RPS6KA4,CACUL1
ENSG00000153561,ENSG00000212864,3438,9_139360235,RNF208,RMND5A
ENSG00000158555,ENSG00000256667,708,12_10752344,KLRA1P,GDPD5
ENSG00000160062,ENSG00000053371,164,1_19618266,AKR7A2,ZBTB8A
ENSG00000164078,ENSG00000225697,2441,3_48681053,SLC26A6,MST1R
ENSG00000166546,ENSG00000236364,126,1_165883450,ENSG00000236364,BEAN1
ENSG00000166987,ENSG00000127366,3111,7_142123003,TAS2R5,MBD6
ENSG00000168925,ENSG00000179751,1767,19_39821298,SYCN,CTRB1
ENSG00000171456,ENSG00000235904,2391,3_29322297,RBMS3-AS3,ASXL1
ENSG00000174194,ENSG00000239883,430,10_45931070,PARGP1,ENSG00000174194
ENSG00000174963,ENSG00000143341,162,1_185932645,HMCN1,ZIC4
ENSG00000181997,ENSG00000186466,3497,9_67901658,AQP7P1,AQP7P2
ENSG00000183570,ENSG00000069966,1086,15_52479018,GNB5,PCBP3
ENSG00000185164,ENSG00000103226,1169,16_16296488,NOMO3,NOMO2
ENSG00000186466,ENSG00000204778,3511,9_70176768,ZNG1DP,AQP7P1
ENSG00000204150,ENSG00000012779,434,10_46208186,ALOX5,ENSG00000204150
ENSG00000204650,ENSG00000214401,1470,17_44790203,KANSL1-AS1,LINC02210
ENSG00000205746,ENSG00000254852,1161,16_14972980,NPIPA2,PKD1P4
ENSG00000214425,ENSG00000262539,1477,17_44790203,ENSG00000262539,LRRC37A4P
ENSG00000214900,ENSG00000095585,510,10_97236971,BLNK,LINC01588
ENSG00000215493,ENSG00000142661,225,1_24383819,MYOM3,ENSG00000215493
ENSG00000226763,ENSG00000127564,1209,16_2087455,PKMYT1,SRRM5
ENSG00000227097,ENSG00000233927,1877,19_8387207,RPS28,RPS28P7
ENSG00000228327,ENSG00000261172,1366,16_90256928,ENSG00000261172,ENSG00000228327
ENSG00000228463,ENSG00000234769,1287,16_60375,WASH4P,ENSG00000228463
ENSG00000228522,ENSG00000204778,3510,9_70176768,ZNG1DP,ENSG00000228522
ENSG00000228903,ENSG00000228049,3073,7_102332671,POLR2J2,RASA4CP
ENSG00000230795,ENSG00000124613,2892,6_27360765,ZNF391,HLA-K
ENSG00000231500,ENSG00000197818,2117,20_48429485,SLC9A8,RPS18
ENSG00000236833,ENSG00000229178,2373,3_195636800,ENSG00000229178,ENSG00000236833
ENSG00000237846,ENSG00000269337,3512,9_70709594,ENSG00000269337,ENSG00000237846
ENSG00000240342,ENSG00000255513,1190,16_2013756,ENSG00000255513,RPS2P5
ENSG00000243716,ENSG00000180747,1210,16_21385047,SMG1P3,NPIPB5
ENSG00000247228,ENSG00000214331,1321,16_74390667,PDPR2P,ENSG00000247228
ENSG00000248596,ENSG00000137822,1070,15_43699304,TUBGCP4,ENSG00000248596
ENSG00000251634,ENSG00000128274,2270,22_43120111,A4GALT,NAIPP4
ENSG00000267481,ENSG00000130150,3576,X_14912029,MOSPD2,ENSG00000267481
ENSG00000270101,ENSG00000169203,1242,16_30340674,NPIPB12,ENSG00000270101
ENSG00000272138,ENSG00000196260,2916,6_31021078,SFTA2,LINC01607
