fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YDR456W,YMR040W|YEL012W,YMR040W|YGL076C,YKR052C|YGL071W,YKR052C|YOR384W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YER100W|YGL076C,YLR063W|YLR435W,YLR063W|YOR128C,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YNL191W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YLR435W,YOR128C|YGL071W,YOR128C|YLR063W,YEL012W|YMR040W,YEL012W|YGL076C,YEL012W|YCR069W,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YDR456W,YMR040W|YGL076C,YKR052C|YGL071W,YKR052C|YOR384W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YER100W|YGL076C,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YNL191W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YLR435W,YOR128C|YGL071W,YEL012W|YMR040W,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.15,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.2,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.25,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.3,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.35,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
0.4,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.45,chrVII:369600_A/G|YLL024C,chrVII:369600_A/G|YGL076C,YGL071W|YKR052C,YLR380W|YPL256C,YMR040W|YGL076C,YKR052C|YGL071W,YOR382W|YMR058W,YOR382W|YOR383C,YOR382W|YOR384W,YLR063W|YLR435W,YLR063W|YEL012W,YLR435W|YLR063W,YLR435W|YLL055W,YLR435W|YCR069W,YMR058W|YGL071W,YMR058W|YOR382W,YMR058W|YOR384W,YLL055W|YLR435W,YOR383C|YOR382W,YOR383C|YOR384W,YNL191W|YER100W,YOR128C|YGL071W,YEL012W|YMR040W,YDR456W|YGL071W,YDR456W|YKR052C,YOR384W|YKR052C,YOR384W|YOR382W,YOR384W|YMR058W,YOR384W|YOR383C,YPL256C|YLR380W,YGL076C|YER100W,YGL076C|YEL012W,YLR214W|YGL071W,YCR069W|YLR435W,YCR069W|YEL012W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
