fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YDR077W|YPL089C,YDR077W|YER177W,YPL089C|YER177W,YER177W|YDR077W,NA,NA,1,1,1,1,1,1,1,NA,NA
0.1,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YDR077W,NA,1,1,1,1,1,1,1,1,NA
0.15,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YDR077W,NA,1,1,1,1,1,1,1,1,NA
0.2,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YDR077W,NA,1,1,1,1,1,1,1,1,NA
0.25,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YDR077W,NA,1,1,1,1,1,1,1,1,NA
0.3,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.35,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.4,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.45,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.5,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.55,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.6,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.65,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.7,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.75,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.8,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.85,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.9,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
0.95,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
1,chrXVI:310970_A/C|YPL133C,YPL133C|YNL065W,YPL133C|YPL089C,YPL133C|YER177W,YDR077W|YPL089C,YDR077W|YER177W,YNL065W|YPL089C,YPL089C|YER177W,YER177W|YPL089C,1,1,1,1,1,1,1,1,1
