fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.1,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.15,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.2,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.25,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.3,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.35,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.4,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.45,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
0.5,chrIII:262264_T/C|YCR084C,chrIII:262264_T/C|YLR099C,chrIII:262264_T/C|YFL026W,YCR084C|YLR099C,YCR084C|YFR044C,YLR099C|YCR084C,YFR044C|YKL060C,YKL060C|YCR084C,YKL060C|YFR044C,1,1,1,1,1,1,1,1,1
