fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.1,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.15,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.2,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.25,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.3,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.35,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.4,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.45,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.5,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.55,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,NA,1,1,1,1,1,1,1,NA
0.6,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
0.65,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
0.7,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
0.75,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
0.8,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
0.85,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
0.9,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
0.95,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
1,chrXV:202012_C/T|YDR150W,YOL067C|YMR228W,YMR182C|YOL067C,YMR182C|YDR150W,YMR228W|YDR150W,YMR228W|YER139C,YER139C|YOL067C,YER139C|YMR228W,1,1,1,1,1,1,1,1
