fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YDR262W,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.1,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YDR262W,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
0.15,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
0.2,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.45,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.5,chrIV:975156_A/G|YDR259C,chrIV:975156_A/G|YKL044W,chrIV:975156_A/G|YDR262W,YCL055W|YBR157C,YCL055W|YAR010C,YHR047C|YAR010C,YAR010C|YCL055W,YAR010C|YHR047C,YKL044W|YHR047C,YKL044W|YDR262W,YDR262W|YIL172C,YDR262W|YBR157C,YDR262W|YKL044W,YKR039W|YDR259C,YKR039W|YBR157C,YKR039W|YKL044W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
