fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1,chrIV:1359411_A/AT|YDR451C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR451C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.15,chrIV:1359411_A/AT|YDR451C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR451C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,chrIV:1359411_A/AT|YDR451C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR451C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.25,chrIV:1359411_A/AT|YDR451C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR451C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.3,chrIV:1359411_A/AT|YDR451C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR451C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.35,chrIV:1359411_A/AT|YDR451C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR451C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,chrIV:1359411_A/AT|YDR451C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR451C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.45,chrIV:1359411_A/AT|YDR451C,YDR451C|YAR018C,YEL040W|YOL011W,YEL040W|YBR147W,YEL040W|YIL087C,YDR191W|YHR110W,YDR191W|YGR092W,YPL132W|YBR147W,YPL132W|YGR092W,YEL032W|YOL011W,YEL032W|YIL087C,YEL032W|YAR018C,YBR147W|YEL040W,YBR147W|YPL132W,YBR147W|YGR092W,YIL087C|YEL040W,YIL087C|YEL032W,YIL087C|YHR110W,YHR110W|YDR191W,YHR110W|YIL087C,YHR110W|YAR018C,YAR018C|YDR191W,YGR092W|YDR191W,YGR092W|YPL132W,YGR092W|YBR147W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
