fdr,edge names,edge names,edge names,edge names,edge names,edge names,edge names,weight values,weight values,weight values,weight values,weight values,weight values,weight values
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,chrVII:191348_A/G|YGL166W,YGL166W|YHR001W,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
0.1,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YHR001W,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
0.15,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YHR001W,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
0.2,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YHR001W,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
0.25,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.3,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.35,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.4,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.45,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.5,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.55,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.6,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.65,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.7,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.75,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.8,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YJR104C,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,NA,NA,1,1,1,1,1,NA,NA
0.85,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YHR001W,chrVII:191348_A/G|YJR104C,YGL166W|YHR001W,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,1,1,1,1,1,1,1
0.9,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YHR001W,chrVII:191348_A/G|YJR104C,YGL166W|YHR001W,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,1,1,1,1,1,1,1
0.95,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YHR001W,chrVII:191348_A/G|YJR104C,YGL166W|YHR001W,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,1,1,1,1,1,1,1
1,chrVII:191348_A/G|YGL166W,chrVII:191348_A/G|YHR001W,chrVII:191348_A/G|YJR104C,YGL166W|YHR001W,YGL166W|YJR104C,YHR001W|YGL166W,YJR104C|YGL166W,1,1,1,1,1,1,1
